index,accident_id,ST_CASE,VE_FORMS,Make,Model,BODY_TYP,MOD_YEAR,IMPACT1,DEFORMED,,M_HARM,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,DR_DRINK
0,2016040001,40001,1,12,481,31,2006,0,6,,1,0,0,0,0,0,0,69,200,0,0,1,0,0,9,2012,9,2012,4,58,0,0,0,1,2,0,1,1,8,1,0,0,1,13,99,5,4,1
1,2016040002,40002,1,99,999,99,9999,99,9,,8,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,5,5,35,1,1,8,1,0,0,1,80,99,9,1,0
2,2016040003,40003,1,37,31,4,2015,0,6,,1,0,0,0,0,0,0,66,110,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,75,1,1,2,1,0,0,1,12,99,3,4,0
3,2016040004,40004,2,24,5,4,2001,83,6,,12,6,1,0,0,3,0,71,150,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,5,55,1,1,1,2,3,3,11,15,99,1,1,0
4,2016040004,40004,2,55,402,14,2006,12,6,,12,6,1,0,0,3,0,66,140,1,2,0,0,1,7,2012,5,2013,9,99,99,99,99,2,3,55,1,1,1,2,3,3,1,62,99,1,1,0
5,2016040005,40005,2,2,404,14,2004,12,6,,12,6,1,0,0,3,0,78,180,1,7,0,1,2,12,2012,11,2015,0,51,0,0,0,3,3,65,1,1,2,1,0,0,1,54,99,1,1,1
6,2016040005,40005,2,49,482,31,2015,12,6,,12,6,1,0,0,3,0,75,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,65,1,1,2,1,0,0,1,54,99,1,1,0
7,2016040006,40006,1,34,34,4,2008,62,2,,8,6,1,0,0,3,0,61,120,3,7,0,9,2,2,2011,12,2015,0,0,0,0,0,5,7,45,1,1,8,1,0,0,1,80,99,1,1,0
8,2016040007,40007,1,49,32,4,1996,12,6,,30,6,1,0,0,3,0,66,150,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,45,3,1,8,1,3,3,14,13,99,1,4,1
9,2016040008,40008,1,12,461,21,2003,0,0,,5,6,1,0,0,3,0,75,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,65,1,1,2,1,0,0,1,98,99,9,1,0
