time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-01-04 12:21:21.815 CET;1010123004112059;52,5;2023-01-04 12:21:28.464 CET
2023-01-04 12:22:55.842 CET;1010123004112233;52,5;2023-01-04 12:23:02.473 CET
2023-01-04 12:27:22.109 CET;1010123004112659;52,5;2023-01-04 12:27:28.799 CET
2023-01-04 12:27:29.700 CET;1010123004112707;52,8;2023-01-04 12:27:36.319 CET
2023-01-04 12:27:51.529 CET;1010123004112728;52,8;2023-01-04 12:27:58.157 CET
2023-01-04 12:29:32.467 CET;1010123004112910;52,5;2023-01-04 12:29:32.477 CET
2023-01-04 12:36:39.621 CET;1010223004113616;52,8;2023-01-04 12:36:39.621 CET
2023-01-04 12:41:42.145 CET;1010223004114119;52,5;2023-01-04 12:41:48.815 CET
2023-01-04 12:43:45.903 CET;1010223004114326;52,5;2023-01-04 12:43:52.582 CET
2023-01-04 12:48:04.309 CET;1010223004114744;52,8;2023-01-04 12:48:10.979 CET
2023-01-04 12:52:16.436 CET;1010223004115153;52,8;2023-01-04 12:52:23.055 CET
2023-01-04 12:54:18.542 CET;1010223004115356;52,5;2023-01-04 12:54:25.221 CET
2023-01-04 12:55:24.421 CET;1010223004115410;52,8;2023-01-04 12:55:24.431 CET
2023-01-04 12:59:44.726 CET;1010223004115924;52,5;2023-01-04 12:59:51.375 CET
2023-01-04 13:00:27.676 CET;1010223004120007;52,5;2023-01-04 13:00:34.355 CET
2023-01-04 13:07:32.578 CET;1010123004120708;52,8;2023-01-04 13:07:39.229 CET
2023-01-04 13:13:34.763 CET;1010123004121313;52,8;2023-01-04 13:13:41.392 CET
2023-01-04 13:20:10.025 CET;1010123004121836;52,8;2023-01-04 13:20:16.684 CET
2023-01-04 13:23:54.273 CET;1010123004122331;53,1;2023-01-04 13:23:54.282 CET
2023-01-04 13:23:54.273 CET;1010123004122331;52,8;2023-01-04 13:24:00.921 CET
2023-01-04 13:27:56.598 CET;1010123004122429;52,8;2023-01-04 13:27:56.618 CET
2023-01-04 13:28:11.029 CET;1010123004122749;52,5;2023-01-04 13:28:17.637 CET
2023-01-04 13:32:46.592 CET;1010123004123223;52,5;2023-01-04 13:32:53.242 CET
2023-01-04 13:36:50.226 CET;1010123004123313;52,2;2023-01-04 13:36:56.857 CET
2023-01-04 13:37:12.207 CET;1010123004123621;52,5;2023-01-04 13:37:12.226 CET
2023-01-04 13:41:26.914 CET;1010223004124110;53,1;2023-01-04 13:41:26.934 CET
2023-01-04 13:55:28.688 CET;1010223004125303;52,5;2023-01-04 13:55:28.698 CET
2023-01-04 13:55:55.868 CET;1010223004125536;52,5;2023-01-04 13:55:55.898 CET
2023-01-04 14:04:43.809 CET;1010223004130420;52,5;2023-01-04 14:04:50.460 CET
2023-01-04 14:42:53.408 CET;1010223004134159;66,3;2023-01-04 14:43:24.108 CET
2023-01-04 14:43:37.658 CET;1010123004134206;52,8;2023-01-04 14:43:45.298 CET
2023-01-04 14:45:16.017 CET;1010123004134213;53,1;2023-01-04 14:45:23.697 CET
2023-01-04 14:45:32.667 CET;1010123004134220;52,8;2023-01-04 14:45:40.316 CET
