time;TraceabilityCode;Cylinder8MaxParalelismErrorInBDC;time.value
2023-01-04 14:42:53.408 CET;1010223004134159;1,6;2023-01-04 14:43:24.108 CET
2023-01-04 14:45:32.667 CET;1010123004134220;1,7;2023-01-04 14:45:40.316 CET
2023-01-04 14:55:21.999 CET;1010123004135113;1,6;2023-01-04 14:55:29.739 CET
2023-01-04 14:55:38.029 CET;1010123004135232;1,7;2023-01-04 14:55:38.198 CET
2023-01-04 14:59:41.285 CET;1010123004135919;1,6;2023-01-04 14:59:41.483 CET
2023-01-04 14:59:48.783 CET;1010123004135926;1,7;2023-01-04 14:59:48.903 CET
2023-01-04 15:12:24.552 CET;1010123004141202;1,8;2023-01-04 15:12:24.841 CET
2023-01-04 15:12:32.032 CET;1010123004141209;1,7;2023-01-04 15:12:32.200 CET
2023-01-04 15:16:28.596 CET;1010123004141606;1,8;2023-01-04 15:16:28.846 CET
2023-01-04 15:16:43.346 CET;1010123004141621;1,7;2023-01-04 15:16:43.496 CET
2023-01-04 15:23:20.279 CET;1010123004142215;1,8;2023-01-04 15:23:20.598 CET
2023-01-04 15:27:45.796 CET;1010123004142723;1,8;2023-01-04 15:27:46.055 CET
2023-01-04 15:28:00.565 CET;1010123004142738;1,7;2023-01-04 15:28:00.785 CET
2023-01-04 15:28:15.365 CET;1010123004142753;1,8;2023-01-04 15:28:15.494 CET
2023-01-04 15:28:22.655 CET;1010123004142800;1,7;2023-01-04 15:28:22.855 CET
2023-01-04 15:28:59.684 CET;1010123004142837;1,8;2023-01-04 15:28:59.815 CET
2023-01-04 15:29:07.075 CET;1010123004142845;1,7;2023-01-04 15:29:07.253 CET
2023-01-04 15:30:06.063 CET;1010123004142944;1,8;2023-01-04 15:30:06.223 CET
2023-01-04 15:30:20.903 CET;1010123004142959;1,7;2023-01-04 15:30:21.101 CET
2023-01-04 15:31:27.532 CET;1010123004143105;1,8;2023-01-04 15:31:27.572 CET
2023-01-04 15:31:57.191 CET;1010123004143135;1,7;2023-01-04 15:31:57.332 CET
2023-01-04 15:32:41.540 CET;1010123004143219;1,8;2023-01-04 15:32:41.730 CET
2023-01-04 15:47:21.095 CET;1010123004143241;1,8;2023-01-04 15:47:21.345 CET
2023-01-04 15:47:21.095 CET;1010123004143241;1,7;2023-01-04 15:47:28.694 CET
2023-01-04 15:51:23.970 CET;1010123004145101;1,8;2023-01-04 15:51:24.141 CET
2023-01-04 15:51:46.141 CET;1010123004145124;1,7;2023-01-04 15:51:46.230 CET
2023-01-04 15:52:00.790 CET;1010123004145139;1,8;2023-01-04 15:52:01.029 CET
2023-01-04 15:52:08.270 CET;1010123004145146;1,7;2023-01-04 15:52:08.390 CET
2023-01-04 15:55:35.756 CET;1010123004145513;1,8;2023-01-04 15:55:35.996 CET
2023-01-04 15:55:43.336 CET;1010123004145521;1,7;2023-01-04 15:55:43.355 CET
2023-01-04 15:55:50.726 CET;1010123004145528;1,8;2023-01-04 15:55:50.865 CET
2023-01-04 15:55:58.035 CET;1010123004145536;1,7;2023-01-04 15:55:58.244 CET
2023-01-04 15:56:57.224 CET;1010123004145635;1,8;2023-01-04 15:56:57.424 CET
2023-01-04 15:57:04.595 CET;1010123004145642;1,7;2023-01-04 15:57:04.714 CET
2023-01-04 15:58:48.492 CET;1010123004145826;1,8;2023-01-04 15:58:48.632 CET
2023-01-04 15:58:55.903 CET;1010123004145833;1,7;2023-01-04 15:58:56.072 CET
2023-01-04 15:59:40.371 CET;1010123004145918;1,8;2023-01-04 15:59:40.572 CET
2023-01-04 15:59:55.240 CET;1010123004145933;1,7;2023-01-04 15:59:55.440 CET
2023-01-04 16:00:47.540 CET;1010123004150032;1,8;2023-01-04 16:00:47.760 CET
2023-01-04 16:01:02.849 CET;1010123004150046;1,8;2023-01-04 16:01:03.130 CET
2023-01-04 16:01:10.359 CET;1010123004150053;1,7;2023-01-04 16:01:10.479 CET
2023-01-04 16:01:22.490 CET;1010123004150108;1,9;2023-01-04 16:01:30.209 CET
2023-01-04 16:06:13.986 CET;1010123004150427;1,7;2023-01-04 16:06:14.315 CET
2023-01-04 16:15:14.085 CET;1010123004151449;1,7;2023-01-04 16:15:14.234 CET
2023-01-04 16:15:51.285 CET;1010123004151529;1,8;2023-01-04 16:15:51.525 CET
2023-01-04 16:16:06.075 CET;1010123004151543;1,7;2023-01-04 16:16:06.224 CET
2023-01-04 16:16:13.505 CET;1010123004151551;1,8;2023-01-04 16:16:13.694 CET
2023-01-04 16:16:28.463 CET;1010123004151606;1,7;2023-01-04 16:16:28.644 CET
2023-01-04 16:16:51.003 CET;1010123004151628;1,8;2023-01-04 16:16:51.203 CET
2023-01-04 16:17:13.323 CET;1010123004151651;1,7;2023-01-04 16:17:13.523 CET
2023-01-04 16:17:57.562 CET;1010123004151735;1,8;2023-01-04 16:17:57.852 CET
2023-01-04 16:18:05.003 CET;1010123004151743;1,7;2023-01-04 16:18:05.213 CET
2023-01-04 16:18:20.013 CET;1010123004151757;1,8;2023-01-04 16:18:20.253 CET
2023-01-04 16:18:27.431 CET;1010123004151805;1,7;2023-01-04 16:18:27.700 CET
2023-01-04 16:18:34.752 CET;1010123004151812;1,8;2023-01-04 16:18:34.970 CET
2023-01-04 16:18:42.022 CET;1010123004151820;1,7;2023-01-04 16:18:42.240 CET
2023-01-04 16:19:04.020 CET;1010123004151842;1,8;2023-01-04 16:19:04.250 CET
2023-01-04 16:19:11.391 CET;1010123004151849;1,7;2023-01-04 16:19:11.611 CET
2023-01-04 16:19:26.171 CET;1010123004151904;1,8;2023-01-04 16:19:26.321 CET
2023-01-04 16:28:09.173 CET;1010123004151948;1,7;2023-01-04 16:28:16.742 CET
2023-01-04 16:28:25.223 CET;1010123004151956;1,8;2023-01-04 16:28:32.802 CET
2023-01-04 16:28:34.282 CET;1010123004152748;1,7;2023-01-04 16:28:41.941 CET
2023-01-04 16:29:49.520 CET;1010123004152824;1,8;2023-01-04 16:29:49.710 CET
2023-01-04 16:29:56.801 CET;1010123004152930;1,7;2023-01-04 16:29:57.059 CET
2023-01-04 16:30:33.900 CET;1010123004153011;1,8;2023-01-04 16:30:34.180 CET
2023-01-04 16:30:41.279 CET;1010123004153019;1,7;2023-01-04 16:30:41.460 CET
2023-01-04 16:30:48.559 CET;1010123004153026;1,8;2023-01-04 16:30:48.829 CET
2023-01-04 16:31:03.369 CET;1010123004153041;1,7;2023-01-04 16:31:03.539 CET
2023-01-04 16:31:10.759 CET;1010123004153049;1,8;2023-01-04 16:31:10.898 CET
2023-01-04 16:32:02.489 CET;1010123004153140;1,7;2023-01-04 16:32:02.657 CET
2023-01-04 16:32:09.819 CET;1010123004153147;1,8;2023-01-04 16:32:10.017 CET
2023-01-04 16:32:17.128 CET;1010123004153155;1,7;2023-01-04 16:32:17.388 CET
2023-01-04 16:32:24.477 CET;1010123004153202;1,8;2023-01-04 16:32:24.737 CET
2023-01-04 16:32:39.217 CET;1010123004153217;1,7;2023-01-04 16:32:39.298 CET
2023-01-04 16:32:54.357 CET;1010123004153232;1,8;2023-01-04 16:32:54.427 CET
2023-01-04 16:33:09.096 CET;1010123004153246;1,7;2023-01-04 16:33:09.216 CET
2023-01-04 16:33:46.486 CET;1010123004153331;1,7;2023-01-04 16:33:46.665 CET
2023-01-04 16:34:50.625 CET;1010123004153435;1,8;2023-01-04 16:34:50.875 CET
2023-01-04 16:47:32.023 CET;1010123004154710;1,8;2023-01-04 16:47:32.183 CET
2023-01-04 16:47:39.433 CET;1010123004154717;1,7;2023-01-04 16:47:39.552 CET
2023-01-04 16:47:54.272 CET;1010123004154732;1,8;2023-01-04 16:47:54.441 CET
2023-01-04 16:48:01.762 CET;1010123004154739;1,7;2023-01-04 16:48:01.871 CET
2023-01-04 16:48:38.711 CET;1010123004154816;1,8;2023-01-04 16:48:38.941 CET
2023-01-04 16:48:46.141 CET;1010123004154824;1,7;2023-01-04 16:48:46.332 CET
2023-01-04 16:49:52.710 CET;1010123004154930;1,8;2023-01-04 16:49:52.828 CET
2023-01-04 16:50:00.230 CET;1010123004154938;1,7;2023-01-04 16:50:00.259 CET
2023-01-04 16:50:51.838 CET;1010123004155030;1,8;2023-01-04 16:50:52.028 CET
2023-01-04 16:50:59.358 CET;1010123004155037;1,7;2023-01-04 16:50:59.467 CET
2023-01-04 16:51:14.279 CET;1010123004155052;1,8;2023-01-04 16:51:14.437 CET
2023-01-04 16:52:20.868 CET;1010123004155159;1,7;2023-01-04 16:52:21.066 CET
2023-01-04 16:52:35.596 CET;1010123004155213;1,8;2023-01-04 16:52:35.796 CET
2023-01-04 16:52:50.417 CET;1010123004155228;1,7;2023-01-04 16:52:50.595 CET
2023-01-04 16:53:21.226 CET;1010123004155304;1,7;2023-01-04 16:53:21.395 CET
2023-01-04 16:53:28.585 CET;1010123004155311;1,8;2023-01-04 16:53:28.756 CET
