time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 14:46:00.937 CET;1010223004134159;26,4;2023-01-04 14:46:28.025 CET
2023-01-04 14:46:34.315 CET;1010123004134206;26,6;2023-01-04 14:46:38.734 CET
2023-01-04 14:46:42.226 CET;1010123004134213;26,1;2023-01-04 14:46:46.605 CET
2023-01-04 14:50:46.319 CET;1010123004134220;25,8;2023-01-04 14:50:50.740 CET
2023-01-04 14:50:53.740 CET;1010123004134227;26,9;2023-01-04 14:50:58.229 CET
2023-01-04 14:51:01.000 CET;1010123004134308;26,4;2023-01-04 14:51:05.489 CET
2023-01-04 14:51:08.240 CET;1010123004134352;26,9;2023-01-04 14:51:12.698 CET
2023-01-04 14:51:15.779 CET;1010123004134530;25,8;2023-01-04 14:51:20.219 CET
2023-01-04 14:55:02.128 CET;1010123004134547;26,1;2023-01-04 14:55:08.398 CET
2023-01-04 14:55:18.178 CET;1010123004134626;26,4;2023-01-04 14:55:22.608 CET
2023-01-04 14:55:34.219 CET;1010123004134815;27,2;2023-01-04 14:55:38.638 CET
2023-01-04 14:55:41.509 CET;1010123004135113;26,9;2023-01-04 14:55:45.987 CET
2023-01-04 14:55:56.128 CET;1010123004135232;27,2;2023-01-04 14:56:00.548 CET
2023-01-04 14:56:03.388 CET;1010123004135239;27,4;2023-01-04 14:56:07.838 CET
2023-01-04 14:56:10.709 CET;1010123004135307;26,6;2023-01-04 14:56:15.279 CET
2023-01-04 14:56:18.088 CET;1010123004135538;27,2;2023-01-04 14:56:22.566 CET
2023-01-04 14:56:25.417 CET;1010123004135545;27,7;2023-01-04 14:56:29.917 CET
2023-01-04 14:56:32.667 CET;1010123004135552;26,9;2023-01-04 14:56:37.127 CET
2023-01-04 14:56:40.017 CET;1010123004135600;27,4;2023-01-04 14:56:44.477 CET
2023-01-04 14:56:47.308 CET;1010123004135607;26,9;2023-01-04 14:56:51.756 CET
2023-01-04 14:56:54.808 CET;1010123004135615;26,6;2023-01-04 14:56:59.276 CET
2023-01-04 14:57:02.167 CET;1010123004135622;26,9;2023-01-04 14:57:06.638 CET
2023-01-04 14:57:09.657 CET;1010123004135629;26,6;2023-01-04 14:57:14.076 CET
2023-01-04 14:57:16.957 CET;1010123004135637;26,9;2023-01-04 14:57:21.437 CET
2023-01-04 14:57:31.627 CET;1010123004135651;27,2;2023-01-04 14:57:36.076 CET
2023-01-04 14:57:38.986 CET;1010123004135659;26,6;2023-01-04 14:57:43.437 CET
2023-01-04 14:57:46.377 CET;1010123004135706;26,4;2023-01-04 14:57:50.796 CET
2023-01-04 14:58:01.197 CET;1010123004135721;26,9;2023-01-04 14:58:05.677 CET
2023-01-04 14:58:23.286 CET;1010123004135743;26,6;2023-01-04 14:58:27.756 CET
2023-01-04 14:58:30.855 CET;1010123004135750;26,4;2023-01-04 14:58:35.355 CET
2023-01-04 14:58:38.236 CET;1010123004135758;27,2;2023-01-04 14:58:42.724 CET
2023-01-04 14:58:45.595 CET;1010123004135805;26,9;2023-01-04 14:58:50.075 CET
2023-01-04 14:58:53.026 CET;1010123004135813;27,2;2023-01-04 14:58:57.446 CET
2023-01-04 14:59:00.266 CET;1010123004135820;27,4;2023-01-04 14:59:04.796 CET
2023-01-04 14:59:07.696 CET;1010123004135828;27,2;2023-01-04 14:59:12.244 CET
2023-01-04 14:59:15.065 CET;1010123004135835;26,9;2023-01-04 14:59:19.595 CET
2023-01-04 14:59:22.345 CET;1010123004135842;27,2;2023-01-04 14:59:26.803 CET
2023-01-04 14:59:29.644 CET;1010123004135850;27,4;2023-01-04 14:59:34.174 CET
2023-01-04 14:59:36.974 CET;1010123004135857;26,6;2023-01-04 14:59:41.453 CET
2023-01-04 14:59:44.375 CET;1010123004135904;26,4;2023-01-04 14:59:48.882 CET
2023-01-04 14:59:51.713 CET;1010123004135912;26,1;2023-01-04 14:59:56.243 CET
2023-01-04 14:59:59.164 CET;1010123004135919;26,4;2023-01-04 15:00:03.612 CET
2023-01-04 15:00:06.503 CET;1010123004135926;26,6;2023-01-04 15:00:11.052 CET
2023-01-04 15:00:21.193 CET;1010123004135941;26,9;2023-01-04 15:00:25.683 CET
2023-01-04 15:00:43.312 CET;1010123004140003;27,2;2023-01-04 15:00:47.762 CET
2023-01-04 15:00:50.602 CET;1010123004140011;26,9;2023-01-04 15:00:55.052 CET
2023-01-04 15:00:57.872 CET;1010123004140018;26,4;2023-01-04 15:01:02.403 CET
2023-01-04 15:01:05.312 CET;1010123004140025;26,9;2023-01-04 15:01:09.763 CET
2023-01-04 15:01:19.983 CET;1010123004140040;26,6;2023-01-04 15:01:24.401 CET
2023-01-04 15:01:27.332 CET;1010123004140047;27,4;2023-01-04 15:01:31.762 CET
2023-01-04 15:01:42.473 CET;1010123004140102;26,9;2023-01-04 15:01:46.961 CET
2023-01-04 15:01:49.822 CET;1010123004140109;26,4;2023-01-04 15:01:54.242 CET
2023-01-04 15:01:57.072 CET;1010123004140117;26,6;2023-01-04 15:02:01.522 CET
2023-01-04 15:02:04.451 CET;1010123004140124;26,9;2023-01-04 15:02:08.891 CET
2023-01-04 15:02:11.732 CET;1010123004140131;26,1;2023-01-04 15:02:16.171 CET
2023-01-04 15:02:19.092 CET;1010123004140146;26,9;2023-01-04 15:02:23.530 CET
2023-01-04 15:02:26.532 CET;1010123004140153;25,8;2023-01-04 15:02:31.052 CET
2023-01-04 15:02:33.832 CET;1010123004140200;26,6;2023-01-04 15:02:38.321 CET
2023-01-04 15:03:05.881 CET;1010123004140207;26,4;2023-01-04 15:03:10.331 CET
2023-01-04 15:03:20.571 CET;1010123004140221;27,2;2023-01-04 15:03:25.010 CET
2023-01-04 15:03:28.220 CET;1010123004140228;26,9;2023-01-04 15:03:32.661 CET
2023-01-04 15:03:35.561 CET;1010123004140235;27,4;2023-01-04 15:03:40.010 CET
2023-01-04 15:06:11.378 CET;1010123004140311;27,2;2023-01-04 15:06:15.818 CET
2023-01-04 15:06:18.868 CET;1010123004140318;26,6;2023-01-04 15:06:23.267 CET
2023-01-04 15:06:26.299 CET;1010123004140333;27,2;2023-01-04 15:06:30.828 CET
2023-01-04 15:06:33.709 CET;1010123004140354;27,4;2023-01-04 15:06:38.168 CET
2023-01-04 15:06:41.128 CET;1010123004140401;27,2;2023-01-04 15:06:45.618 CET
2023-01-04 15:08:12.907 CET;1010123004140642;26,6;2023-01-04 15:08:19.986 CET
2023-01-04 15:08:58.526 CET;1010123004140808;26,9;2023-01-04 15:09:03.045 CET
2023-01-04 15:09:05.915 CET;1010123004140814;25,8;2023-01-04 15:09:10.335 CET
2023-01-04 15:09:13.186 CET;1010123004140822;26,6;2023-01-04 15:09:17.605 CET
2023-01-04 15:09:20.525 CET;1010123004140828;26,1;2023-01-04 15:09:24.954 CET
2023-01-04 15:09:27.755 CET;1010123004140836;27,2;2023-01-04 15:09:32.223 CET
2023-01-04 15:09:35.674 CET;1010123004140843;26,6;2023-01-04 15:09:40.055 CET
2023-01-04 15:09:42.944 CET;1010123004140901;26,4;2023-01-04 15:09:47.463 CET
2023-01-04 15:09:50.255 CET;1010123004140909;26,9;2023-01-04 15:09:54.723 CET
2023-01-04 15:09:57.625 CET;1010123004140916;26,6;2023-01-04 15:10:02.164 CET
2023-01-04 15:10:04.934 CET;1010123004140924;26,9;2023-01-04 15:10:09.453 CET
2023-01-04 15:10:19.543 CET;1010123004140939;27,2;2023-01-04 15:10:23.973 CET
2023-01-04 15:10:26.884 CET;1010123004140947;26,6;2023-01-04 15:10:31.374 CET
2023-01-04 15:10:42.053 CET;1010123004141001;26,4;2023-01-04 15:10:46.563 CET
2023-01-04 15:11:03.073 CET;1010123004141016;26,6;2023-01-04 15:11:07.622 CET
2023-01-04 15:11:10.483 CET;1010123004141023;26,9;2023-01-04 15:11:14.973 CET
2023-01-04 15:11:17.993 CET;1010123004141031;26,4;2023-01-04 15:11:22.411 CET
2023-01-04 15:11:32.812 CET;1010123004141055;27,4;2023-01-04 15:11:37.292 CET
2023-01-04 15:11:47.663 CET;1010123004141109;26,4;2023-01-04 15:11:52.183 CET
2023-01-04 15:12:04.713 CET;1010123004141116;26,6;2023-01-04 15:12:09.193 CET
2023-01-04 15:12:19.621 CET;1010123004141130;27,2;2023-01-04 15:12:24.101 CET
2023-01-04 15:12:27.022 CET;1010123004141138;26,6;2023-01-04 15:12:31.530 CET
2023-01-04 15:12:34.552 CET;1010123004141145;27,2;2023-01-04 15:12:38.940 CET
2023-01-04 15:12:41.842 CET;1010123004141202;26,9;2023-01-04 15:12:46.312 CET
2023-01-04 15:12:56.661 CET;1010123004141217;27,7;2023-01-04 15:13:01.121 CET
2023-01-04 15:13:04.131 CET;1010123004141224;27,2;2023-01-04 15:13:08.561 CET
2023-01-04 15:13:11.500 CET;1010123004141232;27,4;2023-01-04 15:13:15.911 CET
2023-01-04 15:13:18.930 CET;1010123004141239;26,9;2023-01-04 15:13:23.341 CET
2023-01-04 15:13:26.290 CET;1010123004141247;27,2;2023-01-04 15:13:30.740 CET
2023-01-04 15:13:33.690 CET;1010123004141254;26,4;2023-01-04 15:13:38.171 CET
2023-01-04 15:13:41.111 CET;1010123004141301;26,6;2023-01-04 15:13:45.621 CET
2023-01-04 15:13:48.440 CET;1010123004141309;27,4;2023-01-04 15:13:52.890 CET
2023-01-04 15:13:55.819 CET;1010123004141316;26,6;2023-01-04 15:14:00.319 CET
2023-01-04 15:14:10.509 CET;1010123004141331;26,9;2023-01-04 15:14:14.970 CET
2023-01-04 15:14:18.069 CET;1010123004141338;26,6;2023-01-04 15:14:22.489 CET
2023-01-04 15:14:25.359 CET;1010123004141346;26,4;2023-01-04 15:14:29.868 CET
2023-01-04 15:14:32.690 CET;1010123004141353;27,4;2023-01-04 15:14:37.138 CET
2023-01-04 15:14:40.190 CET;1010123004141401;26,4;2023-01-04 15:14:44.739 CET
2023-01-04 15:14:47.549 CET;1010123004141408;27,7;2023-01-04 15:14:51.997 CET
2023-01-04 15:14:54.908 CET;1010123004141415;27,2;2023-01-04 15:14:59.417 CET
2023-01-04 15:15:02.178 CET;1010123004141423;27,7;2023-01-04 15:15:06.707 CET
