time;TraceabilityCode;PressForceValueFR;time.value
2023-01-04 14:46:00.937 CET;1010223004134159;28,8;2023-01-04 14:46:28.025 CET
2023-01-04 14:46:34.315 CET;1010123004134206;28,2;2023-01-04 14:46:38.734 CET
2023-01-04 14:46:42.226 CET;1010123004134213;28,5;2023-01-04 14:46:46.605 CET
2023-01-04 14:50:46.319 CET;1010123004134220;28,2;2023-01-04 14:50:50.740 CET
2023-01-04 14:55:18.178 CET;1010123004134626;28;2023-01-04 14:55:22.608 CET
2023-01-04 14:55:56.128 CET;1010123004135232;28,5;2023-01-04 14:56:00.548 CET
2023-01-04 14:56:03.388 CET;1010123004135239;28;2023-01-04 14:56:07.838 CET
2023-01-04 14:56:10.709 CET;1010123004135307;28,2;2023-01-04 14:56:15.279 CET
2023-01-04 14:56:18.088 CET;1010123004135538;27,7;2023-01-04 14:56:22.566 CET
2023-01-04 14:56:40.017 CET;1010123004135600;28;2023-01-04 14:56:44.477 CET
2023-01-04 14:56:47.308 CET;1010123004135607;28,5;2023-01-04 14:56:51.756 CET
2023-01-04 14:56:54.808 CET;1010123004135615;28;2023-01-04 14:56:59.276 CET
2023-01-04 14:57:16.957 CET;1010123004135637;27,7;2023-01-04 14:57:21.437 CET
2023-01-04 14:57:24.306 CET;1010123004135644;28,2;2023-01-04 14:57:28.786 CET
2023-01-04 14:57:31.627 CET;1010123004135651;28;2023-01-04 14:57:36.076 CET
2023-01-04 14:57:46.377 CET;1010123004135706;28,5;2023-01-04 14:57:50.796 CET
2023-01-04 14:58:01.197 CET;1010123004135721;28,2;2023-01-04 14:58:05.677 CET
2023-01-04 14:58:08.506 CET;1010123004135729;28,5;2023-01-04 14:58:12.957 CET
2023-01-04 14:58:15.846 CET;1010123004135736;28,2;2023-01-04 14:58:20.315 CET
2023-01-04 14:58:23.286 CET;1010123004135743;28;2023-01-04 14:58:27.756 CET
2023-01-04 14:58:38.236 CET;1010123004135758;27,7;2023-01-04 14:58:42.724 CET
2023-01-04 14:58:45.595 CET;1010123004135805;28,2;2023-01-04 14:58:50.075 CET
2023-01-04 14:58:53.026 CET;1010123004135813;27,7;2023-01-04 14:58:57.446 CET
2023-01-04 14:59:00.266 CET;1010123004135820;28,2;2023-01-04 14:59:04.796 CET
2023-01-04 14:59:07.696 CET;1010123004135828;28;2023-01-04 14:59:12.244 CET
2023-01-04 14:59:36.974 CET;1010123004135857;28,5;2023-01-04 14:59:41.453 CET
2023-01-04 14:59:59.164 CET;1010123004135919;28;2023-01-04 15:00:03.612 CET
2023-01-04 15:00:06.503 CET;1010123004135926;27,7;2023-01-04 15:00:11.052 CET
2023-01-04 15:00:13.834 CET;1010123004135934;28,5;2023-01-04 15:00:18.322 CET
2023-01-04 15:00:21.193 CET;1010123004135941;27,7;2023-01-04 15:00:25.683 CET
2023-01-04 15:00:28.573 CET;1010123004135948;28,2;2023-01-04 15:00:33.122 CET
2023-01-04 15:00:35.933 CET;1010123004135956;28,5;2023-01-04 15:00:40.403 CET
2023-01-04 15:00:50.602 CET;1010123004140011;28;2023-01-04 15:00:55.052 CET
2023-01-04 15:00:57.872 CET;1010123004140018;28,5;2023-01-04 15:01:02.403 CET
2023-01-04 15:01:05.312 CET;1010123004140025;28;2023-01-04 15:01:09.763 CET
2023-01-04 15:01:12.653 CET;1010123004140033;28,2;2023-01-04 15:01:17.112 CET
2023-01-04 15:01:27.332 CET;1010123004140047;28;2023-01-04 15:01:31.762 CET
2023-01-04 15:01:34.562 CET;1010123004140055;28,2;2023-01-04 15:01:39.042 CET
2023-01-04 15:01:42.473 CET;1010123004140102;28;2023-01-04 15:01:46.961 CET
2023-01-04 15:01:57.072 CET;1010123004140117;28,5;2023-01-04 15:02:01.522 CET
2023-01-04 15:02:04.451 CET;1010123004140124;28,2;2023-01-04 15:02:08.891 CET
2023-01-04 15:02:11.732 CET;1010123004140131;28,5;2023-01-04 15:02:16.171 CET
2023-01-04 15:02:19.092 CET;1010123004140146;27,7;2023-01-04 15:02:23.530 CET
2023-01-04 15:02:26.532 CET;1010123004140153;28,2;2023-01-04 15:02:31.052 CET
2023-01-04 15:03:05.881 CET;1010123004140207;28,5;2023-01-04 15:03:10.331 CET
2023-01-04 15:03:20.571 CET;1010123004140221;28;2023-01-04 15:03:25.010 CET
2023-01-04 15:03:28.220 CET;1010123004140228;28,8;2023-01-04 15:03:32.661 CET
2023-01-04 15:03:35.561 CET;1010123004140235;28;2023-01-04 15:03:40.010 CET
2023-01-04 15:06:26.299 CET;1010123004140333;28,5;2023-01-04 15:06:30.828 CET
2023-01-04 15:06:33.709 CET;1010123004140354;28;2023-01-04 15:06:38.168 CET
2023-01-04 15:06:41.128 CET;1010123004140401;28,5;2023-01-04 15:06:45.618 CET
2023-01-04 15:08:12.907 CET;1010123004140642;28,2;2023-01-04 15:08:19.986 CET
2023-01-04 15:08:43.336 CET;1010123004140754;28;2023-01-04 15:08:47.786 CET
2023-01-04 15:09:05.915 CET;1010123004140814;28,5;2023-01-04 15:09:10.335 CET
2023-01-04 15:09:35.674 CET;1010123004140843;28;2023-01-04 15:09:40.055 CET
2023-01-04 15:09:42.944 CET;1010123004140901;28,5;2023-01-04 15:09:47.463 CET
2023-01-04 15:09:50.255 CET;1010123004140909;28;2023-01-04 15:09:54.723 CET
2023-01-04 15:10:12.265 CET;1010123004140932;28,2;2023-01-04 15:10:16.713 CET
2023-01-04 15:10:26.884 CET;1010123004140947;28;2023-01-04 15:10:31.374 CET
2023-01-04 15:10:34.213 CET;1010123004140954;28,2;2023-01-04 15:10:38.642 CET
