time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 14:46:00.937 CET;1010223004134159;26,1;2023-01-04 14:46:28.025 CET
2023-01-04 14:46:42.226 CET;1010123004134213;26,4;2023-01-04 14:46:46.605 CET
2023-01-04 14:50:46.319 CET;1010123004134220;26,6;2023-01-04 14:50:50.740 CET
2023-01-04 14:51:08.240 CET;1010123004134352;26,9;2023-01-04 14:51:12.698 CET
2023-01-04 14:51:15.779 CET;1010123004134530;27,2;2023-01-04 14:51:20.219 CET
2023-01-04 14:55:02.128 CET;1010123004134547;26,6;2023-01-04 14:55:08.398 CET
2023-01-04 14:55:18.178 CET;1010123004134626;27,2;2023-01-04 14:55:22.608 CET
2023-01-04 14:55:34.219 CET;1010123004134815;26,6;2023-01-04 14:55:38.638 CET
2023-01-04 14:55:48.749 CET;1010123004135120;26,9;2023-01-04 14:55:53.279 CET
2023-01-04 14:56:18.088 CET;1010123004135538;27,7;2023-01-04 14:56:22.566 CET
2023-01-04 14:56:25.417 CET;1010123004135545;26,9;2023-01-04 14:56:29.917 CET
2023-01-04 14:56:32.667 CET;1010123004135552;27,2;2023-01-04 14:56:37.127 CET
2023-01-04 14:56:47.308 CET;1010123004135607;26,9;2023-01-04 14:56:51.756 CET
2023-01-04 14:56:54.808 CET;1010123004135615;27,2;2023-01-04 14:56:59.276 CET
2023-01-04 14:57:02.167 CET;1010123004135622;26,9;2023-01-04 14:57:06.638 CET
2023-01-04 14:57:09.657 CET;1010123004135629;27,4;2023-01-04 14:57:14.076 CET
2023-01-04 14:57:16.957 CET;1010123004135637;27,7;2023-01-04 14:57:21.437 CET
2023-01-04 14:57:24.306 CET;1010123004135644;26,9;2023-01-04 14:57:28.786 CET
2023-01-04 14:57:31.627 CET;1010123004135651;28,2;2023-01-04 14:57:36.076 CET
2023-01-04 14:57:38.986 CET;1010123004135659;28;2023-01-04 14:57:43.437 CET
2023-01-04 14:57:53.836 CET;1010123004135714;27,7;2023-01-04 14:57:58.316 CET
2023-01-04 14:58:01.197 CET;1010123004135721;28;2023-01-04 14:58:05.677 CET
2023-01-04 14:58:08.506 CET;1010123004135729;28,2;2023-01-04 14:58:12.957 CET
2023-01-04 14:58:15.846 CET;1010123004135736;27,7;2023-01-04 14:58:20.315 CET
2023-01-04 14:58:38.236 CET;1010123004135758;28;2023-01-04 14:58:42.724 CET
2023-01-04 14:58:53.026 CET;1010123004135813;27,7;2023-01-04 14:58:57.446 CET
2023-01-04 14:59:00.266 CET;1010123004135820;28;2023-01-04 14:59:04.796 CET
2023-01-04 14:59:07.696 CET;1010123004135828;28,2;2023-01-04 14:59:12.244 CET
2023-01-04 14:59:15.065 CET;1010123004135835;27,4;2023-01-04 14:59:19.595 CET
2023-01-04 14:59:22.345 CET;1010123004135842;28,5;2023-01-04 14:59:26.803 CET
2023-01-04 14:59:29.644 CET;1010123004135850;27,7;2023-01-04 14:59:34.174 CET
2023-01-04 14:59:44.375 CET;1010123004135904;27,4;2023-01-04 14:59:48.882 CET
2023-01-04 14:59:51.713 CET;1010123004135912;28;2023-01-04 14:59:56.243 CET
2023-01-04 15:00:06.503 CET;1010123004135926;28,2;2023-01-04 15:00:11.052 CET
2023-01-04 15:00:13.834 CET;1010123004135934;27,7;2023-01-04 15:00:18.322 CET
2023-01-04 15:00:21.193 CET;1010123004135941;28;2023-01-04 15:00:25.683 CET
2023-01-04 15:00:35.933 CET;1010123004135956;27,7;2023-01-04 15:00:40.403 CET
2023-01-04 15:00:43.312 CET;1010123004140003;28;2023-01-04 15:00:47.762 CET
2023-01-04 15:00:50.602 CET;1010123004140011;28,5;2023-01-04 15:00:55.052 CET
2023-01-04 15:00:57.872 CET;1010123004140018;28,2;2023-01-04 15:01:02.403 CET
2023-01-04 15:01:05.312 CET;1010123004140025;28;2023-01-04 15:01:09.763 CET
2023-01-04 15:01:12.653 CET;1010123004140033;28,2;2023-01-04 15:01:17.112 CET
2023-01-04 15:01:19.983 CET;1010123004140040;28,5;2023-01-04 15:01:24.401 CET
2023-01-04 15:01:27.332 CET;1010123004140047;28;2023-01-04 15:01:31.762 CET
2023-01-04 15:01:34.562 CET;1010123004140055;28,2;2023-01-04 15:01:39.042 CET
2023-01-04 15:01:42.473 CET;1010123004140102;28,5;2023-01-04 15:01:46.961 CET
2023-01-04 15:02:04.451 CET;1010123004140124;27,7;2023-01-04 15:02:08.891 CET
2023-01-04 15:02:11.732 CET;1010123004140131;28;2023-01-04 15:02:16.171 CET
2023-01-04 15:02:26.532 CET;1010123004140153;28,5;2023-01-04 15:02:31.052 CET
2023-01-04 15:02:33.832 CET;1010123004140200;28,2;2023-01-04 15:02:38.321 CET
2023-01-04 15:03:05.881 CET;1010123004140207;28;2023-01-04 15:03:10.331 CET
2023-01-04 15:03:13.250 CET;1010123004140214;28,2;2023-01-04 15:03:17.750 CET
2023-01-04 15:05:46.489 CET;1010123004140242;27,7;2023-01-04 15:05:50.937 CET
2023-01-04 15:06:11.378 CET;1010123004140311;28,2;2023-01-04 15:06:15.818 CET
2023-01-04 15:06:18.868 CET;1010123004140318;28;2023-01-04 15:06:23.267 CET
2023-01-04 15:06:26.299 CET;1010123004140333;27,7;2023-01-04 15:06:30.828 CET
2023-01-04 15:06:33.709 CET;1010123004140354;28;2023-01-04 15:06:38.168 CET
2023-01-04 15:06:41.128 CET;1010123004140401;28,5;2023-01-04 15:06:45.618 CET
2023-01-04 15:08:12.907 CET;1010123004140642;27,7;2023-01-04 15:08:19.986 CET
2023-01-04 15:08:35.357 CET;1010123004140746;27,4;2023-01-04 15:08:39.826 CET
2023-01-04 15:08:43.336 CET;1010123004140754;28,2;2023-01-04 15:08:47.786 CET
2023-01-04 15:08:58.526 CET;1010123004140808;28,5;2023-01-04 15:09:03.045 CET
