time;TraceabilityCode;PressForceValueRR;time.value
2023-01-04 14:46:00.937 CET;1010223004134159;32;2023-01-04 14:46:28.025 CET
2023-01-04 14:46:34.315 CET;1010123004134206;32,2;2023-01-04 14:46:38.734 CET
2023-01-04 14:50:46.319 CET;1010123004134220;32,5;2023-01-04 14:50:50.740 CET
2023-01-04 14:50:53.740 CET;1010123004134227;32,2;2023-01-04 14:50:58.229 CET
2023-01-04 14:51:08.240 CET;1010123004134352;31,7;2023-01-04 14:51:12.698 CET
2023-01-04 14:51:15.779 CET;1010123004134530;32;2023-01-04 14:51:20.219 CET
2023-01-04 14:55:26.888 CET;1010123004134807;32,8;2023-01-04 14:55:31.358 CET
2023-01-04 14:55:34.219 CET;1010123004134815;33;2023-01-04 14:55:38.638 CET
2023-01-04 14:55:41.509 CET;1010123004135113;32,5;2023-01-04 14:55:45.987 CET
2023-01-04 14:55:56.128 CET;1010123004135232;32,8;2023-01-04 14:56:00.548 CET
2023-01-04 14:56:03.388 CET;1010123004135239;32;2023-01-04 14:56:07.838 CET
2023-01-04 14:56:10.709 CET;1010123004135307;32,5;2023-01-04 14:56:15.279 CET
2023-01-04 14:56:18.088 CET;1010123004135538;32,8;2023-01-04 14:56:22.566 CET
2023-01-04 14:56:25.417 CET;1010123004135545;32,5;2023-01-04 14:56:29.917 CET
2023-01-04 14:56:32.667 CET;1010123004135552;31,7;2023-01-04 14:56:37.127 CET
2023-01-04 14:56:47.308 CET;1010123004135607;31,4;2023-01-04 14:56:51.756 CET
2023-01-04 14:57:02.167 CET;1010123004135622;30,9;2023-01-04 14:57:06.638 CET
2023-01-04 14:57:09.657 CET;1010123004135629;31,4;2023-01-04 14:57:14.076 CET
2023-01-04 14:57:16.957 CET;1010123004135637;32,2;2023-01-04 14:57:21.437 CET
2023-01-04 14:57:24.306 CET;1010123004135644;32;2023-01-04 14:57:28.786 CET
2023-01-04 14:57:31.627 CET;1010123004135651;32,5;2023-01-04 14:57:36.076 CET
2023-01-04 14:57:38.986 CET;1010123004135659;32,2;2023-01-04 14:57:43.437 CET
2023-01-04 14:57:53.836 CET;1010123004135714;32,5;2023-01-04 14:57:58.316 CET
2023-01-04 14:58:01.197 CET;1010123004135721;33;2023-01-04 14:58:05.677 CET
2023-01-04 14:58:08.506 CET;1010123004135729;32,5;2023-01-04 14:58:12.957 CET
2023-01-04 14:58:15.846 CET;1010123004135736;32,2;2023-01-04 14:58:20.315 CET
2023-01-04 14:58:23.286 CET;1010123004135743;32;2023-01-04 14:58:27.756 CET
2023-01-04 14:58:30.855 CET;1010123004135750;32,2;2023-01-04 14:58:35.355 CET
2023-01-04 14:58:38.236 CET;1010123004135758;32,8;2023-01-04 14:58:42.724 CET
2023-01-04 14:58:45.595 CET;1010123004135805;32,2;2023-01-04 14:58:50.075 CET
2023-01-04 14:59:00.266 CET;1010123004135820;32;2023-01-04 14:59:04.796 CET
2023-01-04 14:59:07.696 CET;1010123004135828;32,8;2023-01-04 14:59:12.244 CET
2023-01-04 14:59:15.065 CET;1010123004135835;32,2;2023-01-04 14:59:19.595 CET
2023-01-04 14:59:22.345 CET;1010123004135842;32;2023-01-04 14:59:26.803 CET
2023-01-04 14:59:29.644 CET;1010123004135850;32,2;2023-01-04 14:59:34.174 CET
2023-01-04 14:59:44.375 CET;1010123004135904;32,5;2023-01-04 14:59:48.882 CET
2023-01-04 14:59:51.713 CET;1010123004135912;33;2023-01-04 14:59:56.243 CET
2023-01-04 14:59:59.164 CET;1010123004135919;31,7;2023-01-04 15:00:03.612 CET
2023-01-04 15:00:06.503 CET;1010123004135926;32,5;2023-01-04 15:00:11.052 CET
2023-01-04 15:00:21.193 CET;1010123004135941;32,8;2023-01-04 15:00:25.683 CET
2023-01-04 15:00:28.573 CET;1010123004135948;33;2023-01-04 15:00:33.122 CET
2023-01-04 15:00:35.933 CET;1010123004135956;32,8;2023-01-04 15:00:40.403 CET
2023-01-04 15:00:50.602 CET;1010123004140011;32,2;2023-01-04 15:00:55.052 CET
2023-01-04 15:01:05.312 CET;1010123004140025;32,5;2023-01-04 15:01:09.763 CET
2023-01-04 15:01:12.653 CET;1010123004140033;32,8;2023-01-04 15:01:17.112 CET
2023-01-04 15:01:19.983 CET;1010123004140040;32;2023-01-04 15:01:24.401 CET
