time;PressMode
2023-01-02 04:14:29.529 CET;2
2023-01-02 04:14:30.539 CET;64
2023-01-02 04:14:31.539 CET;4
2023-01-02 06:34:26.072 CET;16
2023-01-02 10:26:00.601 CET;4
2023-01-02 10:26:45.779 CET;16
2023-01-02 11:30:12.983 CET;8
2023-01-02 11:40:16.391 CET;0
2023-01-02 11:40:17.401 CET;4
2023-01-02 11:41:54.780 CET;16
2023-01-02 20:18:32.663 CET;8
2023-01-02 20:26:23.545 CET;16
2023-01-02 23:13:09.526 CET;0
2023-01-02 23:13:10.526 CET;8
2023-01-02 23:20:47.359 CET;4
2023-01-02 23:21:23.500 CET;16
2023-01-03 01:35:16.602 CET;4
2023-01-03 01:36:06.802 CET;16
2023-01-03 03:37:59.026 CET;4
2023-01-03 03:39:02.285 CET;16
2023-01-03 06:34:07.257 CET;8
2023-01-03 06:42:21.240 CET;32
2023-01-03 06:42:22.240 CET;4
2023-01-03 06:51:22.404 CET;16
2023-01-03 19:24:40.032 CET;8
2023-01-03 19:36:12.805 CET;4
2023-01-03 19:37:07.013 CET;16
2023-01-03 21:20:10.717 CET;8
2023-01-03 21:29:00.838 CET;4
2023-01-03 21:30:43.246 CET;16
2023-01-04 00:43:24.463 CET;8
2023-01-04 00:54:01.003 CET;4
2023-01-04 00:56:01.482 CET;16
2023-01-04 05:06:47.612 CET;8
2023-01-04 05:14:39.496 CET;4
2023-01-04 05:17:11.104 CET;16
2023-01-04 09:31:25.059 CET;0
2023-01-04 09:31:26.059 CET;8
2023-01-04 09:38:19.723 CET;0
2023-01-04 09:38:20.723 CET;16
2023-01-04 14:09:32.743 CET;8
2023-01-04 14:11:04.111 CET;4
2023-01-04 14:11:49.292 CET;8
2023-01-04 14:22:08.760 CET;4
2023-01-04 14:23:54.190 CET;16
2023-01-05 01:52:26.295 CET;4
2023-01-05 01:52:55.415 CET;16
2023-01-05 02:01:49.546 CET;32
2023-01-05 02:01:51.555 CET;8
2023-01-05 02:06:51.760 CET;32
2023-01-05 02:06:52.760 CET;4
2023-01-05 02:07:51.000 CET;16
2023-01-05 05:42:11.388 CET;8
2023-01-05 05:49:19.105 CET;4
2023-01-05 05:50:48.456 CET;16
2023-01-05 07:58:49.154 CET;8
2023-01-05 08:07:32.249 CET;4
2023-01-05 08:09:34.736 CET;16
2023-01-05 10:57:44.056 CET;8
2023-01-05 11:09:40.924 CET;4
2023-01-05 11:12:50.681 CET;16
2023-01-05 17:23:37.591 CET;8
2023-01-05 17:37:02.809 CET;4
2023-01-05 17:40:00.526 CET;16
2023-01-05 17:54:43.051 CET;4
2023-01-05 17:54:51.081 CET;16
2023-01-05 18:01:39.713 CET;4
2023-01-05 18:01:47.743 CET;16
2023-01-05 18:34:16.532 CET;0
2023-01-05 18:34:17.532 CET;4
2023-01-05 18:35:51.910 CET;16
2023-01-05 20:16:26.029 CET;8
2023-01-05 20:31:45.700 CET;0
2023-01-05 20:31:46.711 CET;4
2023-01-05 20:41:09.953 CET;16
2023-01-06 00:23:33.292 CET;4
2023-01-06 00:23:36.302 CET;16
2023-01-06 00:23:44.332 CET;4
2023-01-06 00:23:47.352 CET;16
2023-01-06 00:23:48.352 CET;4
2023-01-06 00:23:53.372 CET;16
2023-01-06 00:34:48.992 CET;0
2023-01-06 00:34:49.990 CET;8
2023-01-06 00:47:39.072 CET;4
2023-01-06 00:56:40.233 CET;16
2023-01-06 04:04:54.364 CET;0
2023-01-06 04:04:55.374 CET;8
2023-01-06 05:27:51.246 CET;0
2023-01-06 05:27:52.256 CET;4
2023-01-06 05:34:33.858 CET;8
2023-01-06 05:34:50.928 CET;16
2023-01-06 05:34:51.937 CET;4
2023-01-06 05:35:17.039 CET;0
2023-01-06 05:35:18.036 CET;8
2023-01-07 14:44:19.927 CET;0
2023-02-04 00:33:20.730 CET;16
2023-02-06 11:00:55.628 CET;4
2023-02-06 11:01:08.677 CET;8
2023-02-06 11:09:09.601 CET;4
2023-02-07 13:29:40.477 CET;16
2023-02-07 15:50:35.263 CET;8
