time;TraceabilityCode;TotalPressForceValue;time.value
2023-01-04 14:46:00.937 CET;1010223004134159;28,3;2023-01-04 14:46:28.025 CET
2023-01-04 14:50:53.740 CET;1010123004134227;28,5;2023-01-04 14:50:58.229 CET
2023-01-04 14:51:01.000 CET;1010123004134308;28,4;2023-01-04 14:51:05.489 CET
2023-01-04 14:51:15.779 CET;1010123004134530;28,3;2023-01-04 14:51:20.219 CET
2023-01-04 14:55:02.128 CET;1010123004134547;28,2;2023-01-04 14:55:08.398 CET
2023-01-04 14:55:18.178 CET;1010123004134626;28,4;2023-01-04 14:55:22.608 CET
2023-01-04 14:55:26.888 CET;1010123004134807;28,6;2023-01-04 14:55:31.358 CET
2023-01-04 14:55:34.219 CET;1010123004134815;28,7;2023-01-04 14:55:38.638 CET
2023-01-04 14:55:41.509 CET;1010123004135113;28,5;2023-01-04 14:55:45.987 CET
2023-01-04 14:55:48.749 CET;1010123004135120;28,6;2023-01-04 14:55:53.279 CET
2023-01-04 14:55:56.128 CET;1010123004135232;28,8;2023-01-04 14:56:00.548 CET
2023-01-04 14:56:03.388 CET;1010123004135239;28,6;2023-01-04 14:56:07.838 CET
2023-01-04 14:56:18.088 CET;1010123004135538;28,8;2023-01-04 14:56:22.566 CET
2023-01-04 14:56:25.417 CET;1010123004135545;28,7;2023-01-04 14:56:29.917 CET
2023-01-04 14:56:32.667 CET;1010123004135552;28,4;2023-01-04 14:56:37.127 CET
2023-01-04 14:56:40.017 CET;1010123004135600;28,6;2023-01-04 14:56:44.477 CET
2023-01-04 14:56:47.308 CET;1010123004135607;28,4;2023-01-04 14:56:51.756 CET
2023-01-04 14:56:54.808 CET;1010123004135615;28,3;2023-01-04 14:56:59.276 CET
2023-01-04 14:57:02.167 CET;1010123004135622;28,2;2023-01-04 14:57:06.638 CET
2023-01-04 14:57:09.657 CET;1010123004135629;28,4;2023-01-04 14:57:14.076 CET
2023-01-04 14:57:16.957 CET;1010123004135637;28,6;2023-01-04 14:57:21.437 CET
2023-01-04 14:57:24.306 CET;1010123004135644;28,5;2023-01-04 14:57:28.786 CET
2023-01-04 14:57:31.627 CET;1010123004135651;29;2023-01-04 14:57:36.076 CET
2023-01-04 14:57:38.986 CET;1010123004135659;28,7;2023-01-04 14:57:43.437 CET
