time;TraceabilityCode;ClutchBrakeTemperatureUnitOil;time.value
2023-01-04 14:48:27.056 CET;1010223004134159;44,6;2023-01-04 14:48:32.516 CET
2023-01-04 14:48:39.506 CET;1010123004134206;44,7;2023-01-04 14:48:43.786 CET
2023-01-04 14:50:55.829 CET;1010123004134213;45,3;2023-01-04 14:51:00.170 CET
2023-01-04 14:51:25.410 CET;1010123004134352;45,4;2023-01-04 14:51:29.658 CET
2023-01-04 14:55:20.249 CET;1010123004134547;45,6;2023-01-04 14:55:24.678 CET
2023-01-04 14:55:33.739 CET;1010123004134626;45,5;2023-01-04 14:55:38.039 CET
2023-01-04 14:55:42.598 CET;1010123004134807;45,4;2023-01-04 14:55:46.848 CET
2023-01-04 14:56:05.168 CET;1010123004135120;45,3;2023-01-04 14:56:09.388 CET
2023-01-04 14:56:41.927 CET;1010123004135545;45,4;2023-01-04 14:56:46.197 CET
2023-01-04 14:56:56.818 CET;1010123004135600;45,5;2023-01-04 14:57:01.076 CET
2023-01-04 14:57:11.608 CET;1010123004135615;45,6;2023-01-04 14:57:15.867 CET
2023-01-04 14:57:19.226 CET;1010123004135622;45,8;2023-01-04 14:57:23.466 CET
2023-01-04 14:57:26.717 CET;1010123004135629;46;2023-01-04 14:57:30.986 CET
2023-01-04 14:57:34.207 CET;1010123004135637;45,9;2023-01-04 14:57:38.516 CET
2023-01-04 14:57:41.556 CET;1010123004135644;46,1;2023-01-04 14:57:45.786 CET
2023-01-04 14:57:49.006 CET;1010123004135651;46,2;2023-01-04 14:57:53.306 CET
2023-01-04 14:58:03.756 CET;1010123004135706;46,3;2023-01-04 14:58:08.036 CET
2023-01-04 14:58:11.157 CET;1010123004135714;46,5;2023-01-04 14:58:15.467 CET
2023-01-04 14:58:25.956 CET;1010123004135729;46,6;2023-01-04 14:58:30.276 CET
2023-01-04 14:58:33.385 CET;1010123004135736;46,7;2023-01-04 14:58:37.726 CET
2023-01-04 14:58:40.736 CET;1010123004135743;46,9;2023-01-04 14:58:45.075 CET
2023-01-04 14:59:02.976 CET;1010123004135805;47;2023-01-04 14:59:07.224 CET
2023-01-04 14:59:10.335 CET;1010123004135813;47,1;2023-01-04 14:59:14.605 CET
2023-01-04 14:59:17.835 CET;1010123004135820;47,2;2023-01-04 14:59:22.115 CET
2023-01-04 14:59:25.204 CET;1010123004135828;47,3;2023-01-04 14:59:29.464 CET
2023-01-04 14:59:47.434 CET;1010123004135850;47,5;2023-01-04 14:59:51.632 CET
2023-01-04 15:00:02.174 CET;1010123004135904;47,6;2023-01-04 15:00:06.433 CET
2023-01-04 15:00:09.683 CET;1010123004135912;47,8;2023-01-04 15:00:13.872 CET
2023-01-04 15:00:24.344 CET;1010123004135926;47,9;2023-01-04 15:00:28.673 CET
2023-01-04 15:00:31.753 CET;1010123004135934;48;2023-01-04 15:00:36.032 CET
2023-01-04 15:00:46.563 CET;1010123004135948;48,1;2023-01-04 15:00:50.923 CET
2023-01-04 15:00:54.013 CET;1010123004135956;48,2;2023-01-04 15:00:58.282 CET
2023-01-04 15:01:08.842 CET;1010123004140011;48,4;2023-01-04 15:01:13.082 CET
2023-01-04 15:01:23.602 CET;1010123004140025;48,5;2023-01-04 15:01:27.871 CET
2023-01-04 15:01:31.062 CET;1010123004140033;48,6;2023-01-04 15:01:35.252 CET
2023-01-04 15:01:45.802 CET;1010123004140047;48,8;2023-01-04 15:01:50.042 CET
2023-01-04 15:02:00.562 CET;1010123004140102;48,9;2023-01-04 15:02:04.841 CET
2023-01-04 15:02:15.391 CET;1010123004140117;49;2023-01-04 15:02:19.641 CET
2023-01-04 15:02:30.211 CET;1010123004140131;49,1;2023-01-04 15:02:34.440 CET
2023-01-04 15:02:37.651 CET;1010123004140146;49,2;2023-01-04 15:02:41.891 CET
2023-01-04 15:02:45.012 CET;1010123004140153;49,3;2023-01-04 15:02:49.331 CET
2023-01-04 15:03:21.641 CET;1010123004140207;49,7;2023-01-04 15:03:25.911 CET
2023-01-04 15:03:37.030 CET;1010123004140221;49,8;2023-01-04 15:03:41.331 CET
2023-01-04 15:06:02.158 CET;1010123004140242;49,2;2023-01-04 15:06:06.477 CET
2023-01-04 15:06:27.108 CET;1010123004140311;48,9;2023-01-04 15:06:31.348 CET
2023-01-04 15:06:42.529 CET;1010123004140333;48,8;2023-01-04 15:06:46.779 CET
2023-01-04 15:08:31.746 CET;1010123004140354;48,2;2023-01-04 15:08:35.956 CET
2023-01-04 15:08:39.657 CET;1010123004140401;48,1;2023-01-04 15:08:43.857 CET
2023-01-04 15:08:54.486 CET;1010123004140746;48;2023-01-04 15:08:58.744 CET
2023-01-04 15:09:01.855 CET;1010123004140754;47,9;2023-01-04 15:09:06.085 CET
2023-01-04 15:09:16.676 CET;1010123004140808;47,8;2023-01-04 15:09:20.894 CET
2023-01-04 15:09:24.075 CET;1010123004140814;47,7;2023-01-04 15:09:28.334 CET
2023-01-04 15:09:38.944 CET;1010123004140828;47,8;2023-01-04 15:09:43.134 CET
2023-01-04 15:09:46.275 CET;1010123004140836;47,7;2023-01-04 15:09:50.493 CET
2023-01-04 15:09:53.694 CET;1010123004140843;47,8;2023-01-04 15:09:57.934 CET
2023-01-04 15:10:01.095 CET;1010123004140901;47,9;2023-01-04 15:10:05.293 CET
2023-01-04 15:10:08.484 CET;1010123004140909;48;2023-01-04 15:10:12.733 CET
2023-01-04 15:10:23.334 CET;1010123004140924;48,1;2023-01-04 15:10:27.532 CET
2023-01-04 15:10:38.114 CET;1010123004140939;48,2;2023-01-04 15:10:42.403 CET
2023-01-04 15:10:45.463 CET;1010123004140947;48,3;2023-01-04 15:10:49.694 CET
2023-01-04 15:10:52.894 CET;1010123004140954;48,4;2023-01-04 15:10:57.132 CET
2023-01-04 15:11:00.253 CET;1010123004141001;48,5;2023-01-04 15:11:04.572 CET
2023-01-04 15:11:18.852 CET;1010123004141016;48,7;2023-01-04 15:11:23.183 CET
2023-01-04 15:11:34.153 CET;1010123004141031;48,8;2023-01-04 15:11:38.451 CET
2023-01-04 15:11:48.993 CET;1010123004141055;48,9;2023-01-04 15:11:53.312 CET
2023-01-04 15:11:56.382 CET;1010123004141102;49;2023-01-04 15:12:00.602 CET
2023-01-04 15:12:20.411 CET;1010123004141116;49,1;2023-01-04 15:12:24.700 CET
2023-01-04 15:12:43.201 CET;1010123004141138;49,2;2023-01-04 15:12:47.490 CET
2023-01-04 15:13:20.280 CET;1010123004141224;49,3;2023-01-04 15:13:24.611 CET
2023-01-04 15:13:42.460 CET;1010123004141247;49,4;2023-01-04 15:13:46.769 CET
2023-01-04 15:14:12.039 CET;1010123004141316;49,5;2023-01-04 15:14:16.289 CET
2023-01-04 15:14:19.279 CET;1010123004141323;49,6;2023-01-04 15:14:23.578 CET
2023-01-04 15:14:34.180 CET;1010123004141338;49,7;2023-01-04 15:14:38.448 CET
2023-01-04 15:14:41.569 CET;1010123004141346;49,8;2023-01-04 15:14:45.888 CET
2023-01-04 15:14:56.459 CET;1010123004141401;49,9;2023-01-04 15:15:00.697 CET
2023-01-04 15:15:10.979 CET;1010123004141415;50;2023-01-04 15:15:15.338 CET
2023-01-04 15:15:25.878 CET;1010123004141430;50,1;2023-01-04 15:15:30.138 CET
