,time,TraceabilityCode,CushionPumpMaxPower2,time.value
0,2023-01-04 12:22:34.703,1010123004112211,56.1,2023-01-04 12:22:41.354
1,2023-01-04 12:26:17.480,1010123004112554,55.8,2023-01-04 12:26:24.079
2,2023-01-04 12:27:51.529,1010123004112728,55.5,2023-01-04 12:27:58.157
3,2023-01-04 12:29:32.467,1010123004112910,55.5,2023-01-04 12:29:32.477
4,2023-01-04 12:34:15.993,1010223004113357,55.5,2023-01-04 12:34:22.644
5,2023-01-04 12:36:46.460,1010223004113623,55.8,2023-01-04 12:36:53.121
6,2023-01-04 12:37:59.559,1010223004113736,55.8,2023-01-04 12:38:06.249
7,2023-01-04 12:41:42.145,1010223004114119,55.8,2023-01-04 12:41:48.815
8,2023-01-04 12:42:31.184,1010223004114155,55.8,2023-01-04 12:42:31.214
9,2023-01-04 12:47:20.779,1010223004114702,55.5,2023-01-04 12:47:27.369
10,2023-01-04 12:48:04.309,1010223004114744,55.8,2023-01-04 12:48:10.979
11,2023-01-04 12:48:47.168,1010223004114825,55.5,2023-01-04 12:48:53.779
12,2023-01-04 12:49:36.858,1010223004114915,55.5,2023-01-04 12:49:43.526
13,2023-01-04 13:00:05.816,1010223004115945,55.8,2023-01-04 13:00:12.496
14,2023-01-04 13:06:32.420,1010123004120611,55.8,2023-01-04 13:06:39.059
15,2023-01-04 13:13:12.835,1010123004121252,55.8,2023-01-04 13:13:19.542
16,2023-01-04 13:13:34.763,1010123004121313,55.8,2023-01-04 13:13:41.392
17,2023-01-04 13:17:10.559,1010123004121648,56.1,2023-01-04 13:17:17.158
18,2023-01-04 13:18:23.467,1010123004121800,56.1,2023-01-04 13:18:30.187
19,2023-01-04 13:20:53.595,1010123004122030,55.8,2023-01-04 13:20:53.654
20,2023-01-04 13:23:54.273,1010123004122331,55.8,2023-01-04 13:24:00.921
21,2023-01-04 13:24:23.851,1010123004122400,56.1,2023-01-04 13:24:30.440
22,2023-01-04 13:27:56.598,1010123004122429,56.1,2023-01-04 13:28:03.239
23,2023-01-04 13:33:00.872,1010123004123237,55.5,2023-01-04 13:33:07.471
24,2023-01-04 13:33:15.871,1010123004123252,56.1,2023-01-04 13:33:22.601
25,2023-01-04 13:36:05.500,1010123004123259,55.8,2023-01-04 13:36:12.200
26,2023-01-04 13:37:26.568,1010123004123702,56.1,2023-01-04 13:37:33.256
27,2023-01-04 13:39:35.246,1010223004123920,55.8,2023-01-04 13:39:35.246
28,2023-01-04 13:44:19.111,1010223004124355,55.8,2023-01-04 13:44:25.720
29,2023-01-04 13:47:19.017,1010223004124655,56.1,2023-01-04 13:47:19.017
30,2023-01-04 13:49:29.125,1010223004124906,55.8,2023-01-04 13:49:35.815
31,2023-01-04 13:51:38.473,1010223004125115,56.1,2023-01-04 13:51:45.181
32,2023-01-04 13:51:46.072,1010223004125122,55.8,2023-01-04 13:51:52.691
33,2023-01-04 13:52:50.861,1010223004125228,55.8,2023-01-04 13:52:57.490
34,2023-01-04 13:53:05.232,1010223004125242,55.8,2023-01-04 13:53:11.891
35,2023-01-04 13:55:28.688,1010223004125303,55.8,2023-01-04 13:55:28.698
36,2023-01-04 13:55:55.868,1010223004125536,55.8,2023-01-04 13:55:55.898
37,2023-01-04 13:57:52.246,1010223004125734,55.8,2023-01-04 13:57:58.845
38,2023-01-04 14:00:24.203,1010223004130001,55.8,2023-01-04 14:00:30.862
39,2023-01-04 14:02:26.232,1010223004130203,56.1,2023-01-04 14:02:32.861
40,2023-01-04 14:05:04.960,1010223004130442,56.1,2023-01-04 14:05:11.589
41,2023-01-04 14:42:53.408,1010223004134159,59.4,2023-01-04 14:43:24.108
42,2023-01-04 14:43:37.658,1010123004134206,55.8,2023-01-04 14:43:45.298
43,2023-01-04 14:45:32.667,1010123004134220,56.1,2023-01-04 14:45:40.316
44,2023-01-04 14:46:53.325,1010123004134352,54.9,2023-01-04 14:47:00.904
45,2023-01-04 14:51:05.460,1010123004134547,55.8,2023-01-04 14:51:05.549
46,2023-01-04 14:52:17.010,1010123004134626,54.9,2023-01-04 14:52:17.299
47,2023-01-04 14:52:24.341,1010123004134807,55.8,2023-01-04 14:52:24.591
48,2023-01-04 14:52:52.190,1010123004134815,55.2,2023-01-04 14:52:52.509
49,2023-01-04 14:52:52.190,1010123004134815,56.1,2023-01-04 14:52:59.849
50,2023-01-04 14:55:38.029,1010123004135232,54.9,2023-01-04 14:55:38.198
51,2023-01-04 14:55:45.448,1010123004135239,56.1,2023-01-04 14:55:45.638
52,2023-01-04 14:55:52.918,1010123004135307,55.5,2023-01-04 14:55:53.069
53,2023-01-04 14:56:00.289,1010123004135538,55.2,2023-01-04 14:56:00.519
54,2023-01-04 14:56:22.207,1010123004135600,55.5,2023-01-04 14:56:22.427
55,2023-01-04 14:56:29.517,1010123004135607,55.2,2023-01-04 14:56:29.747
56,2023-01-04 14:58:27.726,1010123004135805,55.5,2023-01-04 14:58:28.026
57,2023-01-04 14:58:35.135,1010123004135813,55.2,2023-01-04 14:58:35.315
58,2023-01-04 15:00:18.184,1010123004135956,54.9,2023-01-04 15:00:18.342
59,2023-01-04 15:00:25.533,1010123004140003,55.2,2023-01-04 15:00:25.713
60,2023-01-04 15:00:40.213,1010123004140018,54.9,2023-01-04 15:00:40.352
61,2023-01-04 15:00:47.453,1010123004140025,55.2,2023-01-04 15:00:47.723
62,2023-01-04 15:01:02.072,1010123004140040,54.9,2023-01-04 15:01:02.351
63,2023-01-04 15:01:09.423,1010123004140047,55.2,2023-01-04 15:01:09.632
64,2023-01-04 15:01:16.792,1010123004140055,54.9,2023-01-04 15:01:16.992
65,2023-01-04 15:01:24.142,1010123004140102,55.2,2023-01-04 15:01:24.361
66,2023-01-04 15:01:38.753,1010123004140117,54.9,2023-01-04 15:01:38.921
67,2023-01-04 15:01:46.032,1010123004140124,55.2,2023-01-04 15:01:46.272
68,2023-01-04 15:02:24.062,1010123004140207,55.5,2023-01-04 15:02:24.282
69,2023-01-04 15:02:56.030,1010123004140214,55.2,2023-01-04 15:02:56.361
70,2023-01-04 15:03:03.460,1010123004140221,56.1,2023-01-04 15:03:03.641
71,2023-01-04 15:03:10.841,1010123004140228,55.2,2023-01-04 15:03:10.930
72,2023-01-04 15:03:18.270,1010123004140235,55.5,2023-01-04 15:03:18.440
73,2023-01-04 15:03:25.641,1010123004140242,55.2,2023-01-04 15:03:25.891
74,2023-01-04 15:06:01.628,1010123004140318,55.8,2023-01-04 15:06:01.878
75,2023-01-04 15:06:09.019,1010123004140333,54.6,2023-01-04 15:06:09.247
76,2023-01-04 15:06:16.418,1010123004140354,55.2,2023-01-04 15:06:16.608
77,2023-01-04 15:08:17.756,1010123004140801,55.8,2023-01-04 15:08:17.887
78,2023-01-04 15:08:25.137,1010123004140808,55.5,2023-01-04 15:08:25.326
79,2023-01-04 15:08:25.137,1010123004140808,55.2,2023-01-04 15:08:32.776
80,2023-01-04 15:09:01.736,1010123004140828,54.6,2023-01-04 15:09:01.884
81,2023-01-04 15:09:24.625,1010123004140901,55.5,2023-01-04 15:09:24.763
82,2023-01-04 15:09:32.025,1010123004140909,55.2,2023-01-04 15:09:32.203
83,2023-01-04 15:09:39.315,1010123004140916,54.9,2023-01-04 15:09:39.565
84,2023-01-04 15:09:54.105,1010123004140932,55.2,2023-01-04 15:09:54.283
85,2023-01-04 15:10:08.855,1010123004140947,54.9,2023-01-04 15:10:09.075
86,2023-01-04 15:10:16.244,1010123004140954,55.2,2023-01-04 15:10:16.444
87,2023-01-04 15:10:53.434,1010123004141023,55.8,2023-01-04 15:10:53.614
88,2023-01-04 15:11:00.743,1010123004141031,55.5,2023-01-04 15:11:00.923
89,2023-01-04 15:11:08.243,1010123004141038,55.2,2023-01-04 15:11:08.374
90,2023-01-04 15:11:23.023,1010123004141102,54.9,2023-01-04 15:11:23.163
91,2023-01-04 15:11:30.513,1010123004141109,55.2,2023-01-04 15:11:30.612
92,2023-01-04 15:11:54.973,1010123004141123,55.8,2023-01-04 15:11:55.233
93,2023-01-04 15:12:02.453,1010123004141130,54.6,2023-01-04 15:12:02.592
94,2023-01-04 15:12:09.782,1010123004141138,54.9,2023-01-04 15:12:10.052
95,2023-01-04 15:12:17.273,1010123004141145,55.2,2023-01-04 15:12:17.413
96,2023-01-04 15:12:24.552,1010123004141202,54.9,2023-01-04 15:12:24.841
97,2023-01-04 15:12:32.032,1010123004141209,55.2,2023-01-04 15:12:32.200
98,2023-01-04 15:12:39.451,1010123004141217,54.9,2023-01-04 15:12:39.572
99,2023-01-04 15:12:54.361,1010123004141232,55.2,2023-01-04 15:12:54.520
100,2023-01-04 15:13:01.760,1010123004141239,54.9,2023-01-04 15:13:01.881
101,2023-01-04 15:13:31.240,1010123004141309,55.2,2023-01-04 15:13:31.421
102,2023-01-04 15:13:38.621,1010123004141316,54.9,2023-01-04 15:13:38.750
103,2023-01-04 15:15:22.059,1010123004141500,55.2,2023-01-04 15:15:22.298
104,2023-01-04 15:15:29.437,1010123004141507,54.9,2023-01-04 15:15:29.648
105,2023-01-04 15:15:44.198,1010123004141522,55.2,2023-01-04 15:15:44.368
106,2023-01-04 15:15:51.648,1010123004141529,54.9,2023-01-04 15:15:51.808
107,2023-01-04 15:15:59.007,1010123004141536,55.2,2023-01-04 15:15:59.247
108,2023-01-04 15:16:06.457,1010123004141544,54.9,2023-01-04 15:16:06.598
109,2023-01-04 15:16:13.828,1010123004141551,55.2,2023-01-04 15:16:13.967
110,2023-01-04 15:16:21.167,1010123004141559,54.9,2023-01-04 15:16:21.326
111,2023-01-04 15:16:28.596,1010123004141606,54.6,2023-01-04 15:16:28.846
112,2023-01-04 15:16:35.967,1010123004141614,54.9,2023-01-04 15:16:36.127
113,2023-01-04 15:16:50.826,1010123004141628,54.6,2023-01-04 15:16:50.937
114,2023-01-04 15:16:58.217,1010123004141636,54.9,2023-01-04 15:16:58.377
115,2023-01-04 15:17:05.566,1010123004141643,55.2,2023-01-04 15:17:05.726
116,2023-01-04 15:17:12.937,1010123004141650,54.9,2023-01-04 15:17:13.085
117,2023-01-04 15:19:25.164,1010123004141720,55.5,2023-01-04 15:19:25.344
118,2023-01-04 15:19:32.703,1010123004141735,55.2,2023-01-04 15:19:32.773
119,2023-01-04 15:20:30.322,1010123004142015,55.8,2023-01-04 15:20:30.592
120,2023-01-04 15:21:12.651,1010123004142057,55.8,2023-01-04 15:21:12.982
121,2023-01-04 15:21:55.000,1010123004142140,55.8,2023-01-04 15:21:55.220
122,2023-01-04 15:23:20.279,1010123004142215,55.2,2023-01-04 15:23:20.598
123,2023-01-04 15:23:27.720,1010123004142222,55.8,2023-01-04 15:23:27.888
124,2023-01-04 15:23:35.180,1010123004142250,54.9,2023-01-04 15:23:35.338
125,2023-01-04 15:23:42.660,1010123004142257,55.2,2023-01-04 15:23:42.769
126,2023-01-04 15:24:17.838,1010123004142402,55.8,2023-01-04 15:24:18.118
127,2023-01-04 15:24:25.299,1010123004142409,54.6,2023-01-04 15:24:25.418
