,time,TraceabilityCode,CushionWaterTemperature,time.value
0,2023-01-04 12:20:53.176,1010123004112030,32.0,2023-01-04 12:20:59.835
1,2023-01-04 12:27:29.700,1010123004112707,31.1,2023-01-04 12:27:36.319
2,2023-01-04 12:29:32.467,1010123004112910,32.2,2023-01-04 12:29:32.477
3,2023-01-04 12:33:25.515,1010223004113309,33.3,2023-01-04 12:33:32.164
4,2023-01-04 12:34:15.993,1010223004113357,33.3,2023-01-04 12:34:22.644
5,2023-01-04 12:34:30.273,1010223004113411,33.4,2023-01-04 12:34:30.323
6,2023-01-04 12:35:41.713,1010223004113519,32.5,2023-01-04 12:35:48.411
7,2023-01-04 12:36:39.621,1010223004113616,32.0,2023-01-04 12:36:39.621
8,2023-01-04 12:36:46.460,1010223004113623,31.9,2023-01-04 12:36:53.121
9,2023-01-04 12:43:45.903,1010223004114326,32.0,2023-01-04 12:43:52.582
10,2023-01-04 12:44:27.993,1010223004114408,32.1,2023-01-04 12:44:28.022
11,2023-01-04 12:48:47.168,1010223004114825,31.9,2023-01-04 12:48:53.779
12,2023-01-04 12:49:23.267,1010223004114900,31.7,2023-01-04 12:49:23.298
13,2023-01-04 12:51:54.625,1010223004115132,31.3,2023-01-04 12:52:01.295
14,2023-01-04 12:55:24.421,1010223004115410,31.3,2023-01-04 12:55:24.431
15,2023-01-04 13:01:52.585,1010123004120138,31.9,2023-01-04 13:01:59.305
16,2023-01-04 13:09:42.756,1010123004120920,32.3,2023-01-04 13:09:49.467
17,2023-01-04 13:13:12.835,1010123004121252,30.9,2023-01-04 13:13:19.542
18,2023-01-04 13:13:34.763,1010123004121313,31.0,2023-01-04 13:13:41.392
19,2023-01-04 13:19:55.706,1010123004121822,32.4,2023-01-04 13:20:02.365
20,2023-01-04 13:20:39.355,1010123004122015,32.9,2023-01-04 13:20:45.953
21,2023-01-04 13:22:35.394,1010123004122212,33.3,2023-01-04 13:22:42.042
22,2023-01-04 13:23:19.032,1010123004122255,33.2,2023-01-04 13:23:25.651
23,2023-01-04 13:24:23.851,1010123004122400,32.9,2023-01-04 13:24:30.440
24,2023-01-04 13:27:56.598,1010123004122429,31.2,2023-01-04 13:28:03.239
25,2023-01-04 13:28:11.029,1010123004122749,31.3,2023-01-04 13:28:17.637
26,2023-01-04 13:32:17.243,1010123004123154,31.7,2023-01-04 13:32:23.894
27,2023-01-04 13:33:15.871,1010123004123252,32.0,2023-01-04 13:33:22.601
28,2023-01-04 13:36:05.500,1010123004123259,32.2,2023-01-04 13:36:12.200
29,2023-01-04 13:36:50.226,1010123004123313,32.1,2023-01-04 13:36:56.857
30,2023-01-04 13:37:12.207,1010123004123621,32.0,2023-01-04 13:37:12.226
31,2023-01-04 13:37:26.568,1010123004123702,31.9,2023-01-04 13:37:33.256
32,2023-01-04 13:41:26.914,1010223004124110,31.2,2023-01-04 13:41:26.934
33,2023-01-04 13:45:09.520,1010223004124446,31.3,2023-01-04 13:45:16.128
34,2023-01-04 13:46:42.819,1010223004124620,32.4,2023-01-04 13:46:49.487
35,2023-01-04 13:47:19.017,1010223004124655,32.7,2023-01-04 13:47:19.017
36,2023-01-04 13:51:38.473,1010223004125115,32.3,2023-01-04 13:51:45.181
37,2023-01-04 13:51:46.072,1010223004125122,32.2,2023-01-04 13:51:52.691
38,2023-01-04 13:55:28.688,1010223004125303,31.1,2023-01-04 13:55:28.698
39,2023-01-04 13:57:52.246,1010223004125734,30.9,2023-01-04 13:57:58.845
40,2023-01-04 14:00:02.473,1010223004125940,31.3,2023-01-04 14:00:09.094
41,2023-01-04 14:00:24.203,1010223004130001,31.3,2023-01-04 14:00:24.233
42,2023-01-04 14:01:07.223,1010223004130044,31.5,2023-01-04 14:01:07.263
43,2023-01-04 14:03:39.190,1010223004130315,31.5,2023-01-04 14:03:45.831
44,2023-01-04 14:04:43.809,1010223004130420,31.3,2023-01-04 14:04:50.460
45,2023-01-04 14:05:04.960,1010223004130442,31.4,2023-01-04 14:05:11.589
46,2023-01-04 14:06:38.858,1010223004130615,31.4,2023-01-04 14:06:38.868
47,2023-01-04 14:42:53.408,1010223004134159,30.1,2023-01-04 14:43:24.108
48,2023-01-04 14:43:37.658,1010123004134206,30.3,2023-01-04 14:43:45.298
49,2023-01-04 14:45:16.017,1010123004134213,31.3,2023-01-04 14:45:23.697
50,2023-01-04 14:45:32.667,1010123004134220,31.5,2023-01-04 14:45:40.316
51,2023-01-04 14:46:12.026,1010123004134227,31.8,2023-01-04 14:46:19.634
52,2023-01-04 14:51:05.460,1010123004134547,31.6,2023-01-04 14:51:05.549
53,2023-01-04 14:52:17.010,1010123004134626,30.7,2023-01-04 14:52:17.299
54,2023-01-04 14:52:24.341,1010123004134807,30.6,2023-01-04 14:52:24.591
55,2023-01-04 14:52:52.190,1010123004134815,30.4,2023-01-04 14:52:52.509
56,2023-01-04 14:52:52.190,1010123004134815,30.3,2023-01-04 14:52:59.849
57,2023-01-04 14:55:21.999,1010123004135113,29.9,2023-01-04 14:55:29.739
58,2023-01-04 14:55:45.448,1010123004135239,30.0,2023-01-04 14:55:45.638
59,2023-01-04 14:56:22.207,1010123004135600,30.1,2023-01-04 14:56:22.427
60,2023-01-04 14:56:36.898,1010123004135615,30.2,2023-01-04 14:56:37.076
61,2023-01-04 14:56:44.398,1010123004135622,30.3,2023-01-04 14:56:44.507
62,2023-01-04 14:56:51.818,1010123004135629,30.4,2023-01-04 14:56:51.957
63,2023-01-04 14:56:59.167,1010123004135637,30.5,2023-01-04 14:56:59.398
64,2023-01-04 14:57:13.977,1010123004135651,30.7,2023-01-04 14:57:14.117
65,2023-01-04 14:57:21.276,1010123004135659,30.8,2023-01-04 14:57:21.476
66,2023-01-04 14:57:28.607,1010123004135706,30.9,2023-01-04 14:57:28.825
67,2023-01-04 14:57:36.026,1010123004135714,31.0,2023-01-04 14:57:36.187
68,2023-01-04 14:57:43.357,1010123004135721,31.1,2023-01-04 14:57:43.566
69,2023-01-04 14:57:50.627,1010123004135729,31.2,2023-01-04 14:57:50.917
70,2023-01-04 14:57:58.127,1010123004135736,31.3,2023-01-04 14:57:58.276
71,2023-01-04 14:58:05.437,1010123004135743,31.4,2023-01-04 14:58:05.637
72,2023-01-04 14:58:13.016,1010123004135750,31.5,2023-01-04 14:58:13.076
73,2023-01-04 14:58:20.516,1010123004135758,31.6,2023-01-04 14:58:20.665
74,2023-01-04 14:58:27.726,1010123004135805,31.8,2023-01-04 14:58:28.026
75,2023-01-04 14:58:42.595,1010123004135820,31.9,2023-01-04 14:58:42.746
76,2023-01-04 14:58:49.825,1010123004135828,32.0,2023-01-04 14:58:50.105
77,2023-01-04 14:58:57.206,1010123004135835,32.1,2023-01-04 14:58:57.474
78,2023-01-04 14:59:11.865,1010123004135850,32.2,2023-01-04 14:59:12.115
