,time,TraceabilityCode,Cylinder8MaxParalelismErrorInBDC,time.value
0,2023-01-04 14:42:53.408,1010223004134159,1.6,2023-01-04 14:43:24.108
1,2023-01-04 14:45:32.667,1010123004134220,1.7,2023-01-04 14:45:40.316
2,2023-01-04 14:55:21.999,1010123004135113,1.6,2023-01-04 14:55:29.739
3,2023-01-04 14:55:38.029,1010123004135232,1.7,2023-01-04 14:55:38.198
4,2023-01-04 14:59:41.285,1010123004135919,1.6,2023-01-04 14:59:41.483
5,2023-01-04 14:59:48.783,1010123004135926,1.7,2023-01-04 14:59:48.903
6,2023-01-04 15:12:24.552,1010123004141202,1.8,2023-01-04 15:12:24.841
7,2023-01-04 15:12:32.032,1010123004141209,1.7,2023-01-04 15:12:32.200
8,2023-01-04 15:16:28.596,1010123004141606,1.8,2023-01-04 15:16:28.846
9,2023-01-04 15:16:43.346,1010123004141621,1.7,2023-01-04 15:16:43.496
10,2023-01-04 15:23:20.279,1010123004142215,1.8,2023-01-04 15:23:20.598
11,2023-01-04 15:27:45.796,1010123004142723,1.8,2023-01-04 15:27:46.055
12,2023-01-04 15:28:00.565,1010123004142738,1.7,2023-01-04 15:28:00.785
13,2023-01-04 15:28:15.365,1010123004142753,1.8,2023-01-04 15:28:15.494
14,2023-01-04 15:28:22.655,1010123004142800,1.7,2023-01-04 15:28:22.855
15,2023-01-04 15:28:59.684,1010123004142837,1.8,2023-01-04 15:28:59.815
16,2023-01-04 15:29:07.075,1010123004142845,1.7,2023-01-04 15:29:07.253
17,2023-01-04 15:30:06.063,1010123004142944,1.8,2023-01-04 15:30:06.223
18,2023-01-04 15:30:20.903,1010123004142959,1.7,2023-01-04 15:30:21.101
19,2023-01-04 15:31:27.532,1010123004143105,1.8,2023-01-04 15:31:27.572
20,2023-01-04 15:31:57.191,1010123004143135,1.7,2023-01-04 15:31:57.332
21,2023-01-04 15:32:41.540,1010123004143219,1.8,2023-01-04 15:32:41.730
22,2023-01-04 15:47:21.095,1010123004143241,1.8,2023-01-04 15:47:21.345
23,2023-01-04 15:47:21.095,1010123004143241,1.7,2023-01-04 15:47:28.694
24,2023-01-04 15:51:23.970,1010123004145101,1.8,2023-01-04 15:51:24.141
25,2023-01-04 15:51:46.141,1010123004145124,1.7,2023-01-04 15:51:46.230
26,2023-01-04 15:52:00.790,1010123004145139,1.8,2023-01-04 15:52:01.029
27,2023-01-04 15:52:08.270,1010123004145146,1.7,2023-01-04 15:52:08.390
28,2023-01-04 15:55:35.756,1010123004145513,1.8,2023-01-04 15:55:35.996
29,2023-01-04 15:55:43.336,1010123004145521,1.7,2023-01-04 15:55:43.355
30,2023-01-04 15:55:50.726,1010123004145528,1.8,2023-01-04 15:55:50.865
31,2023-01-04 15:55:58.035,1010123004145536,1.7,2023-01-04 15:55:58.244
32,2023-01-04 15:56:57.224,1010123004145635,1.8,2023-01-04 15:56:57.424
33,2023-01-04 15:57:04.595,1010123004145642,1.7,2023-01-04 15:57:04.714
34,2023-01-04 15:58:48.492,1010123004145826,1.8,2023-01-04 15:58:48.632
35,2023-01-04 15:58:55.903,1010123004145833,1.7,2023-01-04 15:58:56.072
36,2023-01-04 15:59:40.371,1010123004145918,1.8,2023-01-04 15:59:40.572
37,2023-01-04 15:59:55.240,1010123004145933,1.7,2023-01-04 15:59:55.440
38,2023-01-04 16:00:47.540,1010123004150032,1.8,2023-01-04 16:00:47.760
39,2023-01-04 16:01:02.849,1010123004150046,1.8,2023-01-04 16:01:03.130
40,2023-01-04 16:01:10.359,1010123004150053,1.7,2023-01-04 16:01:10.479
41,2023-01-04 16:01:22.490,1010123004150108,1.9,2023-01-04 16:01:30.209
42,2023-01-04 16:06:13.986,1010123004150427,1.7,2023-01-04 16:06:14.315
43,2023-01-04 16:15:14.085,1010123004151449,1.7,2023-01-04 16:15:14.234
44,2023-01-04 16:15:51.285,1010123004151529,1.8,2023-01-04 16:15:51.525
45,2023-01-04 16:16:06.075,1010123004151543,1.7,2023-01-04 16:16:06.224
46,2023-01-04 16:16:13.505,1010123004151551,1.8,2023-01-04 16:16:13.694
47,2023-01-04 16:16:28.463,1010123004151606,1.7,2023-01-04 16:16:28.644
48,2023-01-04 16:16:51.003,1010123004151628,1.8,2023-01-04 16:16:51.203
49,2023-01-04 16:17:13.323,1010123004151651,1.7,2023-01-04 16:17:13.523
50,2023-01-04 16:17:57.562,1010123004151735,1.8,2023-01-04 16:17:57.852
51,2023-01-04 16:18:05.003,1010123004151743,1.7,2023-01-04 16:18:05.213
52,2023-01-04 16:18:20.013,1010123004151757,1.8,2023-01-04 16:18:20.253
53,2023-01-04 16:18:27.431,1010123004151805,1.7,2023-01-04 16:18:27.700
54,2023-01-04 16:18:34.752,1010123004151812,1.8,2023-01-04 16:18:34.970
55,2023-01-04 16:18:42.022,1010123004151820,1.7,2023-01-04 16:18:42.240
56,2023-01-04 16:19:04.020,1010123004151842,1.8,2023-01-04 16:19:04.250
57,2023-01-04 16:19:11.391,1010123004151849,1.7,2023-01-04 16:19:11.611
58,2023-01-04 16:19:26.171,1010123004151904,1.8,2023-01-04 16:19:26.321
59,2023-01-04 16:28:09.173,1010123004151948,1.7,2023-01-04 16:28:16.742
60,2023-01-04 16:28:25.223,1010123004151956,1.8,2023-01-04 16:28:32.802
61,2023-01-04 16:28:34.282,1010123004152748,1.7,2023-01-04 16:28:41.941
62,2023-01-04 16:29:49.520,1010123004152824,1.8,2023-01-04 16:29:49.710
63,2023-01-04 16:29:56.801,1010123004152930,1.7,2023-01-04 16:29:57.059
64,2023-01-04 16:30:33.900,1010123004153011,1.8,2023-01-04 16:30:34.180
65,2023-01-04 16:30:41.279,1010123004153019,1.7,2023-01-04 16:30:41.460
66,2023-01-04 16:30:48.559,1010123004153026,1.8,2023-01-04 16:30:48.829
67,2023-01-04 16:31:03.369,1010123004153041,1.7,2023-01-04 16:31:03.539
68,2023-01-04 16:31:10.759,1010123004153049,1.8,2023-01-04 16:31:10.898
69,2023-01-04 16:32:02.489,1010123004153140,1.7,2023-01-04 16:32:02.657
70,2023-01-04 16:32:09.819,1010123004153147,1.8,2023-01-04 16:32:10.017
71,2023-01-04 16:32:17.128,1010123004153155,1.7,2023-01-04 16:32:17.388
72,2023-01-04 16:32:24.477,1010123004153202,1.8,2023-01-04 16:32:24.737
73,2023-01-04 16:32:39.217,1010123004153217,1.7,2023-01-04 16:32:39.298
74,2023-01-04 16:32:54.357,1010123004153232,1.8,2023-01-04 16:32:54.427
75,2023-01-04 16:33:09.096,1010123004153246,1.7,2023-01-04 16:33:09.216
76,2023-01-04 16:33:46.486,1010123004153331,1.7,2023-01-04 16:33:46.665
77,2023-01-04 16:34:50.625,1010123004153435,1.8,2023-01-04 16:34:50.875
78,2023-01-04 16:47:32.023,1010123004154710,1.8,2023-01-04 16:47:32.183
79,2023-01-04 16:47:39.433,1010123004154717,1.7,2023-01-04 16:47:39.552
80,2023-01-04 16:47:54.272,1010123004154732,1.8,2023-01-04 16:47:54.441
81,2023-01-04 16:48:01.762,1010123004154739,1.7,2023-01-04 16:48:01.871
82,2023-01-04 16:48:38.711,1010123004154816,1.8,2023-01-04 16:48:38.941
83,2023-01-04 16:48:46.141,1010123004154824,1.7,2023-01-04 16:48:46.332
84,2023-01-04 16:49:52.710,1010123004154930,1.8,2023-01-04 16:49:52.828
85,2023-01-04 16:50:00.230,1010123004154938,1.7,2023-01-04 16:50:00.259
86,2023-01-04 16:50:51.838,1010123004155030,1.8,2023-01-04 16:50:52.028
87,2023-01-04 16:50:59.358,1010123004155037,1.7,2023-01-04 16:50:59.467
88,2023-01-04 16:51:14.279,1010123004155052,1.8,2023-01-04 16:51:14.437
89,2023-01-04 16:52:20.868,1010123004155159,1.7,2023-01-04 16:52:21.066
90,2023-01-04 16:52:35.596,1010123004155213,1.8,2023-01-04 16:52:35.796
91,2023-01-04 16:52:50.417,1010123004155228,1.7,2023-01-04 16:52:50.595
92,2023-01-04 16:53:21.226,1010123004155304,1.7,2023-01-04 16:53:21.395
93,2023-01-04 16:53:28.585,1010123004155311,1.8,2023-01-04 16:53:28.756
