,time,TraceabilityCode,PressForceValueFL,time.value
0,2023-01-04 12:20:05.276,1011523004112005,28.0,2023-01-04 12:20:09.486
1,2023-01-04 12:20:12.155,1012223004112010,28.8,2023-01-04 12:20:16.335
2,2023-01-04 12:20:18.936,1011123004111131,28.2,2023-01-04 12:20:23.214
3,2023-01-04 12:20:25.756,1011223004112008,28.8,2023-01-04 12:20:30.045
4,2023-01-04 12:20:40.676,1010123004112008,28.5,2023-01-04 12:20:44.915
5,2023-01-04 12:20:47.536,1010123004112015,29.0,2023-01-04 12:20:51.805
6,2023-01-04 12:20:54.976,1010123004112023,28.8,2023-01-04 12:20:59.155
7,2023-01-04 12:21:08.565,1010123004112038,29.0,2023-01-04 12:21:12.753
8,2023-01-04 12:21:37.944,1010123004112106,29.6,2023-01-04 12:21:42.184
9,2023-01-04 12:21:45.315,1010123004112113,29.3,2023-01-04 12:21:49.565
10,2023-01-04 12:21:59.775,1010123004112127,29.6,2023-01-04 12:22:03.954
11,2023-01-04 12:22:14.604,1010123004112142,29.0,2023-01-04 12:22:18.924
12,2023-01-04 12:22:21.513,1010123004112149,29.6,2023-01-04 12:22:25.703
13,2023-01-04 12:22:28.914,1010123004112156,29.3,2023-01-04 12:22:33.154
14,2023-01-04 12:22:36.483,1010123004112204,29.0,2023-01-04 12:22:40.763
15,2023-01-04 12:22:43.403,1010123004112211,28.8,2023-01-04 12:22:47.562
16,2023-01-04 12:22:50.052,1010123004112218,29.6,2023-01-04 12:22:54.362
17,2023-01-04 12:22:57.503,1010123004112225,29.0,2023-01-04 12:23:01.802
18,2023-01-04 12:23:04.413,1010123004112233,28.8,2023-01-04 12:23:08.572
19,2023-01-04 12:23:11.832,1010123004112240,29.3,2023-01-04 12:23:16.042
20,2023-01-04 12:23:19.362,1010123004112247,28.8,2023-01-04 12:23:23.562
21,2023-01-04 12:23:26.852,1010123004112255,29.3,2023-01-04 12:23:31.082
22,2023-01-04 12:23:33.683,1010123004112302,29.0,2023-01-04 12:23:37.941
23,2023-01-04 12:23:55.492,1010123004112323,29.8,2023-01-04 12:23:59.710
24,2023-01-04 12:24:02.921,1010123004112330,29.0,2023-01-04 12:24:07.240
25,2023-01-04 12:24:10.512,1010123004112337,29.6,2023-01-04 12:24:14.762
26,2023-01-04 12:24:24.101,1010123004112352,29.0,2023-01-04 12:24:28.282
27,2023-01-04 12:24:31.502,1010123004112359,29.3,2023-01-04 12:24:35.792
28,2023-01-04 12:24:38.332,1010123004112407,29.6,2023-01-04 12:24:42.592
29,2023-01-04 12:24:45.832,1010123004112414,29.3,2023-01-04 12:24:50.042
30,2023-01-04 12:24:52.701,1010123004112421,29.6,2023-01-04 12:24:56.921
31,2023-01-04 12:25:00.151,1010123004112429,29.0,2023-01-04 12:25:04.361
32,2023-01-04 12:25:14.510,1010123004112443,29.3,2023-01-04 12:25:18.670
33,2023-01-04 12:25:43.111,1010123004112511,29.0,2023-01-04 12:25:47.390
34,2023-01-04 12:25:49.881,1010123004112518,29.6,2023-01-04 12:25:54.200
35,2023-01-04 12:25:57.381,1010123004112525,29.0,2023-01-04 12:26:01.641
36,2023-01-04 12:26:11.769,1010123004112540,29.3,2023-01-04 12:26:16.029
37,2023-01-04 12:26:19.190,1010123004112547,29.0,2023-01-04 12:26:23.479
38,2023-01-04 12:26:33.609,1010123004112601,29.6,2023-01-04 12:26:37.868
39,2023-01-04 12:26:41.069,1010123004112608,28.8,2023-01-04 12:26:45.229
40,2023-01-04 12:26:48.529,1010123004112616,29.0,2023-01-04 12:26:52.769
41,2023-01-04 12:26:56.039,1010123004112623,29.6,2023-01-04 12:27:00.279
42,2023-01-04 12:27:02.960,1010123004112630,28.8,2023-01-04 12:27:07.229
43,2023-01-04 12:27:09.799,1010123004112637,29.3,2023-01-04 12:27:13.959
44,2023-01-04 12:27:16.500,1010123004112645,29.6,2023-01-04 12:27:20.680
45,2023-01-04 12:27:23.940,1010123004112652,29.0,2023-01-04 12:27:28.209
46,2023-01-04 12:27:31.480,1010123004112659,28.8,2023-01-04 12:27:35.719
47,2023-01-04 12:27:38.990,1010123004112707,29.3,2023-01-04 12:27:43.247
48,2023-01-04 12:27:53.249,1010123004112721,28.8,2023-01-04 12:27:57.487
49,2023-01-04 12:28:00.828,1010123004112728,29.8,2023-01-04 12:28:04.999
50,2023-01-04 12:28:07.698,1010123004112735,29.3,2023-01-04 12:28:11.878
51,2023-01-04 12:28:22.709,1010123004112749,29.6,2023-01-04 12:28:26.917
52,2023-01-04 12:28:29.559,1010123004112757,29.3,2023-01-04 12:28:33.729
53,2023-01-04 12:28:44.497,1010123004112811,29.8,2023-01-04 12:28:48.677
54,2023-01-04 12:28:51.388,1010123004112819,29.3,2023-01-04 12:28:55.648
55,2023-01-04 12:28:58.828,1010123004112826,29.0,2023-01-04 12:29:03.078
56,2023-01-04 12:29:05.648,1010123004112833,29.3,2023-01-04 12:29:09.867
57,2023-01-04 12:29:13.167,1010123004112841,29.6,2023-01-04 12:29:17.398
58,2023-01-04 12:29:19.957,1010123004112848,28.8,2023-01-04 12:29:24.197
59,2023-01-04 12:29:26.747,1010123004112855,29.6,2023-01-04 12:29:31.007
60,2023-01-04 12:29:33.608,1010123004112903,29.3,2023-01-04 12:29:37.798
61,2023-01-04 12:29:41.038,1010123004112910,29.0,2023-01-04 12:29:45.246
62,2023-01-04 12:29:48.578,1010123004112917,29.3,2023-01-04 12:29:52.757
63,2023-01-04 12:30:20.197,1010223004112957,29.6,2023-01-04 12:30:24.476
64,2023-01-04 12:30:27.586,1010223004113005,29.0,2023-01-04 12:30:31.805
65,2023-01-04 12:30:34.417,1010223004113011,29.3,2023-01-04 12:30:38.605
66,2023-01-04 12:30:55.016,1010223004113032,29.8,2023-01-04 12:30:59.164
67,2023-01-04 12:31:01.805,1010223004113039,29.3,2023-01-04 12:31:06.125
68,2023-01-04 12:31:08.635,1010223004113046,30.1,2023-01-04 12:31:12.845
69,2023-01-04 12:31:15.516,1010223004113053,29.6,2023-01-04 12:31:19.795
70,2023-01-04 12:31:22.375,1010223004113059,29.0,2023-01-04 12:31:26.515
71,2023-01-04 12:31:29.165,1010223004113106,29.6,2023-01-04 12:31:33.405
72,2023-01-04 12:31:36.155,1010223004113113,29.8,2023-01-04 12:31:40.446
