,time,TraceabilityCode,PressForceValueFR,time.value
0,2023-01-04 14:46:00.937,1010223004134159,28.8,2023-01-04 14:46:28.025
1,2023-01-04 14:46:34.315,1010123004134206,28.2,2023-01-04 14:46:38.734
2,2023-01-04 14:46:42.226,1010123004134213,28.5,2023-01-04 14:46:46.605
3,2023-01-04 14:50:46.319,1010123004134220,28.2,2023-01-04 14:50:50.740
4,2023-01-04 14:55:18.178,1010123004134626,28.0,2023-01-04 14:55:22.608
5,2023-01-04 14:55:56.128,1010123004135232,28.5,2023-01-04 14:56:00.548
6,2023-01-04 14:56:03.388,1010123004135239,28.0,2023-01-04 14:56:07.838
7,2023-01-04 14:56:10.709,1010123004135307,28.2,2023-01-04 14:56:15.279
8,2023-01-04 14:56:18.088,1010123004135538,27.7,2023-01-04 14:56:22.566
9,2023-01-04 14:56:40.017,1010123004135600,28.0,2023-01-04 14:56:44.477
10,2023-01-04 14:56:47.308,1010123004135607,28.5,2023-01-04 14:56:51.756
11,2023-01-04 14:56:54.808,1010123004135615,28.0,2023-01-04 14:56:59.276
12,2023-01-04 14:57:16.957,1010123004135637,27.7,2023-01-04 14:57:21.437
13,2023-01-04 14:57:24.306,1010123004135644,28.2,2023-01-04 14:57:28.786
14,2023-01-04 14:57:31.627,1010123004135651,28.0,2023-01-04 14:57:36.076
15,2023-01-04 14:57:46.377,1010123004135706,28.5,2023-01-04 14:57:50.796
16,2023-01-04 14:58:01.197,1010123004135721,28.2,2023-01-04 14:58:05.677
17,2023-01-04 14:58:08.506,1010123004135729,28.5,2023-01-04 14:58:12.957
18,2023-01-04 14:58:15.846,1010123004135736,28.2,2023-01-04 14:58:20.315
19,2023-01-04 14:58:23.286,1010123004135743,28.0,2023-01-04 14:58:27.756
20,2023-01-04 14:58:38.236,1010123004135758,27.7,2023-01-04 14:58:42.724
21,2023-01-04 14:58:45.595,1010123004135805,28.2,2023-01-04 14:58:50.075
22,2023-01-04 14:58:53.026,1010123004135813,27.7,2023-01-04 14:58:57.446
23,2023-01-04 14:59:00.266,1010123004135820,28.2,2023-01-04 14:59:04.796
24,2023-01-04 14:59:07.696,1010123004135828,28.0,2023-01-04 14:59:12.244
25,2023-01-04 14:59:36.974,1010123004135857,28.5,2023-01-04 14:59:41.453
26,2023-01-04 14:59:59.164,1010123004135919,28.0,2023-01-04 15:00:03.612
27,2023-01-04 15:00:06.503,1010123004135926,27.7,2023-01-04 15:00:11.052
28,2023-01-04 15:00:13.834,1010123004135934,28.5,2023-01-04 15:00:18.322
29,2023-01-04 15:00:21.193,1010123004135941,27.7,2023-01-04 15:00:25.683
30,2023-01-04 15:00:28.573,1010123004135948,28.2,2023-01-04 15:00:33.122
31,2023-01-04 15:00:35.933,1010123004135956,28.5,2023-01-04 15:00:40.403
32,2023-01-04 15:00:50.602,1010123004140011,28.0,2023-01-04 15:00:55.052
33,2023-01-04 15:00:57.872,1010123004140018,28.5,2023-01-04 15:01:02.403
34,2023-01-04 15:01:05.312,1010123004140025,28.0,2023-01-04 15:01:09.763
35,2023-01-04 15:01:12.653,1010123004140033,28.2,2023-01-04 15:01:17.112
36,2023-01-04 15:01:27.332,1010123004140047,28.0,2023-01-04 15:01:31.762
37,2023-01-04 15:01:34.562,1010123004140055,28.2,2023-01-04 15:01:39.042
38,2023-01-04 15:01:42.473,1010123004140102,28.0,2023-01-04 15:01:46.961
39,2023-01-04 15:01:57.072,1010123004140117,28.5,2023-01-04 15:02:01.522
40,2023-01-04 15:02:04.451,1010123004140124,28.2,2023-01-04 15:02:08.891
41,2023-01-04 15:02:11.732,1010123004140131,28.5,2023-01-04 15:02:16.171
42,2023-01-04 15:02:19.092,1010123004140146,27.7,2023-01-04 15:02:23.530
43,2023-01-04 15:02:26.532,1010123004140153,28.2,2023-01-04 15:02:31.052
44,2023-01-04 15:03:05.881,1010123004140207,28.5,2023-01-04 15:03:10.331
45,2023-01-04 15:03:20.571,1010123004140221,28.0,2023-01-04 15:03:25.010
46,2023-01-04 15:03:28.220,1010123004140228,28.8,2023-01-04 15:03:32.661
47,2023-01-04 15:03:35.561,1010123004140235,28.0,2023-01-04 15:03:40.010
48,2023-01-04 15:06:26.299,1010123004140333,28.5,2023-01-04 15:06:30.828
49,2023-01-04 15:06:33.709,1010123004140354,28.0,2023-01-04 15:06:38.168
50,2023-01-04 15:06:41.128,1010123004140401,28.5,2023-01-04 15:06:45.618
51,2023-01-04 15:08:12.907,1010123004140642,28.2,2023-01-04 15:08:19.986
52,2023-01-04 15:08:43.336,1010123004140754,28.0,2023-01-04 15:08:47.786
53,2023-01-04 15:09:05.915,1010123004140814,28.5,2023-01-04 15:09:10.335
54,2023-01-04 15:09:35.674,1010123004140843,28.0,2023-01-04 15:09:40.055
55,2023-01-04 15:09:42.944,1010123004140901,28.5,2023-01-04 15:09:47.463
56,2023-01-04 15:09:50.255,1010123004140909,28.0,2023-01-04 15:09:54.723
57,2023-01-04 15:10:12.265,1010123004140932,28.2,2023-01-04 15:10:16.713
58,2023-01-04 15:10:26.884,1010123004140947,28.0,2023-01-04 15:10:31.374
59,2023-01-04 15:10:34.213,1010123004140954,28.2,2023-01-04 15:10:38.642
60,2023-01-04 15:10:49.414,1010123004141009,28.0,2023-01-04 15:10:53.934
