,time,TraceabilityCode,PressForceValueRL,time.value
0,2023-01-04 14:46:00.937,1010223004134159,26.1,2023-01-04 14:46:28.025
1,2023-01-04 14:46:42.226,1010123004134213,26.4,2023-01-04 14:46:46.605
2,2023-01-04 14:50:46.319,1010123004134220,26.6,2023-01-04 14:50:50.740
3,2023-01-04 14:51:08.240,1010123004134352,26.9,2023-01-04 14:51:12.698
4,2023-01-04 14:51:15.779,1010123004134530,27.2,2023-01-04 14:51:20.219
5,2023-01-04 14:55:02.128,1010123004134547,26.6,2023-01-04 14:55:08.398
6,2023-01-04 14:55:18.178,1010123004134626,27.2,2023-01-04 14:55:22.608
7,2023-01-04 14:55:34.219,1010123004134815,26.6,2023-01-04 14:55:38.638
8,2023-01-04 14:55:48.749,1010123004135120,26.9,2023-01-04 14:55:53.279
9,2023-01-04 14:56:18.088,1010123004135538,27.7,2023-01-04 14:56:22.566
10,2023-01-04 14:56:25.417,1010123004135545,26.9,2023-01-04 14:56:29.917
11,2023-01-04 14:56:32.667,1010123004135552,27.2,2023-01-04 14:56:37.127
12,2023-01-04 14:56:47.308,1010123004135607,26.9,2023-01-04 14:56:51.756
13,2023-01-04 14:56:54.808,1010123004135615,27.2,2023-01-04 14:56:59.276
14,2023-01-04 14:57:02.167,1010123004135622,26.9,2023-01-04 14:57:06.638
15,2023-01-04 14:57:09.657,1010123004135629,27.4,2023-01-04 14:57:14.076
16,2023-01-04 14:57:16.957,1010123004135637,27.7,2023-01-04 14:57:21.437
17,2023-01-04 14:57:24.306,1010123004135644,26.9,2023-01-04 14:57:28.786
18,2023-01-04 14:57:31.627,1010123004135651,28.2,2023-01-04 14:57:36.076
19,2023-01-04 14:57:38.986,1010123004135659,28.0,2023-01-04 14:57:43.437
20,2023-01-04 14:57:53.836,1010123004135714,27.7,2023-01-04 14:57:58.316
21,2023-01-04 14:58:01.197,1010123004135721,28.0,2023-01-04 14:58:05.677
22,2023-01-04 14:58:08.506,1010123004135729,28.2,2023-01-04 14:58:12.957
23,2023-01-04 14:58:15.846,1010123004135736,27.7,2023-01-04 14:58:20.315
24,2023-01-04 14:58:38.236,1010123004135758,28.0,2023-01-04 14:58:42.724
25,2023-01-04 14:58:53.026,1010123004135813,27.7,2023-01-04 14:58:57.446
26,2023-01-04 14:59:00.266,1010123004135820,28.0,2023-01-04 14:59:04.796
27,2023-01-04 14:59:07.696,1010123004135828,28.2,2023-01-04 14:59:12.244
28,2023-01-04 14:59:15.065,1010123004135835,27.4,2023-01-04 14:59:19.595
29,2023-01-04 14:59:22.345,1010123004135842,28.5,2023-01-04 14:59:26.803
30,2023-01-04 14:59:29.644,1010123004135850,27.7,2023-01-04 14:59:34.174
31,2023-01-04 14:59:44.375,1010123004135904,27.4,2023-01-04 14:59:48.882
32,2023-01-04 14:59:51.713,1010123004135912,28.0,2023-01-04 14:59:56.243
33,2023-01-04 15:00:06.503,1010123004135926,28.2,2023-01-04 15:00:11.052
34,2023-01-04 15:00:13.834,1010123004135934,27.7,2023-01-04 15:00:18.322
