,time,TraceabilityCode,PressForceValueRR,time.value
0,2023-01-04 14:46:00.937,1010223004134159,32.0,2023-01-04 14:46:28.025
1,2023-01-04 14:46:34.315,1010123004134206,32.2,2023-01-04 14:46:38.734
2,2023-01-04 14:50:46.319,1010123004134220,32.5,2023-01-04 14:50:50.740
3,2023-01-04 14:50:53.740,1010123004134227,32.2,2023-01-04 14:50:58.229
4,2023-01-04 14:51:08.240,1010123004134352,31.7,2023-01-04 14:51:12.698
5,2023-01-04 14:51:15.779,1010123004134530,32.0,2023-01-04 14:51:20.219
6,2023-01-04 14:55:26.888,1010123004134807,32.8,2023-01-04 14:55:31.358
7,2023-01-04 14:55:34.219,1010123004134815,33.0,2023-01-04 14:55:38.638
8,2023-01-04 14:55:41.509,1010123004135113,32.5,2023-01-04 14:55:45.987
9,2023-01-04 14:55:56.128,1010123004135232,32.8,2023-01-04 14:56:00.548
10,2023-01-04 14:56:03.388,1010123004135239,32.0,2023-01-04 14:56:07.838
11,2023-01-04 14:56:10.709,1010123004135307,32.5,2023-01-04 14:56:15.279
12,2023-01-04 14:56:18.088,1010123004135538,32.8,2023-01-04 14:56:22.566
13,2023-01-04 14:56:25.417,1010123004135545,32.5,2023-01-04 14:56:29.917
14,2023-01-04 14:56:32.667,1010123004135552,31.7,2023-01-04 14:56:37.127
15,2023-01-04 14:56:47.308,1010123004135607,31.4,2023-01-04 14:56:51.756
16,2023-01-04 14:57:02.167,1010123004135622,30.9,2023-01-04 14:57:06.638
17,2023-01-04 14:57:09.657,1010123004135629,31.4,2023-01-04 14:57:14.076
18,2023-01-04 14:57:16.957,1010123004135637,32.2,2023-01-04 14:57:21.437
19,2023-01-04 14:57:24.306,1010123004135644,32.0,2023-01-04 14:57:28.786
20,2023-01-04 14:57:31.627,1010123004135651,32.5,2023-01-04 14:57:36.076
21,2023-01-04 14:57:38.986,1010123004135659,32.2,2023-01-04 14:57:43.437
22,2023-01-04 14:57:53.836,1010123004135714,32.5,2023-01-04 14:57:58.316
23,2023-01-04 14:58:01.197,1010123004135721,33.0,2023-01-04 14:58:05.677
24,2023-01-04 14:58:08.506,1010123004135729,32.5,2023-01-04 14:58:12.957
25,2023-01-04 14:58:15.846,1010123004135736,32.2,2023-01-04 14:58:20.315
26,2023-01-04 14:58:23.286,1010123004135743,32.0,2023-01-04 14:58:27.756
27,2023-01-04 14:58:30.855,1010123004135750,32.2,2023-01-04 14:58:35.355
28,2023-01-04 14:58:38.236,1010123004135758,32.8,2023-01-04 14:58:42.724
29,2023-01-04 14:58:45.595,1010123004135805,32.2,2023-01-04 14:58:50.075
30,2023-01-04 14:59:00.266,1010123004135820,32.0,2023-01-04 14:59:04.796
31,2023-01-04 14:59:07.696,1010123004135828,32.8,2023-01-04 14:59:12.244
32,2023-01-04 14:59:15.065,1010123004135835,32.2,2023-01-04 14:59:19.595
33,2023-01-04 14:59:22.345,1010123004135842,32.0,2023-01-04 14:59:26.803
34,2023-01-04 14:59:29.644,1010123004135850,32.2,2023-01-04 14:59:34.174
35,2023-01-04 14:59:44.375,1010123004135904,32.5,2023-01-04 14:59:48.882
36,2023-01-04 14:59:51.713,1010123004135912,33.0,2023-01-04 14:59:56.243
37,2023-01-04 14:59:59.164,1010123004135919,31.7,2023-01-04 15:00:03.612
38,2023-01-04 15:00:06.503,1010123004135926,32.5,2023-01-04 15:00:11.052
39,2023-01-04 15:00:21.193,1010123004135941,32.8,2023-01-04 15:00:25.683
40,2023-01-04 15:00:28.573,1010123004135948,33.0,2023-01-04 15:00:33.122
41,2023-01-04 15:00:35.933,1010123004135956,32.8,2023-01-04 15:00:40.403
42,2023-01-04 15:00:50.602,1010123004140011,32.2,2023-01-04 15:00:55.052
43,2023-01-04 15:01:05.312,1010123004140025,32.5,2023-01-04 15:01:09.763
44,2023-01-04 15:01:12.653,1010123004140033,32.8,2023-01-04 15:01:17.112
45,2023-01-04 15:01:19.983,1010123004140040,32.0,2023-01-04 15:01:24.401
46,2023-01-04 15:01:27.332,1010123004140047,32.2,2023-01-04 15:01:31.762
47,2023-01-04 15:01:34.562,1010123004140055,32.5,2023-01-04 15:01:39.042
48,2023-01-04 15:02:33.832,1010123004140200,32.8,2023-01-04 15:02:38.321
49,2023-01-04 15:03:05.881,1010123004140207,32.5,2023-01-04 15:03:10.331
50,2023-01-04 15:03:13.250,1010123004140214,32.8,2023-01-04 15:03:17.750
51,2023-01-04 15:03:20.571,1010123004140221,31.7,2023-01-04 15:03:25.010
52,2023-01-04 15:03:28.220,1010123004140228,32.8,2023-01-04 15:03:32.661
53,2023-01-04 15:05:46.489,1010123004140242,32.5,2023-01-04 15:05:50.937
54,2023-01-04 15:06:11.378,1010123004140311,31.7,2023-01-04 15:06:15.818
55,2023-01-04 15:06:33.709,1010123004140354,32.0,2023-01-04 15:06:38.168
56,2023-01-04 15:06:41.128,1010123004140401,32.2,2023-01-04 15:06:45.618
57,2023-01-04 15:08:12.907,1010123004140642,32.0,2023-01-04 15:08:19.986
58,2023-01-04 15:08:35.357,1010123004140746,32.2,2023-01-04 15:08:39.826
59,2023-01-04 15:08:43.336,1010123004140754,32.5,2023-01-04 15:08:47.786
60,2023-01-04 15:08:58.526,1010123004140808,33.0,2023-01-04 15:09:03.045
61,2023-01-04 15:09:05.915,1010123004140814,32.2,2023-01-04 15:09:10.335
62,2023-01-04 15:09:13.186,1010123004140822,32.5,2023-01-04 15:09:17.605
63,2023-01-04 15:09:20.525,1010123004140828,32.2,2023-01-04 15:09:24.954
64,2023-01-04 15:09:27.755,1010123004140836,32.5,2023-01-04 15:09:32.223
65,2023-01-04 15:09:42.944,1010123004140901,32.8,2023-01-04 15:09:47.463
66,2023-01-04 15:09:50.255,1010123004140909,32.5,2023-01-04 15:09:54.723
67,2023-01-04 15:09:57.625,1010123004140916,32.2,2023-01-04 15:10:02.164
68,2023-01-04 15:10:12.265,1010123004140932,32.0,2023-01-04 15:10:16.713
69,2023-01-04 15:10:26.884,1010123004140947,31.7,2023-01-04 15:10:31.374
70,2023-01-04 15:10:34.213,1010123004140954,31.4,2023-01-04 15:10:38.642
71,2023-01-04 15:10:42.053,1010123004141001,32.0,2023-01-04 15:10:46.563
72,2023-01-04 15:10:49.414,1010123004141009,31.7,2023-01-04 15:10:53.934
73,2023-01-04 15:11:10.483,1010123004141023,32.5,2023-01-04 15:11:14.973
74,2023-01-04 15:11:17.993,1010123004141031,31.2,2023-01-04 15:11:22.411
75,2023-01-04 15:11:25.463,1010123004141038,32.2,2023-01-04 15:11:29.931
76,2023-01-04 15:11:32.812,1010123004141055,32.8,2023-01-04 15:11:37.292
77,2023-01-04 15:11:40.243,1010123004141102,31.7,2023-01-04 15:11:44.653
78,2023-01-04 15:11:47.663,1010123004141109,32.5,2023-01-04 15:11:52.183
79,2023-01-04 15:12:04.713,1010123004141116,32.2,2023-01-04 15:12:09.193
80,2023-01-04 15:12:12.253,1010123004141123,32.5,2023-01-04 15:12:16.822
81,2023-01-04 15:12:27.022,1010123004141138,31.4,2023-01-04 15:12:31.530
82,2023-01-04 15:12:34.552,1010123004141145,31.7,2023-01-04 15:12:38.940
83,2023-01-04 15:12:41.842,1010123004141202,31.4,2023-01-04 15:12:46.312
84,2023-01-04 15:12:49.270,1010123004141209,31.2,2023-01-04 15:12:53.801
85,2023-01-04 15:12:56.661,1010123004141217,31.7,2023-01-04 15:13:01.121
86,2023-01-04 15:13:04.131,1010123004141224,31.2,2023-01-04 15:13:08.561
87,2023-01-04 15:13:11.500,1010123004141232,32.0,2023-01-04 15:13:15.911
88,2023-01-04 15:13:18.930,1010123004141239,31.7,2023-01-04 15:13:23.341
89,2023-01-04 15:13:26.290,1010123004141247,32.0,2023-01-04 15:13:30.740
90,2023-01-04 15:13:41.111,1010123004141301,32.5,2023-01-04 15:13:45.621
91,2023-01-04 15:14:10.509,1010123004141331,32.2,2023-01-04 15:14:14.970
92,2023-01-04 15:14:18.069,1010123004141338,33.0,2023-01-04 15:14:22.489
93,2023-01-04 15:14:25.359,1010123004141346,32.5,2023-01-04 15:14:29.868
94,2023-01-04 15:14:32.690,1010123004141353,32.2,2023-01-04 15:14:37.138
95,2023-01-04 15:14:47.549,1010123004141408,32.5,2023-01-04 15:14:51.997
96,2023-01-04 15:15:02.178,1010123004141423,32.2,2023-01-04 15:15:06.707
97,2023-01-04 15:15:09.638,1010123004141430,31.7,2023-01-04 15:15:14.098
98,2023-01-04 15:15:17.049,1010123004141437,32.2,2023-01-04 15:15:21.618
99,2023-01-04 15:15:39.198,1010123004141500,31.2,2023-01-04 15:15:43.697
100,2023-01-04 15:15:46.608,1010123004141507,32.0,2023-01-04 15:15:51.028
101,2023-01-04 15:15:53.997,1010123004141514,32.2,2023-01-04 15:15:58.388
102,2023-01-04 15:16:01.378,1010123004141522,31.7,2023-01-04 15:16:05.927
103,2023-01-04 15:16:08.888,1010123004141529,32.5,2023-01-04 15:16:13.467
104,2023-01-04 15:16:16.227,1010123004141536,32.2,2023-01-04 15:16:20.667
105,2023-01-04 15:16:23.607,1010123004141544,32.8,2023-01-04 15:16:28.096
106,2023-01-04 15:16:30.957,1010123004141551,32.2,2023-01-04 15:16:35.437
107,2023-01-04 15:16:38.427,1010123004141559,32.5,2023-01-04 15:16:42.867
108,2023-01-04 15:16:53.127,1010123004141614,32.8,2023-01-04 15:16:57.707
109,2023-01-04 15:17:00.526,1010123004141621,32.5,2023-01-04 15:18:36.454
110,2023-01-04 15:18:50.974,1010123004141628,32.8,2023-01-04 15:18:55.463
111,2023-01-04 15:18:58.904,1010123004141636,32.5,2023-01-04 15:19:03.375
112,2023-01-04 15:19:14.164,1010123004141650,32.2,2023-01-04 15:19:18.573
113,2023-01-04 15:19:21.414,1010123004141658,32.5,2023-01-04 15:19:25.953
114,2023-01-04 15:19:28.793,1010123004141705,31.7,2023-01-04 15:19:33.283
115,2023-01-04 15:19:35.963,1010123004141713,32.2,2023-01-04 15:19:40.463
116,2023-01-04 15:19:58.473,1010123004141918,32.0,2023-01-04 15:20:02.983
117,2023-01-04 15:20:13.132,1010123004141932,32.2,2023-01-04 15:20:17.622
118,2023-01-04 15:20:40.132,1010123004142008,32.5,2023-01-04 15:20:44.572
119,2023-01-04 15:20:47.503,1010123004142015,32.8,2023-01-04 15:20:52.000
120,2023-01-04 15:21:01.391,1010123004142029,32.0,2023-01-04 15:21:05.861
121,2023-01-04 15:21:08.732,1010123004142036,32.5,2023-01-04 15:21:13.312
122,2023-01-04 15:21:22.451,1010123004142050,32.0,2023-01-04 15:21:26.971
