,time,TraceabilityCode,TotalPressForceValue,time.value
0,2023-01-04 14:46:00.937,1010223004134159,28.3,2023-01-04 14:46:28.025
1,2023-01-04 14:50:53.740,1010123004134227,28.5,2023-01-04 14:50:58.229
2,2023-01-04 14:51:01.000,1010123004134308,28.4,2023-01-04 14:51:05.489
3,2023-01-04 14:51:15.779,1010123004134530,28.3,2023-01-04 14:51:20.219
4,2023-01-04 14:55:02.128,1010123004134547,28.2,2023-01-04 14:55:08.398
5,2023-01-04 14:55:18.178,1010123004134626,28.4,2023-01-04 14:55:22.608
6,2023-01-04 14:55:26.888,1010123004134807,28.6,2023-01-04 14:55:31.358
7,2023-01-04 14:55:34.219,1010123004134815,28.7,2023-01-04 14:55:38.638
8,2023-01-04 14:55:41.509,1010123004135113,28.5,2023-01-04 14:55:45.987
9,2023-01-04 14:55:48.749,1010123004135120,28.6,2023-01-04 14:55:53.279
10,2023-01-04 14:55:56.128,1010123004135232,28.8,2023-01-04 14:56:00.548
11,2023-01-04 14:56:03.388,1010123004135239,28.6,2023-01-04 14:56:07.838
12,2023-01-04 14:56:18.088,1010123004135538,28.8,2023-01-04 14:56:22.566
13,2023-01-04 14:56:25.417,1010123004135545,28.7,2023-01-04 14:56:29.917
14,2023-01-04 14:56:32.667,1010123004135552,28.4,2023-01-04 14:56:37.127
15,2023-01-04 14:56:40.017,1010123004135600,28.6,2023-01-04 14:56:44.477
16,2023-01-04 14:56:47.308,1010123004135607,28.4,2023-01-04 14:56:51.756
17,2023-01-04 14:56:54.808,1010123004135615,28.3,2023-01-04 14:56:59.276
18,2023-01-04 14:57:02.167,1010123004135622,28.2,2023-01-04 14:57:06.638
19,2023-01-04 14:57:09.657,1010123004135629,28.4,2023-01-04 14:57:14.076
20,2023-01-04 14:57:16.957,1010123004135637,28.6,2023-01-04 14:57:21.437
21,2023-01-04 14:57:24.306,1010123004135644,28.5,2023-01-04 14:57:28.786
22,2023-01-04 14:57:31.627,1010123004135651,29.0,2023-01-04 14:57:36.076
23,2023-01-04 14:57:38.986,1010123004135659,28.7,2023-01-04 14:57:43.437
24,2023-01-04 14:57:46.377,1010123004135706,28.8,2023-01-04 14:57:50.796
25,2023-01-04 14:58:01.197,1010123004135721,29.0,2023-01-04 14:58:05.677
26,2023-01-04 14:58:15.846,1010123004135736,28.8,2023-01-04 14:58:20.315
27,2023-01-04 14:58:23.286,1010123004135743,28.6,2023-01-04 14:58:27.756
28,2023-01-04 14:58:38.236,1010123004135758,28.9,2023-01-04 14:58:42.724
29,2023-01-04 14:58:45.595,1010123004135805,28.8,2023-01-04 14:58:50.075
30,2023-01-04 14:58:53.026,1010123004135813,28.7,2023-01-04 14:58:57.446
31,2023-01-04 14:59:00.266,1010123004135820,28.9,2023-01-04 14:59:04.796
32,2023-01-04 14:59:07.696,1010123004135828,29.0,2023-01-04 14:59:12.244
33,2023-01-04 14:59:15.065,1010123004135835,28.6,2023-01-04 14:59:19.595
34,2023-01-04 14:59:22.345,1010123004135842,28.9,2023-01-04 14:59:26.803
35,2023-01-04 14:59:29.644,1010123004135850,28.8,2023-01-04 14:59:34.174
36,2023-01-04 14:59:44.375,1010123004135904,28.7,2023-01-04 14:59:48.882
37,2023-01-04 14:59:51.713,1010123004135912,28.9,2023-01-04 14:59:56.243
38,2023-01-04 14:59:59.164,1010123004135919,28.5,2023-01-04 15:00:03.612
39,2023-01-04 15:00:06.503,1010123004135926,28.8,2023-01-04 15:00:11.052
40,2023-01-04 15:00:28.573,1010123004135948,29.0,2023-01-04 15:00:33.122
41,2023-01-04 15:00:43.312,1010123004140003,29.1,2023-01-04 15:00:47.762
42,2023-01-04 15:00:50.602,1010123004140011,28.9,2023-01-04 15:00:55.052
43,2023-01-04 15:00:57.872,1010123004140018,28.8,2023-01-04 15:01:02.403
44,2023-01-04 15:01:12.653,1010123004140033,29.0,2023-01-04 15:01:17.112
45,2023-01-04 15:01:19.983,1010123004140040,28.8,2023-01-04 15:01:24.401
46,2023-01-04 15:01:27.332,1010123004140047,28.9,2023-01-04 15:01:31.762
47,2023-01-04 15:01:34.562,1010123004140055,29.1,2023-01-04 15:01:39.042
48,2023-01-04 15:01:42.473,1010123004140102,29.0,2023-01-04 15:01:46.961
49,2023-01-04 15:01:49.822,1010123004140109,28.8,2023-01-04 15:01:54.242
50,2023-01-04 15:01:57.072,1010123004140117,29.0,2023-01-04 15:02:01.522
51,2023-01-04 15:02:04.451,1010123004140124,28.8,2023-01-04 15:02:08.891
52,2023-01-04 15:02:33.832,1010123004140200,29.0,2023-01-04 15:02:38.321
53,2023-01-04 15:03:05.881,1010123004140207,28.8,2023-01-04 15:03:10.331
54,2023-01-04 15:03:13.250,1010123004140214,29.0,2023-01-04 15:03:17.750
55,2023-01-04 15:03:20.571,1010123004140221,28.8,2023-01-04 15:03:25.010
56,2023-01-04 15:03:28.220,1010123004140228,29.2,2023-01-04 15:03:32.661
57,2023-01-04 15:03:35.561,1010123004140235,29.1,2023-01-04 15:03:40.010
