,time,PressMode
0,2023-01-02 04:15:06.788,4
1,2023-01-02 06:05:10.194,16
2,2023-01-02 06:05:11.194,8
3,2023-01-02 06:05:29.263,16
4,2023-01-02 06:05:30.275,4
5,2023-01-02 06:18:27.380,16
6,2023-01-02 11:30:16.163,0
7,2023-01-02 11:30:17.171,8
8,2023-01-02 11:38:44.193,4
9,2023-01-02 12:09:36.601,16
10,2023-01-02 20:17:53.753,8
11,2023-01-02 20:23:55.198,16
12,2023-01-02 23:12:34.655,8
13,2023-01-02 23:18:24.062,0
14,2023-01-02 23:18:25.062,16
15,2023-01-03 03:13:48.536,4
16,2023-01-03 03:14:13.637,16
17,2023-01-03 06:33:57.558,8
18,2023-01-03 06:43:22.819,32
19,2023-01-03 06:43:23.819,16
20,2023-01-03 19:24:27.423,8
21,2023-01-03 19:38:11.723,16
22,2023-01-03 20:04:53.124,4
23,2023-01-03 20:09:03.121,0
24,2023-01-03 20:09:04.131,16
25,2023-01-03 20:10:27.460,4
26,2023-01-03 20:10:33.490,16
27,2023-01-03 21:19:23.999,8
28,2023-01-03 21:30:53.756,16
29,2023-01-04 00:44:19.171,0
30,2023-01-04 00:44:20.171,8
31,2023-01-04 00:56:01.980,16
32,2023-01-04 05:06:46.134,8
33,2023-01-04 05:16:41.513,16
34,2023-01-04 09:32:11.819,8
35,2023-01-04 09:38:55.433,16
36,2023-01-04 14:09:08.266,8
37,2023-01-04 14:22:36.490,32
38,2023-01-04 14:22:37.490,16
39,2023-01-05 01:56:13.923,8
40,2023-01-05 02:03:53.763,16
41,2023-01-05 05:40:57.838,32
42,2023-01-05 05:40:58.848,8
43,2023-01-05 05:48:39.687,32
44,2023-01-05 05:48:40.697,16
45,2023-01-05 07:57:41.642,8
46,2023-01-05 08:03:03.940,4
47,2023-01-05 08:05:49.598,16
48,2023-01-05 10:58:50.115,8
49,2023-01-05 11:05:45.769,4
50,2023-01-05 11:28:09.145,16
51,2023-01-05 12:02:16.331,4
52,2023-01-05 12:02:17.331,16
53,2023-01-05 17:23:47.480,8
54,2023-01-05 17:39:09.167,0
55,2023-01-05 17:39:10.167,16
56,2023-01-05 20:16:38.957,32
57,2023-01-05 20:16:40.967,8
58,2023-01-05 20:32:23.732,16
59,2023-01-05 23:31:20.673,4
60,2023-01-05 23:32:39.990,16
61,2023-01-05 23:43:46.661,4
62,2023-01-05 23:43:52.680,16
63,2023-01-05 23:44:13.759,4
64,2023-01-05 23:44:19.789,16
65,2023-01-06 00:34:37.851,8
66,2023-01-06 00:43:29.986,16
67,2023-01-06 03:46:57.996,8
68,2023-01-06 04:22:36.546,4
69,2023-01-06 04:23:17.714,16
70,2023-01-09 08:52:31.653,8
71,2023-01-09 09:02:03.944,16
72,2023-01-09 14:09:30.703,0
73,2023-01-09 14:09:31.703,8
74,2023-01-09 14:20:49.415,16
75,2023-01-09 18:42:45.267,8
76,2023-01-09 18:49:25.861,4
77,2023-01-09 18:51:00.242,16
78,2023-01-09 22:47:53.072,8
79,2023-01-09 22:56:10.065,16
80,2023-01-10 01:50:05.792,8
81,2023-01-10 01:57:47.634,32
82,2023-01-10 01:57:48.644,4
83,2023-01-10 01:58:48.882,16
84,2023-01-10 10:37:13.292,0
85,2023-01-10 10:37:14.292,8
86,2023-01-10 10:48:25.980,16
87,2023-01-11 01:46:26.430,8
88,2023-01-11 01:54:55.473,4
89,2023-01-11 02:03:14.466,16
90,2023-01-11 09:25:47.661,8
91,2023-01-11 09:38:02.588,16
92,2023-01-11 10:30:18.130,8
93,2023-01-11 10:42:29.059,32
94,2023-01-11 10:42:30.059,16
95,2023-01-11 16:15:57.075,8
96,2023-01-11 16:27:53.944,16
97,2023-01-11 21:07:43.089,8
98,2023-01-11 21:13:31.484,0
99,2023-01-11 21:13:32.484,16
100,2023-01-12 00:47:25.796,0
101,2023-01-12 00:47:26.806,8
102,2023-01-12 00:51:27.763,16
103,2023-01-12 04:43:49.539,8
104,2023-01-12 04:50:31.148,4
105,2023-01-12 04:51:58.496,0
106,2023-01-12 04:51:59.496,16
107,2023-01-12 11:33:45.888,8
108,2023-01-12 11:44:50.549,16
109,2023-01-12 15:53:00.101,8
110,2023-01-12 16:06:58.450,16
111,2023-01-12 18:32:33.384,32
112,2023-01-12 18:32:34.394,8
113,2023-01-12 18:43:37.046,16
114,2023-01-12 18:43:40.056,4
115,2023-01-12 18:44:23.226,16
116,2023-01-12 21:00:36.914,8
117,2023-01-13 00:04:43.088,4
118,2023-01-13 00:06:15.457,16
119,2023-01-13 06:16:29.302,8
120,2023-01-13 07:28:10.506,16
121,2023-01-13 14:54:02.497,8
122,2023-01-13 15:01:00.163,16
123,2023-01-13 17:07:36.555,0
124,2023-01-13 17:07:37.555,8
125,2023-01-13 19:09:02.687,0
126,2023-01-13 19:09:03.687,4
127,2023-01-13 19:21:25.658,16
