,time,TraceabilityCode,Defect
0,2023-05-04 11:26:05,1010123124091718,deformation
1,2023-05-04 08:56:33,1010223124065431,deformation
2,2023-04-27 11:18:38,1010223117091150,marks
3,2023-04-27 11:18:31,1010223117091142,marks
4,2023-04-27 11:14:31,1010223117091115,marks
5,2023-04-27 11:14:22,1010223117091049,marks
6,2023-04-27 11:14:15,1010223117091039,marks
7,2023-04-27 10:14:01,1010223117081022,deformation
8,2023-04-27 09:46:03,1010223117061104,deformation
9,2023-04-27 09:45:48,1010223117061246,deformation
10,2023-04-27 09:45:37,1010223117061254,deformation
11,2023-04-27 08:52:04,1010223117061246,deformation
12,2023-04-27 08:51:53,1010223117061104,deformation
13,2023-04-27 08:51:29,1010223117061238,deformation
14,2023-04-25 07:28:22,1010123115052633,scratch
15,2023-04-25 07:28:11,1010123115052624,scratch
16,2023-04-25 07:27:58,1010123115052606,scratch
17,2023-04-25 07:27:47,1010123115052548,scratch
18,2023-04-25 07:27:39,1010123115052530,scratch
19,2023-04-25 07:20:54,1010123115051827,marks
20,2023-04-25 07:20:45,1010123115051818,marks
21,2023-04-25 07:20:35,1010123115051809,marks
22,2023-04-25 07:18:19,1010123115051630,marks/contamination
23,2023-04-25 07:18:14,1010123115051621,marks/contamination
24,2023-04-25 07:18:10,1010123115051612,marks/contamination
25,2023-04-25 07:18:03,1010123115051603,marks/contamination
26,2023-04-25 07:17:57,1010123115051554,marks/contamination
27,2023-04-25 07:17:53,1010123115051545,marks/contamination
28,2023-04-25 07:17:47,1010123115051536,marks/contamination
29,2023-04-25 07:10:12,1010123115050117,marks/contamination
30,2023-04-25 07:03:52,1010123115050108,marks/contamination
31,2023-04-25 07:03:46,1010123115050059,marks/contamination
32,2023-04-25 07:03:40,1010123115050059,marks/contamination
33,2023-04-25 07:03:33,1010123115050050,marks/contamination
34,2023-04-25 07:03:26,1010123115050041,marks/contamination
35,2023-04-25 07:03:18,1010123115050032,marks/contamination
36,2023-04-25 07:03:11,1010123115050023,marks/contamination
37,2023-04-25 07:03:03,1010123115050014,marks/contamination
38,2023-04-25 07:02:56,1010123115050005,marks/contamination
39,2023-04-25 07:01:06,1010123115045853,scratch
40,2023-04-25 06:46:10,1010223115044355,marks
41,2023-04-25 06:46:05,1010223115044347,marks
42,2023-04-25 06:45:59,1010223115044330,marks
43,2023-04-25 06:45:49,1010223115044330,marks
44,2023-04-25 06:38:45,1010223115043643,marks/contamination
45,2023-04-25 06:38:40,1010223115043634,marks/contamination
46,2023-04-25 06:38:03,1010223115043616,marks/contamination
47,2023-04-25 06:37:58,1010223115043607,marks/contamination
48,2023-04-25 06:37:54,1010223115043558,marks/contamination
49,2023-04-25 06:37:49,1010223115043549,marks/contamination
50,2023-04-25 06:37:44,1010223115043540,marks/contamination
51,2023-04-25 06:37:28,1010223115043522,marks/contamination
52,2023-04-25 06:37:22,1010223115043513,marks/contamination
53,2023-04-25 06:37:16,1010223115043504,marks/contamination
54,2023-04-25 06:36:57,1010223115043455,marks/contamination
55,2023-04-25 06:36:51,1010223115043446,marks/contamination
56,2023-04-25 06:36:40,1010223115043437,marks/contamination
57,2023-04-25 06:36:33,1010223115043427,marks/contamination
58,2023-04-25 06:36:26,1010223115043418,marks/contamination
59,2023-04-25 06:36:21,1010223115043410,marks/contamination
60,2023-04-24 08:15:05,1010223114061208,corrosion
61,2023-04-24 08:14:57,1010223114061248,deformation
62,2023-04-21 20:59:08,1010223111185414,scratch
63,2023-04-21 20:59:02,1010223111185406,scratch
64,2023-04-21 20:58:55,1010223111185357,scratch
65,2023-04-21 19:31:59,1010123111172054,marks
66,2023-04-21 19:31:49,1010123111172054,marks
67,2023-04-20 16:13:41,1010223110140649,marks
68,2023-04-20 16:13:34,1010223110140547,marks
69,2023-04-20 16:13:27,1010223110140529,marks
70,2023-04-20 16:13:18,1010223110140502,marks
71,2023-04-20 16:13:10,1010223110140453,marks
72,2023-04-20 16:12:59,1010223110140435,marks
73,2023-04-20 16:12:49,1010223110140426,marks
74,2023-04-20 16:12:43,1010223110140417,marks
75,2023-04-20 16:12:34,1010223110140408,marks
76,2023-04-20 14:50:33,1010223110124801,deformation
77,2023-04-20 07:29:34,1010223110052716,marks
78,2023-04-20 07:29:21,1010223110052622,meterial failure
79,2023-04-19 12:26:42,1010223109102221,marks
