date_add,cold40v3.defects_data.cold40v3.references.name_sap,Client Name,Count of defects,Type Defect,taker
2023-05-04 11:26:05,TBIE016Y00,81.62510-2441 Seitenwand außen li (G$),1,Deformacja (deformation),1010123124091718
2023-05-04 08:56:33,T083690YP1,7CA 841 312 B,1,Deformacja (deformation),1010223124065431
2023-04-27 11:18:38,TBIE012Y00,81.62510-2431,1,Odciśnięte miejsce (marks),1010223117091150
2023-04-27 11:18:31,TBIE012Y00,81.62510-2431,1,Odciśnięte miejsce (marks),1010223117091142
2023-04-27 11:14:31,TBIE012Y00,81.62510-2431,1,Odciśnięte miejsce (marks),1010223117091115
2023-04-27 11:14:22,TBIE012Y00,81.62510-2431,1,Odciśnięte miejsce (marks),1010223117091049
2023-04-27 11:14:15,TBIE012Y00,81.62510-2431,1,Odciśnięte miejsce (marks),1010223117091039
2023-04-27 10:14:01,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117081022
2023-04-27 09:46:03,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061104
2023-04-27 09:45:48,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061246
2023-04-27 09:45:37,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061254
2023-04-27 08:52:04,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061246
2023-04-27 08:51:53,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061104
2023-04-27 08:51:29,TBIE012Y00,81.62510-2431,1,Deformacja (deformation),1010223117061238
2023-04-25 07:28:22,T083655YP3,7C0 831 311 C,1,Rysa (scratch),1010123115052633
2023-04-25 07:28:11,T083655YP3,7C0 831 311 C,1,Rysa (scratch),1010123115052624
2023-04-25 07:27:58,T083655YP3,7C0 831 311 C,1,Rysa (scratch),1010123115052606
2023-04-25 07:27:47,T083655YP3,7C0 831 311 C,1,Rysa (scratch),1010123115052548
2023-04-25 07:27:39,T083655YP3,7C0 831 311 C,1,Rysa (scratch),1010123115052530
2023-04-25 07:20:54,T083655YP3,7C0 831 311 C,1,Odciśnięte miejsce (marks),1010123115051827
2023-04-25 07:20:45,T083655YP3,7C0 831 311 C,1,Odciśnięte miejsce (marks),1010123115051818
2023-04-25 07:20:35,T083655YP3,7C0 831 311 C,1,Odciśnięte miejsce (marks),1010123115051809
2023-04-25 07:18:19,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051630
2023-04-25 07:18:14,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051621
2023-04-25 07:18:10,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051612
2023-04-25 07:18:03,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051603
2023-04-25 07:17:57,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051554
2023-04-25 07:17:53,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051545
2023-04-25 07:17:47,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115051536
2023-04-25 07:10:12,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115050117
2023-04-25 07:03:52,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115050108
2023-04-25 07:03:46,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115050059
2023-04-25 07:03:40,T083655YP3,7C0 831 311 C,1,Pikos (marks/contamination),1010123115050059
