time;RealPos1Cylinder1Position
2022-11-02 12:23:21.408 CET;0
2023-02-23 08:40:07.451 CET;0
2023-02-23 08:57:24.153 CET;0
2023-02-23 08:58:15.982 CET;0
2023-02-23 09:15:19.553 CET;0
2023-02-23 09:16:39.983 CET;0
2023-02-23 09:17:14.322 CET;0
2023-02-23 09:17:29.262 CET;0
2023-02-23 09:20:51.835 CET;0
2023-02-23 09:34:18.069 CET;0
2023-02-23 09:35:50.688 CET;0
2023-02-23 09:40:17.328 CET;0
2023-02-23 09:40:50.605 CET;0
2023-02-23 09:43:04.209 CET;0
2023-02-23 09:43:41.559 CET;0
2023-02-23 09:51:29.756 CET;0
2023-02-23 10:14:47.973 CET;0
2023-02-23 11:02:59.029 CET;0
2023-02-23 11:05:06.588 CET;0
2023-02-23 11:06:18.926 CET;0
2023-02-23 11:06:39.595 CET;0
2023-02-23 13:00:23.191 CET;0
2023-02-23 14:47:18.357 CET;0
2023-02-23 14:55:11.005 CET;0
2023-02-23 15:00:12.484 CET;0
2023-02-23 15:01:54.526 CET;0
2023-02-23 15:07:58.368 CET;0
2023-02-23 15:16:02.418 CET;0
2023-02-27 08:41:12.520 CET;0
