time;RealPos1Cylinder7Force
2022-12-15 12:45:50.823 CET;380
2023-02-04 00:32:36.032 CET;0
2023-02-04 00:32:39.760 CET;380
2023-02-13 19:36:47.065 CET;0
2023-02-13 19:36:53.085 CET;700
2023-02-13 19:37:28.234 CET;450
2023-02-14 05:32:22.767 CET;300
2023-02-14 06:31:23.885 CET;200
2023-02-14 07:09:44.094 CET;250
2023-02-14 07:17:00.838 CET;230
2023-02-14 07:21:25.894 CET;200
2023-02-14 07:24:49.700 CET;180
2023-02-14 07:32:30.543 CET;400
2023-02-14 07:35:24.243 CET;300
2023-02-14 15:06:23.303 CET;330
2023-02-14 17:14:30.996 CET;550
2023-02-14 20:09:15.868 CET;420
2023-02-14 21:05:24.322 CET;400
2023-02-14 22:10:22.885 CET;420
2023-02-15 03:31:38.851 CET;300
2023-02-15 07:11:10.456 CET;0
2023-02-15 07:11:19.496 CET;300
2023-02-15 07:12:53.865 CET;220
2023-02-15 07:46:15.865 CET;200
2023-02-15 12:50:49.838 CET;250
2023-02-15 13:40:18.688 CET;500
2023-02-15 18:16:43.921 CET;550
2023-02-15 23:10:42.358 CET;450
2023-02-16 04:57:32.463 CET;400
2023-02-16 09:34:09.740 CET;350
2023-02-16 13:25:35.184 CET;450
2023-02-16 17:01:03.832 CET;400
2023-02-16 17:03:51.499 CET;370
2023-02-16 18:47:41.377 CET;300
2023-02-16 19:45:19.180 CET;250
2023-02-17 05:33:21.084 CET;500
2023-02-17 07:43:20.236 CET;450
2023-02-17 08:54:38.318 CET;500
2023-02-17 12:11:17.448 CET;340
2023-02-17 22:37:51.588 CET;700
2023-02-18 03:36:25.121 CET;300
2023-02-20 08:44:47.938 CET;350
2023-02-20 12:04:17.736 CET;300
2023-02-20 16:20:43.174 CET;600
2023-02-20 19:28:20.131 CET;520
2023-02-20 20:43:56.237 CET;560
2023-02-20 20:44:04.278 CET;570
2023-02-21 07:16:44.861 CET;650
2023-02-21 07:41:10.720 CET;600
2023-02-21 08:24:15.033 CET;650
2023-02-21 08:28:33.059 CET;700
2023-02-21 10:10:55.601 CET;650
2023-02-21 11:22:11.671 CET;420
2023-02-21 15:25:35.002 CET;600
2023-02-21 17:42:23.786 CET;500
2023-02-21 20:42:49.055 CET;550
2023-02-22 05:28:24.940 CET;500
2023-02-22 05:29:15.138 CET;550
2023-02-22 06:59:09.690 CET;420
2023-02-22 15:33:48.999 CET;700
2023-02-22 20:09:59.177 CET;300
2023-02-22 22:53:53.457 CET;330
2023-02-23 05:36:43.967 CET;450
2023-02-23 08:40:07.451 CET;450
2023-02-23 08:52:06.779 CET;0
2023-02-23 08:52:11.799 CET;450
2023-02-23 08:57:24.153 CET;450
2023-02-23 08:58:15.982 CET;450
2023-02-23 09:15:19.553 CET;450
2023-02-23 09:16:39.983 CET;450
2023-02-23 09:17:14.322 CET;450
2023-02-23 09:17:29.262 CET;450
2023-02-23 09:20:51.835 CET;450
2023-02-23 09:34:18.069 CET;450
2023-02-23 09:35:50.688 CET;450
2023-02-23 09:40:17.328 CET;450
2023-02-23 09:40:50.605 CET;450
2023-02-23 09:43:04.209 CET;450
2023-02-23 09:43:41.559 CET;450
2023-02-23 09:51:29.756 CET;450
2023-02-23 09:51:29.808 CET;450
2023-02-23 10:14:47.973 CET;450
2023-02-23 10:14:48.026 CET;450
2023-02-23 10:32:50.924 CET;550
2023-02-23 11:02:59.029 CET;550
2023-02-23 11:02:59.081 CET;550
2023-02-23 11:05:06.588 CET;550
2023-02-23 11:05:06.638 CET;550
2023-02-23 11:06:18.926 CET;550
2023-02-23 11:06:18.976 CET;550
2023-02-23 11:06:39.595 CET;550
2023-02-23 11:06:39.647 CET;550
2023-02-23 13:00:23.191 CET;550
2023-02-23 13:00:23.243 CET;550
2023-02-23 14:47:18.357 CET;550
2023-02-23 14:47:18.407 CET;550
2023-02-23 14:55:11.005 CET;550
2023-02-23 15:00:12.484 CET;550
2023-02-23 15:01:54.526 CET;550
2023-02-23 15:07:58.368 CET;550
2023-02-23 15:16:02.418 CET;550
2023-02-23 15:58:53.039 CET;450
2023-02-24 08:52:20.917 CET;400
2023-02-24 12:09:00.033 CET;340
2023-02-24 19:33:44.617 CET;450
2023-02-25 00:47:15.744 CET;300
2023-02-25 01:21:07.858 CET;400
2023-02-25 02:53:41.036 CET;450
2023-02-27 08:41:12.520 CET;450
2023-02-27 09:24:02.444 CET;0
2023-02-27 09:24:08.474 CET;450
2023-02-27 10:27:30.657 CET;480
2023-02-27 10:34:39.375 CET;500
2023-02-27 13:32:41.740 CET;700
2023-02-27 21:52:55.898 CET;400
2023-02-28 00:59:48.671 CET;300
2023-02-28 01:38:47.013 CET;380
2023-02-28 01:48:29.334 CET;360
2023-02-28 06:34:02.753 CET;500
2023-02-28 08:39:07.719 CET;550
2023-02-28 16:49:56.313 CET;400
2023-02-28 19:12:43.506 CET;300
