time;RealPreacceleration
2022-11-30 12:41:07.921 CET;TRUE
2023-02-04 00:32:36.032 CET;FALSE
2023-02-04 00:32:39.760 CET;TRUE
2023-02-23 08:40:07.451 CET;TRUE
2023-02-23 08:57:24.153 CET;TRUE
2023-02-23 08:58:15.982 CET;TRUE
2023-02-23 09:15:19.553 CET;TRUE
2023-02-23 09:16:39.983 CET;TRUE
2023-02-23 09:17:14.322 CET;TRUE
2023-02-23 09:17:29.262 CET;TRUE
2023-02-23 09:20:51.835 CET;TRUE
2023-02-23 09:34:18.069 CET;TRUE
2023-02-23 09:35:50.688 CET;TRUE
2023-02-23 09:40:17.328 CET;TRUE
2023-02-23 09:40:50.605 CET;TRUE
2023-02-23 09:43:04.209 CET;TRUE
2023-02-23 09:43:41.559 CET;TRUE
2023-02-23 09:51:29.756 CET;TRUE
2023-02-23 09:51:29.808 CET;TRUE
2023-02-23 10:14:47.973 CET;TRUE
2023-02-23 10:14:48.026 CET;TRUE
2023-02-23 11:02:59.029 CET;TRUE
2023-02-23 11:02:59.081 CET;TRUE
2023-02-23 11:05:06.588 CET;TRUE
2023-02-23 11:05:06.638 CET;TRUE
2023-02-23 11:06:18.926 CET;TRUE
2023-02-23 11:06:18.976 CET;TRUE
2023-02-23 11:06:39.595 CET;TRUE
2023-02-23 11:06:39.647 CET;TRUE
2023-02-23 13:00:23.191 CET;TRUE
2023-02-23 13:00:23.243 CET;TRUE
2023-02-23 14:47:18.357 CET;TRUE
2023-02-23 14:47:18.407 CET;TRUE
2023-02-23 14:55:11.005 CET;TRUE
2023-02-23 15:00:12.484 CET;TRUE
2023-02-23 15:01:54.526 CET;TRUE
2023-02-23 15:07:58.368 CET;TRUE
2023-02-23 15:16:02.418 CET;TRUE
2023-02-27 08:41:12.520 CET;TRUE
