time;RealWaitingTimeInPos1
2022-12-15 12:28:59.778 CET;0,5
2023-02-04 00:32:36.032 CET;0
2023-02-04 00:32:39.760 CET;0,5
2023-02-13 19:36:47.065 CET;0
2023-02-13 19:36:53.085 CET;0,3
2023-02-13 19:36:56.095 CET;0,2
2023-02-14 05:27:58.713 CET;0,5
2023-02-14 17:13:27.746 CET;0
2023-02-15 03:21:41.457 CET;0,5
2023-02-15 07:11:10.456 CET;0
2023-02-15 07:11:19.496 CET;0,5
2023-02-15 13:29:21.059 CET;0
2023-02-15 22:58:57.538 CET;0,2
2023-02-16 04:42:14.796 CET;0,5
2023-02-16 09:23:02.071 CET;1
2023-02-16 13:10:15.516 CET;0,5
2023-02-17 05:17:50.365 CET;0,7
2023-02-17 07:30:14.095 CET;0,5
2023-02-17 08:38:13.381 CET;0,7
2023-02-17 12:05:07.974 CET;0,2
2023-02-17 22:26:46.926 CET;0
2023-02-18 03:26:06.654 CET;0,5
2023-02-20 19:16:12.223 CET;0,5
2023-02-21 15:05:40.226 CET;0
2023-02-21 23:08:28.914 CET;0,7
2023-02-22 05:28:45.019 CET;0
2023-02-22 15:24:10.687 CET;0,3
2023-02-22 19:51:57.855 CET;0,2
2023-02-23 03:16:18.331 CET;0,5
2023-02-23 08:40:07.451 CET;0,5
2023-02-23 08:52:06.779 CET;0
2023-02-23 08:52:11.799 CET;0,5
2023-02-23 08:57:24.153 CET;0,5
2023-02-23 08:58:15.982 CET;0,5
2023-02-23 09:15:19.553 CET;0,5
2023-02-23 09:16:39.983 CET;0,5
2023-02-23 09:17:14.322 CET;0,5
2023-02-23 09:17:29.262 CET;0,5
2023-02-23 09:20:51.835 CET;0,5
2023-02-23 09:34:18.069 CET;0,5
2023-02-23 09:35:50.688 CET;0,5
2023-02-23 09:40:17.328 CET;0,5
2023-02-23 09:40:50.605 CET;0,5
2023-02-23 09:43:04.209 CET;0,5
2023-02-23 09:43:41.559 CET;0,5
2023-02-23 09:51:29.756 CET;0,5
2023-02-23 09:51:29.808 CET;0,5
2023-02-23 10:14:47.973 CET;0,5
2023-02-23 10:14:48.026 CET;0,5
2023-02-23 10:23:28.674 CET;0
2023-02-23 11:02:59.029 CET;0
2023-02-23 11:05:06.588 CET;0
2023-02-23 11:06:18.926 CET;0
2023-02-23 11:06:39.595 CET;0
2023-02-23 13:00:23.191 CET;0
2023-02-23 14:47:18.357 CET;0
2023-02-23 14:55:11.005 CET;0
2023-02-23 15:00:12.484 CET;0
2023-02-23 15:01:54.526 CET;0
2023-02-23 15:07:58.368 CET;0
2023-02-23 15:16:02.418 CET;0
2023-02-23 15:50:04.938 CET;0,2
2023-02-23 22:44:18.197 CET;0,5
2023-02-24 08:44:36.052 CET;0,4
2023-02-24 12:00:44.061 CET;0,2
2023-02-24 19:33:12.499 CET;1
2023-02-24 23:04:58.236 CET;0
2023-02-24 23:06:26.584 CET;0,2
2023-02-24 23:06:41.644 CET;0
2023-02-24 23:07:36.864 CET;0,5
2023-02-24 23:07:45.903 CET;0
2023-02-24 23:16:05.898 CET;0,5
2023-02-24 23:16:16.938 CET;0
2023-02-24 23:24:14.851 CET;1
2023-02-27 08:41:12.520 CET;1
2023-02-27 09:24:02.444 CET;0
2023-02-27 09:24:08.474 CET;1
2023-02-27 13:13:53.283 CET;0,2
2023-02-27 18:06:47.717 CET;0
2023-02-27 21:41:28.161 CET;0,5
2023-02-28 06:21:26.734 CET;1
2023-02-28 10:46:39.272 CET;0,5
