time;PressSpeed
2022-12-28 21:36:05.357 CET;0
2023-01-02 04:14:29.529 CET;1
2023-01-02 04:14:30.539 CET;8
2023-01-02 06:34:26.072 CET;20
2023-01-02 10:25:59.591 CET;8
2023-01-02 10:26:45.779 CET;20
2023-01-02 11:30:11.971 CET;8
2023-01-02 11:41:54.780 CET;17
2023-01-02 20:18:32.663 CET;8
2023-01-02 20:26:23.545 CET;15
2023-01-02 23:13:09.526 CET;8
2023-01-02 23:21:23.500 CET;18
2023-01-03 01:35:15.602 CET;8
2023-01-03 01:36:06.802 CET;18
2023-01-03 03:37:59.026 CET;8
2023-01-03 03:39:03.285 CET;18
2023-01-03 06:34:08.267 CET;8
2023-01-03 06:51:22.404 CET;17
2023-01-03 19:24:40.032 CET;8
2023-01-03 19:37:07.013 CET;20
2023-01-03 21:20:10.717 CET;8
2023-01-03 21:30:43.246 CET;17
2023-01-04 00:43:23.453 CET;8
2023-01-04 00:56:01.482 CET;18
2023-01-04 05:06:47.612 CET;8
2023-01-04 05:17:12.112 CET;15
2023-01-04 09:31:26.059 CET;8
2023-01-04 09:38:20.723 CET;10
2023-01-04 14:09:31.743 CET;8
2023-01-04 14:23:53.188 CET;19
2023-01-05 01:52:27.305 CET;8
2023-01-05 01:52:55.415 CET;19
2023-01-05 02:01:50.555 CET;8
2023-01-05 02:07:51.000 CET;14
2023-01-05 05:42:11.388 CET;8
2023-01-05 05:49:18.095 CET;0
2023-01-05 05:49:19.105 CET;8
2023-01-05 05:50:48.456 CET;14
2023-01-05 07:58:49.154 CET;8
2023-01-05 08:09:35.736 CET;16
2023-01-05 10:57:44.056 CET;8
2023-01-05 11:09:39.914 CET;0
2023-01-05 11:09:40.924 CET;8
2023-01-05 11:12:50.681 CET;16
2023-01-05 17:23:37.591 CET;8
2023-01-05 17:40:01.526 CET;15
2023-01-05 17:54:43.051 CET;8
2023-01-05 17:54:51.081 CET;15
2023-01-05 18:01:40.723 CET;8
2023-01-05 18:01:48.753 CET;15
2023-01-05 18:34:17.532 CET;8
2023-01-05 18:35:51.910 CET;15
2023-01-05 20:16:25.029 CET;8
2023-01-05 20:41:08.953 CET;16
2023-01-06 00:23:33.292 CET;8
2023-01-06 00:23:35.302 CET;0
2023-01-06 00:23:36.302 CET;16
2023-01-06 00:23:44.332 CET;8
2023-01-06 00:23:53.372 CET;16
2023-01-06 00:34:48.992 CET;0
2023-01-06 00:34:49.990 CET;8
2023-01-06 00:56:39.233 CET;18
2023-01-06 04:04:54.364 CET;8
2023-01-07 14:44:19.927 CET;0
2023-02-04 00:33:20.730 CET;15
2023-02-06 11:00:55.628 CET;8
2023-02-06 11:01:08.677 CET;0
2023-02-06 11:01:09.677 CET;8
2023-02-06 11:09:09.601 CET;20
2023-02-06 11:09:10.601 CET;8
2023-02-07 13:29:40.477 CET;20
2023-02-07 15:50:36.263 CET;8
2023-02-07 15:59:59.513 CET;17
2023-02-07 19:18:26.095 CET;8
2023-02-07 19:26:15.969 CET;14
2023-02-07 21:29:58.631 CET;8
2023-02-07 21:38:02.562 CET;0
2023-02-07 21:38:03.573 CET;8
2023-02-07 21:39:47.982 CET;14
2023-02-08 04:35:41.697 CET;8
2023-02-08 04:42:56.430 CET;19
2023-02-08 04:42:57.430 CET;8
2023-02-08 04:45:16.987 CET;0
2023-02-08 04:45:17.997 CET;19
2023-02-08 10:48:18.017 CET;8
2023-02-08 11:00:40.986 CET;15
2023-02-08 12:20:07.035 CET;8
2023-02-08 12:23:00.733 CET;15
2023-02-08 13:52:29.184 CET;8
2023-02-08 14:08:49.101 CET;19
2023-02-08 19:12:33.923 CET;8
2023-02-08 19:22:42.364 CET;16
2023-02-08 19:22:43.365 CET;8
2023-02-08 19:24:39.832 CET;16
2023-02-08 19:30:59.345 CET;8
2023-02-08 19:31:15.404 CET;16
2023-02-08 21:28:25.496 CET;8
2023-02-08 21:37:56.786 CET;14
2023-02-08 21:37:57.786 CET;8
2023-02-08 21:41:16.585 CET;14
2023-02-09 03:02:45.653 CET;8
2023-02-09 03:12:29.996 CET;15
2023-02-09 08:46:09.990 CET;8
2023-02-09 08:55:47.292 CET;17
2023-02-09 09:19:45.042 CET;8
2023-02-09 09:25:49.496 CET;17
2023-02-09 12:59:58.845 CET;8
2023-02-09 13:08:39.924 CET;20
2023-02-09 14:18:32.677 CET;8
2023-02-09 14:28:54.167 CET;17
2023-02-09 20:08:46.657 CET;8
2023-02-09 20:16:04.403 CET;18
