time;RealDieChangePosition
2022-12-20 10:03:38.913 CET;1395
2023-01-02 11:36:05.385 CET;1280
2023-01-02 20:21:14.299 CET;1450
2023-01-02 23:15:11.015 CET;1230
2023-01-03 06:36:55.934 CET;1213
2023-01-03 19:30:43.479 CET;1200
2023-01-03 21:23:24.494 CET;1213
2023-01-04 00:49:49.997 CET;1276
2023-01-04 09:34:26.786 CET;1450
2023-01-04 14:10:51.052 CET;1060
2023-01-04 14:11:20.181 CET;1450
2023-01-04 14:12:27.441 CET;1060
2023-01-05 02:04:05.095 CET;1150
2023-01-05 05:44:14.880 CET;1178
2023-01-05 11:01:33.973 CET;1010
2023-01-05 17:28:49.838 CET;1400
2023-01-05 20:23:36.750 CET;1010
2023-01-06 00:41:43.647 CET;1235
2023-01-06 04:09:05.368 CET;1450
2023-01-07 14:44:19.927 CET;0
2023-02-04 00:33:20.730 CET;1276
2023-02-06 11:04:04.384 CET;1258
2023-02-07 15:52:51.811 CET;1230
2023-02-07 19:20:21.553 CET;1178
2023-02-08 04:38:09.286 CET;1060
2023-02-08 10:51:07.694 CET;1450
2023-02-08 13:54:34.683 CET;1060
2023-02-08 19:19:44.648 CET;1178
2023-02-08 21:31:27.223 CET;1180
2023-02-09 03:06:28.551 CET;1276
2023-02-09 08:48:58.657 CET;1280
2023-02-09 13:02:08.362 CET;1450
2023-02-09 14:22:18.584 CET;1280
2023-02-09 20:11:54.404 CET;1230
2023-02-10 03:55:48.635 CET;1150
2023-02-10 06:31:40.012 CET;1450
2023-02-10 18:10:51.655 CET;1010
2023-02-10 22:35:57.201 CET;1178
2023-02-11 03:53:28.336 CET;1450
2023-02-13 12:48:37.094 CET;1276
2023-02-13 19:23:07.680 CET;1060
2023-02-14 05:34:45.325 CET;1010
2023-02-14 17:08:50.762 CET;1178
2023-02-15 03:24:13.295 CET;1450
2023-02-15 13:32:02.056 CET;1150
2023-02-15 18:03:26.124 CET;1180
2023-02-15 23:01:26.586 CET;1060
2023-02-16 04:45:19.035 CET;1230
2023-02-16 09:22:37.540 CET;1390
2023-02-16 13:15:00.253 CET;1060
2023-02-17 05:23:38.529 CET;0
2023-02-17 05:24:22.710 CET;1395
2023-02-17 07:31:53.286 CET;1060
2023-02-17 08:46:51.255 CET;1395
2023-02-17 12:08:27.622 CET;1280
2023-02-17 22:29:55.631 CET;1276
2023-02-18 03:31:11.877 CET;1010
2023-02-20 16:14:51.477 CET;1150
2023-02-20 19:18:13.441 CET;1230
2023-02-21 11:18:02.573 CET;1450
2023-02-21 15:07:31.615 CET;1178
2023-02-21 17:33:47.683 CET;1150
2023-02-21 20:33:19.762 CET;1178
2023-02-22 15:25:39.226 CET;1276
2023-02-22 19:52:07.125 CET;1235
2023-02-23 03:17:10.838 CET;1400
2023-02-23 08:40:07.451 CET;1400
2023-02-23 08:57:24.153 CET;1400
2023-02-23 08:58:15.982 CET;1400
2023-02-23 09:15:19.553 CET;1400
2023-02-23 09:16:39.983 CET;1400
2023-02-23 09:17:14.322 CET;1400
2023-02-23 09:17:29.262 CET;1400
2023-02-23 09:20:51.835 CET;1400
2023-02-23 09:34:18.069 CET;1400
2023-02-23 09:35:50.688 CET;1400
2023-02-23 09:40:17.328 CET;1400
2023-02-23 09:40:50.605 CET;1400
2023-02-23 09:43:04.209 CET;1400
2023-02-23 09:43:41.559 CET;1400
2023-02-23 09:51:29.756 CET;1400
2023-02-23 09:51:29.808 CET;1400
2023-02-23 10:14:47.973 CET;1400
2023-02-23 10:22:25.815 CET;1180
2023-02-23 11:02:59.029 CET;1180
2023-02-23 11:02:59.081 CET;1180
2023-02-23 11:05:06.588 CET;1180
2023-02-23 11:05:06.638 CET;1180
2023-02-23 11:06:18.976 CET;1180
2023-02-23 11:06:39.595 CET;1180
2023-02-23 11:06:39.647 CET;1180
2023-02-23 13:00:23.191 CET;1180
2023-02-23 13:00:23.243 CET;1180
2023-02-23 14:47:18.357 CET;1180
2023-02-23 14:47:18.407 CET;1180
2023-02-23 14:55:11.005 CET;1180
2023-02-23 15:00:12.484 CET;1180
2023-02-23 15:01:54.526 CET;1180
2023-02-23 15:16:02.418 CET;1180
2023-02-23 15:51:42.767 CET;1060
2023-02-23 22:41:11.961 CET;1400
2023-02-24 08:46:13.042 CET;1450
2023-02-24 12:00:23.601 CET;1280
2023-02-24 19:17:19.384 CET;1450
2023-02-24 23:28:51.707 CET;1250
2023-02-27 08:41:12.520 CET;1250
2023-02-27 13:16:17.322 CET;1270
2023-02-27 17:44:32.880 CET;1276
2023-02-27 21:46:30.915 CET;1230
2023-02-28 00:50:53.109 CET;1010
2023-02-28 06:24:06.003 CET;1250
2023-02-28 10:44:40.484 CET;1450
2023-02-28 19:09:43.559 CET;1010
