time;DieReference
2023-01-02 11:31:14.690 CET;16
2023-01-02 20:18:58.193 CET;31
2023-01-02 23:12:39.826 CET;40
2023-01-03 06:34:34.767 CET;21
2023-01-03 19:25:42.634 CET;23
2023-01-03 21:19:39.937 CET;21
2023-01-04 00:43:59.931 CET;25
2023-01-04 05:08:31.341 CET;45
2023-01-04 09:32:01.509 CET;20
2023-01-04 14:10:52.352 CET;28
2023-01-05 01:54:14.983 CET;33
2023-01-05 05:42:39.739 CET;10
2023-01-05 07:57:18.013 CET;64
2023-01-05 11:00:15.875 CET;47
2023-01-05 17:27:33.727 CET;53
2023-01-05 20:16:25.209 CET;47
2023-01-06 00:35:28.321 CET;62
2023-01-06 03:41:17.859 CET;58
2023-01-09 08:52:50.013 CET;32
2023-01-09 14:10:33.183 CET;40
2023-01-09 18:43:27.607 CET;1
2023-01-09 22:50:10.740 CET;56
2023-01-10 01:54:06.838 CET;16
2023-01-10 10:38:01.451 CET;28
2023-01-11 01:46:58.349 CET;47
2023-01-11 09:23:50.881 CET;54
2023-01-11 10:30:12.799 CET;47
2023-01-11 16:16:40.865 CET;7
2023-01-11 21:08:25.818 CET;22
2023-01-12 00:47:52.417 CET;20
2023-01-12 04:43:39.967 CET;42
2023-01-12 11:33:46.278 CET;21
2023-01-12 11:34:51.536 CET;42
2023-01-12 11:36:13.867 CET;28
2023-01-12 11:37:02.055 CET;42
2023-01-12 11:38:22.375 CET;21
2023-01-12 15:53:17.490 CET;18
2023-01-12 18:33:04.805 CET;21
2023-01-12 21:02:07.542 CET;45
2023-01-13 06:16:03.351 CET;10
2023-01-13 14:54:41.697 CET;64
2023-01-13 18:56:29.680 CET;59
2023-01-13 23:28:48.970 CET;40
2023-01-16 10:57:03.395 CET;16
2023-01-16 22:31:58.987 CET;47
2023-01-17 03:20:39.197 CET;61
2023-01-17 10:51:06.190 CET;45
2023-01-17 19:16:42.414 CET;47
2023-01-18 11:38:18.757 CET;21
2023-01-18 18:23:05.803 CET;35
2023-01-18 19:59:28.904 CET;21
2023-01-19 02:27:02.825 CET;28
2023-01-19 10:04:20.470 CET;27
2023-01-19 11:59:19.030 CET;28
2023-01-19 17:28:34.977 CET;33
2023-01-19 19:30:48.273 CET;20
2023-01-20 00:23:00.321 CET;25
2023-01-20 04:29:31.424 CET;40
2023-01-20 12:09:25.687 CET;36
2023-01-20 15:12:46.640 CET;1
2023-01-20 20:17:20.657 CET;42
2023-01-21 01:54:11.403 CET;10
2023-01-21 04:05:53.984 CET;21
2023-01-21 20:02:07.216 CET;47
2023-01-24 15:56:20.778 CET;64
2023-01-24 20:58:47.272 CET;22
2023-01-25 00:18:22.117 CET;16
2023-01-25 10:15:57.367 CET;21
2023-01-25 14:36:37.868 CET;53
2023-01-25 16:39:04.210 CET;21
2023-01-25 22:23:20.740 CET;45
2023-01-26 10:43:26.151 CET;56
2023-01-26 13:18:30.334 CET;1
2023-01-26 16:28:20.842 CET;54
2023-01-26 18:17:10.926 CET;40
2023-01-27 09:40:43.331 CET;42
2023-01-27 13:35:44.674 CET;25
2023-01-27 19:22:59.913 CET;23
2023-01-30 09:06:30.631 CET;32
2023-01-30 17:22:34.526 CET;10
2023-01-30 19:30:54.289 CET;64
2023-01-31 19:23:35.707 CET;20
2023-01-31 22:38:26.401 CET;16
2023-02-01 06:27:15.783 CET;25
2023-02-01 06:28:26.062 CET;16
2023-02-01 06:31:07.710 CET;25
2023-02-01 11:09:05.348 CET;47
2023-02-01 22:03:42.272 CET;28
2023-02-02 08:47:02.490 CET;40
2023-02-02 15:00:23.999 CET;33
2023-02-02 18:30:58.477 CET;7
2023-02-02 21:30:10.434 CET;31
2023-02-03 01:28:21.523 CET;21
2023-02-03 23:31:22.676 CET;45
2023-02-04 00:32:39.151 CET;0
2023-02-04 00:32:39.171 CET;45
2023-02-04 00:32:46.391 CET;0
2023-02-04 00:33:17.519 CET;45
2023-02-06 10:27:24.207 CET;2
2023-02-07 15:53:48.559 CET;22
2023-02-07 19:20:09.015 CET;10
2023-02-07 21:35:42.513 CET;1
2023-02-08 04:33:57.759 CET;28
2023-02-08 10:48:06.438 CET;58
2023-02-08 13:51:33.417 CET;28
2023-02-08 19:13:39.622 CET;64
2023-02-08 21:29:27.176 CET;42
2023-02-09 03:03:58.362 CET;45
2023-02-09 08:46:48.539 CET;16
2023-02-09 13:00:03.246 CET;55
2023-02-09 14:19:59.407 CET;16
2023-02-09 20:12:35.934 CET;40
2023-02-10 03:57:47.446 CET;56
2023-02-10 06:30:09.973 CET;41
2023-02-10 13:05:22.713 CET;20
2023-02-10 18:08:52.467 CET;47
