time;StrokeCounter
2023-01-02 07:14:03.200 CET;26157707
2023-01-02 07:14:17.351 CET;26157708
2023-01-02 07:56:34.697 CET;26157709
2023-01-02 07:56:44.857 CET;26157710
2023-01-02 07:56:55.266 CET;26157711
2023-01-02 07:57:05.937 CET;26157712
2023-01-02 07:57:17.226 CET;26157713
2023-01-02 07:57:28.905 CET;26157714
2023-01-02 07:57:40.335 CET;26157715
2023-01-02 08:01:38.562 CET;26157716
2023-01-02 08:02:02.812 CET;26157717
2023-01-02 08:05:48.947 CET;26157718
2023-01-02 08:06:22.766 CET;26157719
2023-01-02 08:07:51.265 CET;26157720
2023-01-02 08:08:01.875 CET;26157721
2023-01-02 08:08:12.505 CET;26157722
2023-01-02 08:08:23.214 CET;26157723
2023-01-02 08:08:33.934 CET;26157724
2023-01-02 08:08:44.733 CET;26157725
2023-01-02 08:10:30.092 CET;26157726
2023-01-02 08:10:40.082 CET;26157727
2023-01-02 08:10:50.812 CET;26157728
2023-01-02 08:13:28.740 CET;26157729
2023-01-02 08:13:43.020 CET;26157730
2023-01-02 08:15:45.127 CET;26157731
2023-01-02 08:15:55.066 CET;26157732
2023-01-02 08:17:40.984 CET;26157733
2023-01-02 08:17:53.545 CET;26157734
2023-01-02 08:18:05.144 CET;26157735
2023-01-02 08:18:17.704 CET;26157736
2023-01-02 08:18:29.454 CET;26157737
2023-01-02 08:18:41.394 CET;26157738
2023-01-02 08:18:53.713 CET;26157739
2023-01-02 08:19:11.903 CET;26157740
2023-01-02 08:19:29.053 CET;26157741
2023-01-02 08:26:30.474 CET;26157742
2023-01-02 08:26:41.224 CET;26157743
2023-01-02 08:28:43.313 CET;26157744
2023-01-02 08:28:55.394 CET;26157745
2023-01-02 08:29:06.114 CET;26157746
2023-01-02 08:29:16.742 CET;26157747
2023-01-02 08:29:27.392 CET;26157748
2023-01-02 08:29:38.032 CET;26157749
2023-01-02 08:29:48.832 CET;26157750
2023-01-02 08:31:37.631 CET;26157751
2023-01-02 08:31:47.619 CET;26157752
2023-01-02 08:31:58.269 CET;26157753
2023-01-02 08:33:34.288 CET;26157754
2023-01-02 08:33:44.357 CET;26157755
2023-01-02 08:33:54.756 CET;26157756
2023-01-02 08:34:05.556 CET;26157757
2023-01-02 08:34:16.997 CET;26157758
2023-01-02 08:36:18.196 CET;26157759
2023-01-02 08:36:28.984 CET;26157760
2023-01-02 08:36:39.716 CET;26157761
2023-01-02 08:36:50.355 CET;26157762
2023-01-02 08:37:01.085 CET;26157763
2023-01-02 08:37:11.724 CET;26157764
2023-01-02 08:37:22.276 CET;26157765
2023-01-02 08:38:54.174 CET;26157766
2023-01-02 08:44:23.627 CET;26157767
2023-01-02 08:44:50.246 CET;26157768
2023-01-02 08:45:00.805 CET;26157769
2023-01-02 08:47:13.233 CET;26157770
2023-01-02 08:47:25.094 CET;26157771
2023-01-02 08:47:40.253 CET;26157772
2023-01-02 08:48:03.513 CET;26157773
2023-01-02 08:48:15.082 CET;26157774
2023-01-02 08:48:26.681 CET;26157775
2023-01-02 08:48:37.153 CET;26157776
2023-01-02 08:48:48.611 CET;26157777
2023-01-02 08:49:00.132 CET;26157778
2023-01-02 08:51:15.569 CET;26157779
2023-01-02 08:51:26.128 CET;26157780
2023-01-02 08:51:36.680 CET;26157781
2023-01-02 08:53:56.306 CET;26157782
2023-01-02 08:54:06.926 CET;26157783
2023-01-02 08:54:17.565 CET;26157784
2023-01-02 08:54:28.125 CET;26157785
2023-01-02 08:54:39.486 CET;26157786
2023-01-02 08:54:50.296 CET;26157787
2023-01-02 08:55:00.936 CET;26157788
2023-01-02 08:55:11.736 CET;26157789
2023-01-02 08:55:22.454 CET;26157790
2023-01-02 08:55:33.256 CET;26157791
2023-01-02 08:55:43.966 CET;26157792
2023-01-02 08:55:54.775 CET;26157793
2023-01-02 08:56:05.734 CET;26157794
2023-01-02 08:56:16.283 CET;26157795
2023-01-02 08:56:26.934 CET;26157796
2023-01-02 08:56:47.084 CET;26157797
2023-01-02 08:56:57.563 CET;26157798
2023-01-02 09:26:22.002 CET;26157799
2023-01-02 09:26:32.721 CET;26157800
2023-01-02 09:26:43.492 CET;26157801
2023-01-02 09:27:57.500 CET;26157802
2023-01-02 09:28:07.430 CET;26157803
2023-01-02 09:28:17.420 CET;26157804
2023-01-02 09:28:28.069 CET;26157805
2023-01-02 09:28:38.789 CET;26157806
2023-01-02 09:28:50.150 CET;26157807
2023-01-02 09:29:01.671 CET;26157808
2023-01-02 09:29:13.109 CET;26157809
2023-01-02 09:29:24.549 CET;26157810
2023-01-02 09:29:36.160 CET;26157811
2023-01-02 09:29:46.709 CET;26157812
2023-01-02 09:29:58.158 CET;26157813
2023-01-02 09:30:08.698 CET;26157814
2023-01-02 09:30:20.318 CET;26157815
2023-01-02 09:31:22.556 CET;26157816
2023-01-02 09:31:34.226 CET;26157817
2023-01-02 09:31:44.717 CET;26157818
2023-01-02 09:31:56.226 CET;26157819
2023-01-02 09:32:07.756 CET;26157820
2023-01-02 09:32:18.147 CET;26157821
2023-01-02 09:32:29.845 CET;26157822
2023-01-02 09:32:40.305 CET;26157823
2023-01-02 09:32:51.756 CET;26157824
2023-01-02 09:33:02.395 CET;26157825
2023-01-02 09:37:07.881 CET;26157826
2023-01-02 09:37:20.691 CET;26157827
2023-01-02 09:37:54.482 CET;26157828
2023-01-02 09:38:08.381 CET;26157829
2023-01-02 09:40:40.907 CET;26157830
2023-01-02 09:40:58.917 CET;26157831
2023-01-02 09:41:20.207 CET;26157832
