time;ClutchBrakeWaterTemperature
2023-01-02 06:32:44.365 CET;20,3
2023-01-02 07:10:53.315 CET;24,6
2023-01-02 07:11:20.243 CET;24,5
2023-01-02 07:55:37.269 CET;28,4
2023-01-02 07:55:59.828 CET;28,5
2023-01-02 07:56:12.788 CET;28,6
2023-01-02 07:57:14.897 CET;28,7
2023-01-02 07:57:47.526 CET;28,8
2023-01-02 07:57:58.976 CET;28,7
2023-01-02 08:07:25.545 CET;29,6
2023-01-02 08:07:35.335 CET;29,7
2023-01-02 08:07:45.244 CET;29,8
2023-01-02 08:08:00.765 CET;29,9
2023-01-02 08:08:21.994 CET;30
2023-01-02 08:08:32.884 CET;30,1
2023-01-02 08:09:04.713 CET;30,2
2023-01-02 08:10:48.711 CET;29,9
2023-01-02 08:13:28.631 CET;28
2023-01-02 08:13:52.440 CET;28,1
2023-01-02 08:17:14.986 CET;29
2023-01-02 08:17:24.776 CET;29,1
2023-01-02 08:17:59.644 CET;29,4
2023-01-02 08:18:12.525 CET;29,3
2023-01-02 08:18:23.696 CET;29,4
2023-01-02 08:18:48.273 CET;29,5
2023-01-02 08:18:59.953 CET;29,6
2023-01-02 08:19:30.684 CET;29,7
2023-01-02 08:19:47.842 CET;29,8
2023-01-02 08:28:28.013 CET;30,6
2023-01-02 08:29:15.602 CET;30,7
2023-01-02 08:30:08.881 CET;30,6
2023-01-02 08:31:56.249 CET;30
2023-01-02 08:32:07.049 CET;29,9
2023-01-02 08:33:52.887 CET;29,3
2023-01-02 08:35:55.076 CET;28,7
2023-01-02 08:36:17.276 CET;28,6
2023-01-02 08:36:38.494 CET;28,5
2023-01-02 08:36:59.855 CET;28,4
2023-01-02 08:42:22.569 CET;27,7
2023-01-02 08:44:22.838 CET;27,3
2023-01-02 08:47:19.563 CET;26,9
2023-01-02 08:47:39.273 CET;26,8
2023-01-02 08:50:51.619 CET;27,3
2023-01-02 08:51:13.338 CET;27,4
2023-01-02 08:53:31.897 CET;27,8
2023-01-02 08:53:41.756 CET;27,9
2023-01-02 08:54:26.976 CET;28
