time;CushionPumpMaxPower3
2023-01-02 06:32:44.365 CET;68,7
2023-01-02 07:10:53.315 CET;69,9
2023-01-02 07:11:20.243 CET;52,8
2023-01-02 07:55:47.078 CET;52,2
2023-01-02 07:55:59.828 CET;52,5
2023-01-02 07:56:12.788 CET;52,8
2023-01-02 07:57:14.897 CET;52,5
2023-01-02 07:57:25.687 CET;52,8
2023-01-02 08:07:35.335 CET;51,9
2023-01-02 08:07:45.244 CET;52,8
2023-01-02 08:08:11.434 CET;53,1
2023-01-02 08:08:21.994 CET;52,8
2023-01-02 08:08:54.063 CET;53,1
2023-01-02 08:10:48.711 CET;52,8
2023-01-02 08:13:28.631 CET;52,5
2023-01-02 08:13:38.371 CET;51,3
2023-01-02 08:13:52.440 CET;52,8
2023-01-02 08:17:14.986 CET;53,1
2023-01-02 08:17:24.776 CET;51,3
2023-01-02 08:17:36.516 CET;52,8
2023-01-02 08:17:59.644 CET;53,1
2023-01-02 08:18:12.525 CET;52,8
2023-01-02 08:18:59.953 CET;53,1
2023-01-02 08:28:52.533 CET;52,8
2023-01-02 08:29:47.532 CET;53,1
2023-01-02 08:30:08.881 CET;52,8
2023-01-02 08:32:07.049 CET;52,5
2023-01-02 08:36:17.276 CET;50,7
2023-01-02 08:36:27.946 CET;52,8
2023-01-02 08:36:59.855 CET;52,5
2023-01-02 08:37:10.575 CET;52,8
2023-01-02 08:44:22.838 CET;52,5
2023-01-02 08:44:32.727 CET;51
2023-01-02 08:44:46.706 CET;52,8
2023-01-02 08:47:19.563 CET;52,5
2023-01-02 08:47:29.374 CET;50,7
2023-01-02 08:47:39.273 CET;52,5
2023-01-02 08:47:49.862 CET;52,8
2023-01-02 08:51:01.529 CET;51
2023-01-02 08:51:13.338 CET;52,8
2023-01-02 08:53:41.756 CET;51
2023-01-02 08:53:54.076 CET;52,8
2023-01-02 08:54:16.346 CET;52,5
2023-01-02 08:54:26.976 CET;52,8
2023-01-02 08:55:20.496 CET;52,5
2023-01-02 08:55:42.035 CET;52,8
2023-01-02 08:55:52.756 CET;52,2
2023-01-02 08:56:03.634 CET;52,5
2023-01-02 08:56:14.263 CET;52,2
2023-01-02 08:56:25.084 CET;52,8
2023-01-02 09:26:11.122 CET;50,7
2023-01-02 09:26:20.982 CET;52,5
2023-01-02 09:26:31.572 CET;52,8
2023-01-02 09:28:26.049 CET;52,5
2023-01-02 09:28:47.579 CET;52,2
2023-01-02 09:28:58.210 CET;52,5
2023-01-02 09:29:54.717 CET;52,8
2023-01-02 09:30:05.499 CET;52,5
2023-01-02 09:30:38.878 CET;52,8
2023-01-02 09:32:03.486 CET;52,5
2023-01-02 09:32:26.476 CET;52,8
2023-01-02 09:32:37.506 CET;52,5
2023-01-02 09:33:10.296 CET;52,8
2023-01-02 09:37:39.713 CET;52,5
2023-01-02 09:46:28.732 CET;52,8
2023-01-02 09:46:38.512 CET;50,4
2023-01-02 09:46:48.342 CET;52,8
2023-01-02 09:49:17.657 CET;52,5
2023-01-02 09:50:55.115 CET;52,8
2023-01-02 09:51:05.736 CET;52,2
2023-01-02 09:51:16.625 CET;52,8
2023-01-02 09:51:27.506 CET;52,5
2023-01-02 09:52:37.825 CET;52,8
2023-01-02 09:52:48.634 CET;52,5
2023-01-02 09:53:10.315 CET;52,8
