time;CushionPumpMeanPower1
2023-01-02 07:10:53.315 CET;47,4
2023-01-02 07:11:20.243 CET;49,4
2023-01-02 07:55:37.269 CET;48,9
2023-01-02 07:55:47.078 CET;49,3
2023-01-02 07:55:59.828 CET;51,3
2023-01-02 07:56:12.788 CET;49,3
2023-01-02 07:56:53.437 CET;49,4
2023-01-02 07:57:04.086 CET;49,7
2023-01-02 07:57:14.897 CET;50,9
2023-01-02 07:57:25.687 CET;51
2023-01-02 07:57:36.486 CET;51,2
2023-01-02 07:57:47.526 CET;51,3
2023-01-02 07:57:58.976 CET;51,2
2023-01-02 08:07:25.545 CET;50,6
2023-01-02 08:07:35.335 CET;50
2023-01-02 08:07:45.244 CET;51,6
2023-01-02 08:08:00.765 CET;51,7
2023-01-02 08:08:11.434 CET;50,1
2023-01-02 08:08:21.994 CET;51,5
2023-01-02 08:08:54.063 CET;51,7
2023-01-02 08:09:04.713 CET;51,8
2023-01-02 08:10:48.711 CET;51,6
2023-01-02 08:13:28.631 CET;50,3
2023-01-02 08:13:38.371 CET;49,9
2023-01-02 08:13:52.440 CET;51,5
2023-01-02 08:17:14.986 CET;50,1
2023-01-02 08:17:24.776 CET;50
2023-01-02 08:17:36.516 CET;51,7
2023-01-02 08:17:59.644 CET;50,6
2023-01-02 08:18:12.525 CET;50,2
2023-01-02 08:18:23.696 CET;50,5
2023-01-02 08:18:36.696 CET;51,4
2023-01-02 08:18:48.273 CET;50,9
2023-01-02 08:18:59.953 CET;51,2
2023-01-02 08:19:12.444 CET;51,5
2023-01-02 08:19:30.684 CET;50,6
2023-01-02 08:19:47.842 CET;50,8
2023-01-02 08:28:28.013 CET;50,7
2023-01-02 08:28:52.533 CET;50,1
2023-01-02 08:29:04.884 CET;50
2023-01-02 08:29:15.602 CET;50,4
2023-01-02 08:29:26.171 CET;51,6
2023-01-02 08:29:36.802 CET;51,7
2023-01-02 08:29:47.532 CET;51,6
2023-01-02 08:29:58.250 CET;51,7
2023-01-02 08:32:07.049 CET;50,3
2023-01-02 08:32:17.859 CET;51,4
2023-01-02 08:33:52.887 CET;51,5
2023-01-02 08:35:55.076 CET;50,5
2023-01-02 08:36:07.407 CET;50,3
2023-01-02 08:36:17.276 CET;50
2023-01-02 08:36:27.946 CET;51,3
2023-01-02 08:36:38.494 CET;51,6
2023-01-02 08:36:59.855 CET;51,7
2023-01-02 08:42:22.569 CET;51,6
2023-01-02 08:44:22.838 CET;50,3
2023-01-02 08:44:32.727 CET;50,5
2023-01-02 08:44:46.706 CET;51,5
2023-01-02 08:44:59.677 CET;50,7
2023-01-02 08:47:29.374 CET;50,5
2023-01-02 08:47:39.273 CET;51,4
2023-01-02 08:47:49.862 CET;51,5
2023-01-02 08:48:00.673 CET;51,7
2023-01-02 08:48:22.213 CET;51,6
2023-01-02 08:48:33.733 CET;50,5
2023-01-02 08:50:51.619 CET;51,1
2023-01-02 08:51:01.529 CET;50,3
2023-01-02 08:51:13.338 CET;51,5
2023-01-02 08:53:31.897 CET;50,8
2023-01-02 08:53:41.756 CET;50,7
2023-01-02 08:53:54.076 CET;51,5
2023-01-02 08:54:05.815 CET;50,5
2023-01-02 08:54:16.346 CET;51
2023-01-02 08:54:26.976 CET;51,6
2023-01-02 08:54:37.707 CET;51,7
2023-01-02 08:54:48.355 CET;51,6
2023-01-02 08:55:09.796 CET;51,8
2023-01-02 08:55:20.496 CET;51,6
