time;CushionTemperatureUnitOil
2023-01-02 06:32:44.365 CET;52,9
2023-01-02 07:10:53.315 CET;51
2023-01-02 07:11:20.243 CET;50,8
2023-01-02 07:55:37.269 CET;50,1
2023-01-02 07:55:47.078 CET;50,3
2023-01-02 07:55:59.828 CET;50,1
2023-01-02 07:56:12.788 CET;50
2023-01-02 07:56:53.437 CET;50,1
2023-01-02 07:57:14.897 CET;50,2
2023-01-02 07:57:47.526 CET;50,4
2023-01-02 07:57:58.976 CET;50,5
2023-01-02 08:07:25.545 CET;51,2
2023-01-02 08:07:35.335 CET;51,4
2023-01-02 08:07:45.244 CET;51,2
2023-01-02 08:08:00.765 CET;51
2023-01-02 08:08:11.434 CET;50,9
2023-01-02 08:08:21.994 CET;51
2023-01-02 08:08:54.063 CET;50,9
2023-01-02 08:09:04.713 CET;51
2023-01-02 08:10:48.711 CET;51,8
2023-01-02 08:13:28.631 CET;52,5
2023-01-02 08:13:38.371 CET;52,6
2023-01-02 08:17:14.986 CET;53
2023-01-02 08:17:24.776 CET;53,1
2023-01-02 08:17:59.644 CET;53,2
2023-01-02 08:18:12.525 CET;53,1
2023-01-02 08:18:23.696 CET;53,3
2023-01-02 08:18:36.696 CET;53,2
2023-01-02 08:19:12.444 CET;53,1
2023-01-02 08:28:28.013 CET;53,9
2023-01-02 08:28:52.533 CET;53,7
2023-01-02 08:29:47.532 CET;53,6
2023-01-02 08:31:56.249 CET;54
2023-01-02 08:32:07.049 CET;54,1
2023-01-02 08:32:17.859 CET;54,4
2023-01-02 08:33:52.887 CET;54,5
2023-01-02 08:35:55.076 CET;54,7
2023-01-02 08:36:17.276 CET;54,6
2023-01-02 08:36:27.946 CET;54,7
2023-01-02 08:36:38.494 CET;54,5
2023-01-02 08:36:49.214 CET;54,8
2023-01-02 08:36:59.855 CET;54,6
2023-01-02 08:42:22.569 CET;55
2023-01-02 08:44:22.838 CET;54,3
2023-01-02 08:44:32.727 CET;54,2
2023-01-02 08:44:59.677 CET;53,8
2023-01-02 08:47:19.563 CET;54
2023-01-02 08:47:29.374 CET;53,9
2023-01-02 08:47:39.273 CET;54
2023-01-02 08:48:22.213 CET;53,9
2023-01-02 08:48:33.733 CET;54
2023-01-02 08:50:51.619 CET;54,2
2023-01-02 08:51:01.529 CET;54,3
2023-01-02 08:53:31.897 CET;54,4
2023-01-02 08:53:41.756 CET;54,5
2023-01-02 08:53:54.076 CET;54,3
2023-01-02 08:54:05.815 CET;54,4
2023-01-02 08:54:37.707 CET;54,6
2023-01-02 08:54:48.355 CET;54,5
2023-01-02 08:54:59.145 CET;54,4
2023-01-02 08:55:09.796 CET;54,2
2023-01-02 08:55:20.496 CET;54,3
2023-01-02 08:55:31.234 CET;54,4
2023-01-02 08:55:42.035 CET;54,3
2023-01-02 08:56:03.634 CET;54,4
2023-01-02 09:26:01.322 CET;53,4
2023-01-02 09:26:11.122 CET;53,5
