time;Cylinder4MaxParalelismErrorInBDC
2023-01-02 07:10:53.315 CET;-0,4
2023-01-02 07:11:20.243 CET;-0,3
2023-01-02 07:55:47.078 CET;-0,4
2023-01-02 07:56:12.788 CET;-0,3
2023-01-02 08:08:32.884 CET;-0,4
2023-01-02 08:10:48.711 CET;-0,3
2023-01-02 08:13:52.440 CET;-0,4
2023-01-02 08:17:14.986 CET;-0,3
2023-01-02 08:18:12.525 CET;-0,4
2023-01-02 08:18:23.696 CET;-0,3
2023-01-02 08:19:30.684 CET;-0,4
2023-01-02 08:19:47.842 CET;-0,3
2023-01-02 08:28:28.013 CET;-0,4
2023-01-02 08:28:52.533 CET;-0,3
2023-01-02 08:31:56.249 CET;-0,4
2023-01-02 08:33:52.887 CET;-0,3
2023-01-02 08:36:07.407 CET;-0,4
2023-01-02 08:36:49.214 CET;-0,3
2023-01-02 08:37:10.575 CET;-0,4
2023-01-02 08:42:22.569 CET;-0,3
2023-01-02 09:26:01.322 CET;-0,4
2023-01-02 09:26:42.282 CET;-0,3
2023-01-02 09:32:37.506 CET;-0,4
2023-01-02 09:32:48.454 CET;-0,3
2023-01-02 09:32:59.335 CET;-0,4
2023-01-02 09:37:26.132 CET;-0,3
2023-01-02 09:46:28.732 CET;-0,4
2023-01-02 09:49:06.750 CET;-0,3
2023-01-02 09:50:22.638 CET;-0,4
2023-01-02 09:50:33.507 CET;-0,3
2023-01-02 09:50:44.147 CET;-0,4
2023-01-02 09:50:55.115 CET;-0,3
2023-01-02 09:52:37.825 CET;-0,4
2023-01-02 09:52:59.344 CET;-0,3
2023-01-02 09:55:18.982 CET;-0,4
2023-01-02 09:55:29.743 CET;-0,3
2023-01-02 09:57:35.040 CET;-0,4
2023-01-02 09:57:57.269 CET;-0,3
2023-01-02 09:58:08.569 CET;-0,4
2023-01-02 10:00:21.407 CET;-0,3
2023-01-02 10:05:38.173 CET;-0,4
2023-01-02 10:05:48.871 CET;-0,3
2023-01-02 10:07:32.160 CET;-0,4
2023-01-02 10:08:04.489 CET;-0,3
2023-01-02 10:10:59.355 CET;-0,4
2023-01-02 10:11:10.246 CET;-0,3
2023-01-02 10:15:51.362 CET;-0,4
2023-01-02 10:16:50.394 CET;-0,3
2023-01-02 10:17:01.213 CET;-0,4
2023-01-02 10:17:11.765 CET;-0,3
2023-01-02 10:17:33.365 CET;-0,4
2023-01-02 10:17:44.005 CET;-0,3
2023-01-02 10:18:27.045 CET;-0,4
2023-01-02 10:18:37.865 CET;-0,3
2023-01-02 10:19:03.984 CET;-0,4
2023-01-02 10:57:38.318 CET;-0,3
2023-01-02 10:57:52.417 CET;-0,4
2023-01-02 10:59:22.206 CET;-0,3
2023-01-02 10:59:33.075 CET;-0,4
2023-01-02 10:59:43.964 CET;-0,3
2023-01-02 11:20:39.033 CET;-0,4
2023-01-02 11:32:00.099 CET;-0,9
2023-01-02 12:10:30.910 CET;-0,3
2023-01-02 12:39:41.260 CET;-0,2
2023-01-02 12:39:50.301 CET;-0,3
2023-01-02 12:43:42.227 CET;-0,2
2023-01-02 12:43:51.257 CET;-0,3
2023-01-02 12:52:16.678 CET;-0,2
2023-01-02 12:52:25.657 CET;-0,3
2023-01-02 12:57:13.592 CET;-0,2
2023-01-02 12:57:22.542 CET;-0,3
2023-01-02 12:58:07.562 CET;-0,2
2023-01-02 12:58:16.631 CET;-0,3
2023-01-02 12:58:43.592 CET;-0,2
2023-01-02 12:59:10.641 CET;-0,3
2023-01-02 13:01:43.507 CET;-0,2
2023-01-02 13:01:52.467 CET;-0,3
2023-01-02 13:02:10.558 CET;-0,2
2023-01-02 13:02:19.588 CET;-0,3
