time;Cylinder4MaxParallelismInCycle
2023-01-02 07:10:53.315 CET;-29,6
2023-01-02 07:11:20.243 CET;6,5
2023-01-02 07:55:37.269 CET;6,8
2023-01-02 07:55:59.828 CET;6,9
2023-01-02 07:56:12.788 CET;6,8
2023-01-02 07:57:04.086 CET;6,9
2023-01-02 07:57:25.687 CET;6,6
2023-01-02 07:57:36.486 CET;6,7
2023-01-02 07:57:47.526 CET;6,6
2023-01-02 07:57:58.976 CET;6,7
2023-01-02 08:07:25.545 CET;6,9
2023-01-02 08:07:35.335 CET;7
2023-01-02 08:08:00.765 CET;6,9
2023-01-02 08:08:11.434 CET;6,8
2023-01-02 08:08:32.884 CET;6,5
2023-01-02 08:08:54.063 CET;6,6
2023-01-02 08:09:04.713 CET;6,7
2023-01-02 08:10:48.711 CET;6,8
2023-01-02 08:13:28.631 CET;6,9
2023-01-02 08:17:14.986 CET;6,8
2023-01-02 08:17:24.776 CET;6,7
2023-01-02 08:17:36.516 CET;6,8
2023-01-02 08:17:59.644 CET;6,7
2023-01-02 08:18:12.525 CET;6,8
2023-01-02 08:18:48.273 CET;6,9
2023-01-02 08:18:59.953 CET;7
2023-01-02 08:19:30.684 CET;6,7
2023-01-02 08:19:47.842 CET;6,6
2023-01-02 08:28:52.533 CET;6,9
2023-01-02 08:29:04.884 CET;6,8
2023-01-02 08:29:15.602 CET;6,9
2023-01-02 08:29:26.171 CET;6,8
2023-01-02 08:29:36.802 CET;6,9
2023-01-02 08:29:58.250 CET;7
2023-01-02 08:31:56.249 CET;6,8
2023-01-02 08:32:07.049 CET;6,7
2023-01-02 08:32:17.859 CET;6,6
2023-01-02 08:33:52.887 CET;6,7
2023-01-02 08:35:55.076 CET;6,6
2023-01-02 08:36:07.407 CET;6,5
2023-01-02 08:36:17.276 CET;6,6
2023-01-02 08:36:38.494 CET;6,7
2023-01-02 08:36:49.214 CET;6,8
2023-01-02 08:37:10.575 CET;6,7
2023-01-02 08:42:22.569 CET;6,8
2023-01-02 08:44:22.838 CET;6,9
2023-01-02 08:44:32.727 CET;6,8
2023-01-02 08:47:19.563 CET;6,6
2023-01-02 08:47:39.273 CET;6,7
2023-01-02 08:47:49.862 CET;6,8
2023-01-02 08:48:00.673 CET;6,9
2023-01-02 08:48:22.213 CET;6,8
2023-01-02 08:50:51.619 CET;6,9
2023-01-02 08:51:01.529 CET;6,8
2023-01-02 08:51:13.338 CET;6,9
2023-01-02 08:53:31.897 CET;6,5
2023-01-02 08:53:41.756 CET;6,8
2023-01-02 08:53:54.076 CET;6,7
2023-01-02 08:54:05.815 CET;6,8
2023-01-02 08:54:26.976 CET;6,9
2023-01-02 08:55:09.796 CET;6,8
2023-01-02 08:55:31.234 CET;6,7
2023-01-02 08:55:42.035 CET;6,9
2023-01-02 08:56:14.263 CET;7
2023-01-02 09:26:01.322 CET;6,8
2023-01-02 09:26:42.282 CET;6,9
2023-01-02 09:26:52.933 CET;7
2023-01-02 09:27:03.742 CET;6,9
2023-01-02 09:28:15.190 CET;6,6
2023-01-02 09:28:26.049 CET;6,7
2023-01-02 09:28:36.940 CET;6,9
2023-01-02 09:28:58.210 CET;6,8
2023-01-02 09:29:20.390 CET;6,7
2023-01-02 09:29:43.279 CET;6,8
2023-01-02 09:29:54.717 CET;6,7
2023-01-02 09:30:16.789 CET;6,9
2023-01-02 09:31:41.096 CET;7,1
2023-01-02 09:31:52.875 CET;7
2023-01-02 09:32:03.486 CET;6,9
2023-01-02 09:32:37.506 CET;6,5
2023-01-02 09:32:48.454 CET;6,6
2023-01-02 09:37:26.132 CET;6,9
2023-01-02 09:37:39.713 CET;6,7
2023-01-02 09:38:13.242 CET;6,8
2023-01-02 09:46:28.732 CET;6,7
2023-01-02 09:46:59.270 CET;6,8
2023-01-02 09:49:17.657 CET;6,7
2023-01-02 09:49:39.338 CET;6,8
2023-01-02 09:49:50.066 CET;6,9
2023-01-02 09:50:11.746 CET;7
2023-01-02 09:50:22.638 CET;6,8
2023-01-02 09:50:33.507 CET;6,9
2023-01-02 09:50:44.147 CET;6,8
2023-01-02 09:51:27.506 CET;6,9
