time;SlideAdjustment
2023-01-02 06:13:39.414 CET;1250
2023-01-02 06:43:55.663 CET;1198
2023-01-02 11:32:50.900 CET;1199
2023-01-02 20:20:37.401 CET;1200
2023-01-02 23:16:33.572 CET;1198
2023-01-03 06:36:27.005 CET;978
2023-01-03 19:28:53.161 CET;1175,5
2023-01-03 19:30:35.569 CET;1047
2023-01-03 19:34:38.536 CET;1175,5
2023-01-03 19:34:53.595 CET;1230
2023-01-03 19:41:06.089 CET;1175,5
2023-01-03 21:21:59.255 CET;978
2023-01-04 00:45:22.020 CET;1450
2023-01-04 09:24:56.546 CET;1198,8
2023-01-04 14:12:13.401 CET;980
2023-01-05 02:06:35.641 CET;1450
2023-01-05 11:00:22.585 CET;977
2023-01-05 17:26:12.079 CET;1257,7
2023-01-05 20:18:28.367 CET;977
2023-01-06 00:50:56.678 CET;1210
2023-01-06 04:06:57.661 CET;1378,5
2023-01-09 08:56:25.388 CET;1198
2023-01-09 18:43:31.108 CET;1450
2023-01-10 01:51:41.730 CET;1199
2023-01-10 10:40:15.447 CET;980
2023-01-11 01:53:14.275 CET;977
2023-01-11 09:26:18.881 CET;1378,7
2023-01-11 10:32:38.788 CET;977
2023-01-11 16:22:10.571 CET;1200
2023-01-11 21:08:22.177 CET;1198
2023-01-12 00:48:30.944 CET;1198,8
2023-01-12 04:44:42.576 CET;1450
2023-01-12 11:34:20.757 CET;978
2023-01-12 15:54:51.210 CET;1378
2023-01-12 15:55:21.329 CET;1047
2023-01-12 15:56:02.489 CET;978
2023-01-12 15:56:13.539 CET;1047
2023-01-12 15:59:27.315 CET;978
2023-01-12 15:59:39.367 CET;1047
2023-01-12 16:00:07.476 CET;978
2023-01-12 16:01:08.714 CET;1047
2023-01-12 16:05:42.821 CET;1378
2023-01-12 16:06:04.901 CET;1450
2023-01-12 16:15:39.203 CET;1378
2023-01-12 18:08:37.276 CET;978
2023-01-12 20:54:56.148 CET;1450
2023-01-13 16:59:46.973 CET;1377
2023-01-13 23:55:03.517 CET;1198
2023-01-14 07:00:36.522 CET;1270
2023-01-14 10:13:10.691 CET;1190
2023-01-14 10:13:26.753 CET;1198
2023-01-16 10:56:57.496 CET;1199
2023-01-16 22:21:28.568 CET;977
2023-01-17 03:06:42.950 CET;1097
2023-01-17 13:35:23.653 CET;1450
2023-01-17 19:18:12.823 CET;977
2023-01-18 10:30:25.489 CET;1097
2023-01-18 11:36:48.408 CET;978
2023-01-18 18:23:47.961 CET;1380,5
2023-01-18 20:01:40.423 CET;978
2023-01-19 02:28:51.232 CET;980
2023-01-19 10:06:52.038 CET;1176,3
2023-01-19 12:01:08.420 CET;980
2023-01-19 17:14:51.632 CET;1450
2023-01-19 19:32:29.621 CET;1198,8
2023-01-20 00:23:01.250 CET;1450
2023-01-20 04:23:31.908 CET;1198
2023-01-20 12:08:44.417 CET;1196,4
2023-01-20 15:16:11.346 CET;1450
2023-01-21 04:08:28.473 CET;978
2023-01-21 20:06:38.121 CET;977
2023-01-21 20:10:25.026 CET;1047
2023-01-21 20:15:45.313 CET;978
2023-01-21 20:15:56.352 CET;1047
2023-01-21 20:43:00.851 CET;977
2023-01-21 20:43:12.890 CET;1055
2023-01-21 20:45:07.348 CET;977
2023-01-24 15:58:10.917 CET;1450
2023-01-24 15:59:16.174 CET;977
2023-01-24 16:01:34.733 CET;1450
2023-01-24 21:02:20.828 CET;1198
2023-01-25 00:18:34.848 CET;1199
2023-01-25 10:09:24.473 CET;978
2023-01-25 14:36:32.509 CET;1257,7
2023-01-25 16:42:02.579 CET;978
2023-01-25 22:18:35.243 CET;1450
2023-01-26 16:28:41.532 CET;1378,7
2023-01-26 18:25:25.507 CET;1198
2023-01-27 09:23:51.864 CET;1450
2023-01-27 19:06:35.538 CET;1175,5
2023-01-28 07:49:19.345 CET;1230
2023-01-29 05:24:06.665 CET;0
2023-02-04 00:33:22.770 CET;1450
2023-02-06 11:11:36.927 CET;1195,5
2023-02-07 15:52:46.381 CET;1198
2023-02-07 19:20:10.085 CET;1450
2023-02-08 04:35:17.128 CET;980
2023-02-08 10:48:50.657 CET;1378,5
2023-02-08 13:54:13.085 CET;980
2023-02-08 19:15:25.072 CET;1450
2023-02-09 08:46:24.430 CET;1199
2023-02-09 13:00:30.335 CET;1373,8
2023-02-09 14:22:07.894 CET;1199
2023-02-09 20:11:22.605 CET;1198
2023-02-10 03:55:04.746 CET;1450
2023-02-10 06:29:52.851 CET;1380,7
2023-02-10 12:55:54.374 CET;1198,8
2023-02-10 17:53:19.661 CET;977
2023-02-10 22:36:31.532 CET;1450
2023-02-11 04:08:55.203 CET;1380,5
2023-02-11 04:09:40.384 CET;1410
2023-02-11 04:12:55.160 CET;1380,5
2023-02-13 12:47:38.744 CET;1450
2023-02-13 19:21:16.084 CET;978
2023-02-14 05:31:03.240 CET;977
2023-02-14 05:31:17.289 CET;978
2023-02-14 05:31:27.329 CET;1047
2023-02-14 05:35:31.305 CET;977
2023-02-14 05:35:41.345 CET;1055
2023-02-14 05:39:03.151 CET;977
2023-02-14 17:07:07.082 CET;1450
2023-02-15 03:20:50.167 CET;1380,5
2023-02-15 04:24:55.542 CET;1380,7
2023-02-15 13:34:10.184 CET;1450
2023-02-15 22:59:56.798 CET;978
2023-02-16 04:43:43.197 CET;1198
2023-02-16 09:22:15.960 CET;1196,4
2023-02-16 13:14:26.612 CET;980
2023-02-17 05:21:41.460 CET;1198
2023-02-17 07:30:58.454 CET;980
2023-02-17 08:40:45.180 CET;1198
2023-02-17 12:06:20.473 CET;1199
2023-02-17 22:29:22.813 CET;1450
2023-02-18 03:27:16.221 CET;977
2023-02-20 16:14:16.308 CET;1450
2023-02-20 19:16:57.104 CET;1198
2023-02-21 11:19:33.822 CET;1198,8
2023-02-21 15:07:34.484 CET;1450
2023-02-22 16:13:39.457 CET;0
2023-02-22 16:13:55.525 CET;1450
2023-02-22 16:17:45.440 CET;0
2023-02-22 16:18:01.502 CET;1450
2023-02-22 19:52:35.936 CET;1210
2023-02-23 03:13:13.555 CET;1257,7
2023-02-23 08:40:07.451 CET;1257,7
2023-02-23 08:57:24.153 CET;1257,7
2023-02-23 08:58:15.982 CET;1257,7
2023-02-23 09:15:19.553 CET;1257,7
2023-02-23 09:16:39.983 CET;1257,7
2023-02-23 09:17:14.322 CET;1257,7
2023-02-23 09:17:29.262 CET;1257,7
2023-02-23 09:20:51.835 CET;1257,7
2023-02-23 09:34:18.069 CET;1257,7
2023-02-23 09:35:50.688 CET;1257,7
2023-02-23 09:40:17.328 CET;1257,7
2023-02-23 09:40:50.605 CET;1257,7
2023-02-23 09:43:04.209 CET;1257,7
2023-02-23 09:43:41.559 CET;1257,7
2023-02-23 09:51:29.756 CET;1257,7
2023-02-23 09:51:29.808 CET;1257,7
2023-02-23 10:14:47.973 CET;1257,7
2023-02-23 10:14:48.026 CET;1257,7
2023-02-23 10:19:49.806 CET;1450
2023-02-23 11:02:59.029 CET;1450
2023-02-23 11:02:59.081 CET;1450
2023-02-23 11:05:06.588 CET;1450
2023-02-23 11:05:06.638 CET;1450
2023-02-23 11:06:18.926 CET;1450
2023-02-23 11:06:18.976 CET;1450
2023-02-23 11:06:39.595 CET;1450
2023-02-23 11:06:39.647 CET;1450
2023-02-23 13:00:23.191 CET;1450
2023-02-23 13:00:23.243 CET;1450
2023-02-23 14:47:18.357 CET;1450
2023-02-23 14:47:18.407 CET;1450
2023-02-23 14:55:11.005 CET;1450
2023-02-23 15:00:12.484 CET;1450
2023-02-23 15:01:54.526 CET;1450
2023-02-23 15:07:58.368 CET;1450
2023-02-23 15:16:02.418 CET;1450
2023-02-23 15:50:41.108 CET;978
2023-02-23 22:35:14.086 CET;1257,7
2023-02-24 08:45:28.372 CET;1378
2023-02-24 11:59:31.881 CET;1199
2023-02-24 19:17:34.894 CET;1378,5
2023-02-24 23:10:14.651 CET;1450
2023-02-27 08:41:12.520 CET;1450
2023-02-27 13:13:23.744 CET;1200
2023-02-27 17:48:41.957 CET;1450
2023-02-27 21:44:01.388 CET;1198
2023-02-28 00:49:48.901 CET;977
2023-02-28 06:23:54.993 CET;1450
2023-02-28 10:43:58.315 CET;1377
2023-02-28 19:09:50.549 CET;977
