time;MaxForceFR
2023-01-02 06:28:45.000 CET;112,7
2023-01-02 07:14:03.200 CET;-21,5
2023-01-02 07:14:17.351 CET;-21,4
2023-01-02 07:56:34.697 CET;-17,9
2023-01-02 07:56:44.857 CET;-19,7
2023-01-02 07:57:05.937 CET;-20,3
2023-01-02 07:57:17.226 CET;-19,7
2023-01-02 07:57:28.905 CET;-20,1
2023-01-02 07:57:40.335 CET;-19,9
2023-01-02 08:01:38.562 CET;-21,1
2023-01-02 08:02:02.812 CET;-20,1
2023-01-02 08:05:48.947 CET;-20,8
2023-01-02 08:06:22.766 CET;-21,1
2023-01-02 08:07:51.265 CET;-20,4
2023-01-02 08:08:01.875 CET;-19,8
2023-01-02 08:08:12.505 CET;-20,4
2023-01-02 08:08:23.214 CET;-19,5
2023-01-02 08:08:33.934 CET;-19,9
2023-01-02 08:08:44.733 CET;-20,4
2023-01-02 08:10:30.092 CET;-20,9
2023-01-02 08:10:40.082 CET;-19,3
2023-01-02 08:10:50.812 CET;-19,7
2023-01-02 08:13:28.740 CET;-22
2023-01-02 08:13:43.020 CET;-21,7
2023-01-02 08:15:45.127 CET;-21,1
2023-01-02 08:15:55.066 CET;-20,1
2023-01-02 08:17:40.984 CET;-21,1
2023-01-02 08:17:53.545 CET;-21,3
2023-01-02 08:18:05.144 CET;-20,5
2023-01-02 08:18:17.704 CET;-20,2
2023-01-02 08:18:29.454 CET;-19,3
2023-01-02 08:18:41.394 CET;-19,5
2023-01-02 08:18:53.713 CET;-18,9
2023-01-02 08:19:11.903 CET;-20,2
2023-01-02 08:19:29.053 CET;-20,1
2023-01-02 08:26:30.474 CET;-21,4
2023-01-02 08:26:41.224 CET;-21
2023-01-02 08:29:06.114 CET;-19,3
2023-01-02 08:29:16.742 CET;-20,1
2023-01-02 08:29:27.392 CET;-19,6
2023-01-02 08:29:48.832 CET;-19,4
2023-01-02 08:31:37.631 CET;-20,5
2023-01-02 08:31:47.619 CET;-20,2
2023-01-02 08:31:58.269 CET;-19,1
2023-01-02 08:33:34.288 CET;-20,9
2023-01-02 08:33:44.357 CET;-19,8
2023-01-02 08:33:54.756 CET;-20
2023-01-02 08:34:05.556 CET;-19,9
2023-01-02 08:34:16.997 CET;-20,3
2023-01-02 08:36:18.196 CET;-20,1
2023-01-02 08:36:28.984 CET;-17,7
2023-01-02 08:36:39.716 CET;-20
2023-01-02 08:36:50.355 CET;-19,6
2023-01-02 08:37:01.085 CET;-18,9
2023-01-02 08:37:22.276 CET;-19,2
2023-01-02 08:38:54.174 CET;-20,3
2023-01-02 08:44:23.627 CET;-21,2
2023-01-02 08:44:50.246 CET;-20,7
2023-01-02 08:45:00.805 CET;-22,6
2023-01-02 08:47:13.233 CET;-19,5
2023-01-02 08:47:25.094 CET;-21
2023-01-02 08:47:40.253 CET;-20,3
2023-01-02 08:48:03.513 CET;-19,2
2023-01-02 08:48:15.082 CET;-19
2023-01-02 08:48:26.681 CET;-19,1
2023-01-02 08:48:37.153 CET;-19,5
2023-01-02 08:48:48.611 CET;-19,2
2023-01-02 08:49:00.132 CET;-19,1
2023-01-02 08:51:15.569 CET;-20,9
2023-01-02 08:51:36.680 CET;-21
2023-01-02 08:53:56.306 CET;-21,4
2023-01-02 08:54:06.926 CET;-20,8
2023-01-02 08:54:17.565 CET;-20,7
