time;PressForceValueRR
2023-01-02 06:28:45.000 CET;3,2
2023-01-02 07:14:03.200 CET;63,4
2023-01-02 07:56:44.857 CET;64,2
2023-01-02 07:56:55.266 CET;63,7
2023-01-02 07:57:05.937 CET;64
2023-01-02 07:57:17.226 CET;63,7
2023-01-02 07:57:28.905 CET;64,2
2023-01-02 07:57:40.335 CET;64,8
2023-01-02 08:01:38.562 CET;63,2
2023-01-02 08:02:02.812 CET;63,4
2023-01-02 08:05:48.947 CET;62,6
2023-01-02 08:06:22.766 CET;63,2
2023-01-02 08:07:51.265 CET;62,4
2023-01-02 08:08:01.875 CET;63,4
2023-01-02 08:08:12.505 CET;62,9
2023-01-02 08:08:23.214 CET;63,4
2023-01-02 08:08:33.934 CET;62,9
2023-01-02 08:08:44.733 CET;63,4
2023-01-02 08:10:30.092 CET;63,2
2023-01-02 08:10:40.082 CET;62,9
2023-01-02 08:10:50.812 CET;63,7
2023-01-02 08:13:28.740 CET;63,4
2023-01-02 08:13:43.020 CET;62,9
2023-01-02 08:15:55.066 CET;64,5
2023-01-02 08:17:40.984 CET;63,2
2023-01-02 08:17:53.545 CET;63,7
2023-01-02 08:18:17.704 CET;64,2
2023-01-02 08:18:29.454 CET;63,7
2023-01-02 08:19:11.903 CET;62,9
2023-01-02 08:19:29.053 CET;63,2
2023-01-02 08:26:30.474 CET;62,6
2023-01-02 08:26:41.224 CET;63,4
2023-01-02 08:28:43.313 CET;62,6
2023-01-02 08:28:55.394 CET;63,4
2023-01-02 08:29:06.114 CET;63,2
2023-01-02 08:29:16.742 CET;63,7
2023-01-02 08:29:38.032 CET;63,4
2023-01-02 08:29:48.832 CET;63,7
2023-01-02 08:31:37.631 CET;63,2
2023-01-02 08:31:47.619 CET;63,4
2023-01-02 08:31:58.269 CET;63,2
2023-01-02 08:33:34.288 CET;62,6
2023-01-02 08:33:44.357 CET;63,2
2023-01-02 08:33:54.756 CET;62,9
2023-01-02 08:34:05.556 CET;63,2
2023-01-02 08:34:16.997 CET;63,7
2023-01-02 08:36:18.196 CET;62,6
2023-01-02 08:36:28.984 CET;64
2023-01-02 08:36:39.716 CET;63,4
2023-01-02 08:36:50.355 CET;64
2023-01-02 08:37:01.085 CET;63,4
2023-01-02 08:37:11.724 CET;63,2
2023-01-02 08:37:22.276 CET;63,7
2023-01-02 08:38:54.174 CET;63,4
2023-01-02 08:44:23.627 CET;62,6
2023-01-02 08:44:50.246 CET;63,2
2023-01-02 08:47:13.233 CET;65
2023-01-02 08:47:25.094 CET;64,5
2023-01-02 08:47:40.253 CET;63,7
2023-01-02 08:48:03.513 CET;62,6
2023-01-02 08:48:15.082 CET;63,2
2023-01-02 08:48:37.153 CET;63,7
2023-01-02 08:48:48.611 CET;63,2
2023-01-02 08:51:15.569 CET;62,6
2023-01-02 08:51:26.128 CET;63,7
2023-01-02 08:53:56.306 CET;63,2
2023-01-02 08:54:06.926 CET;63,7
2023-01-02 08:54:17.565 CET;63,2
2023-01-02 08:54:28.125 CET;63,4
2023-01-02 08:54:39.486 CET;63,2
2023-01-02 08:55:00.936 CET;63,7
2023-01-02 08:55:11.736 CET;63,2
2023-01-02 08:55:22.454 CET;63,7
2023-01-02 08:55:33.256 CET;63,2
2023-01-02 08:55:54.775 CET;62,6
2023-01-02 08:56:05.734 CET;63,2
2023-01-02 08:56:16.283 CET;64,2
