time;TotalPressForceValue
2023-01-02 06:28:45.000 CET;3,8
2023-01-02 07:14:03.200 CET;56,4
2023-01-02 07:14:17.351 CET;57,4
2023-01-02 07:56:34.697 CET;57,3
2023-01-02 07:56:44.857 CET;57,8
2023-01-02 07:56:55.266 CET;57,7
2023-01-02 07:57:05.937 CET;57,8
2023-01-02 07:57:17.226 CET;57,7
2023-01-02 07:57:40.335 CET;58,4
2023-01-02 08:01:38.562 CET;56,8
2023-01-02 08:02:02.812 CET;57,2
2023-01-02 08:05:48.947 CET;56,9
2023-01-02 08:06:22.766 CET;57,2
2023-01-02 08:08:01.875 CET;57,8
2023-01-02 08:08:12.505 CET;57,6
2023-01-02 08:08:33.934 CET;57,8
2023-01-02 08:10:30.092 CET;57,4
2023-01-02 08:10:50.812 CET;57,8
2023-01-02 08:13:28.740 CET;57,2
2023-01-02 08:13:43.020 CET;57,6
2023-01-02 08:15:45.127 CET;57,4
2023-01-02 08:15:55.066 CET;58
2023-01-02 08:17:40.984 CET;57,4
2023-01-02 08:17:53.545 CET;57,6
2023-01-02 08:18:05.144 CET;57,8
2023-01-02 08:18:29.454 CET;57,6
2023-01-02 08:18:41.394 CET;57,8
2023-01-02 08:19:11.903 CET;58
2023-01-02 08:19:29.053 CET;57,9
2023-01-02 08:26:30.474 CET;56,8
2023-01-02 08:26:41.224 CET;57,3
2023-01-02 08:28:43.313 CET;57
2023-01-02 08:28:55.394 CET;57,6
2023-01-02 08:29:06.114 CET;58,4
2023-01-02 08:29:27.392 CET;58,3
2023-01-02 08:29:38.032 CET;58,2
2023-01-02 08:29:48.832 CET;58,4
2023-01-02 08:31:37.631 CET;57,6
2023-01-02 08:31:47.619 CET;57,8
2023-01-02 08:31:58.269 CET;57,6
2023-01-02 08:33:34.288 CET;57,2
2023-01-02 08:33:44.357 CET;57,6
2023-01-02 08:33:54.756 CET;58
2023-01-02 08:36:18.196 CET;57,4
2023-01-02 08:36:28.984 CET;57,9
2023-01-02 08:36:39.716 CET;58
2023-01-02 08:36:50.355 CET;58,2
2023-01-02 08:37:11.724 CET;58,1
2023-01-02 08:37:22.276 CET;58,3
2023-01-02 08:38:54.174 CET;57,9
2023-01-02 08:44:23.627 CET;57,1
2023-01-02 08:44:50.246 CET;57,5
2023-01-02 08:45:00.805 CET;57,7
2023-01-02 08:47:13.233 CET;57,8
2023-01-02 08:47:40.253 CET;57,6
2023-01-02 08:48:03.513 CET;57,2
2023-01-02 08:48:15.082 CET;57,7
2023-01-02 08:48:26.681 CET;57,8
2023-01-02 08:48:37.153 CET;57,7
2023-01-02 08:48:48.611 CET;57,5
2023-01-02 08:49:00.132 CET;58
2023-01-02 08:51:15.569 CET;57,8
2023-01-02 08:51:26.128 CET;58,1
2023-01-02 08:51:36.680 CET;58,2
2023-01-02 08:53:56.306 CET;57,3
2023-01-02 08:54:06.926 CET;58,4
2023-01-02 08:54:17.565 CET;58,3
2023-01-02 08:54:39.486 CET;58,1
2023-01-02 08:54:50.296 CET;58,2
2023-01-02 08:55:22.454 CET;58,3
2023-01-02 08:55:33.256 CET;58,1
2023-01-02 08:55:43.966 CET;58
2023-01-02 08:55:54.775 CET;57,9
2023-01-02 08:56:05.734 CET;58
2023-01-02 08:56:16.283 CET;58,2
2023-01-02 08:56:26.934 CET;58,4
2023-01-02 08:56:47.084 CET;58,1
2023-01-02 08:56:57.563 CET;58,2
2023-01-02 09:26:22.002 CET;56,8
2023-01-02 09:26:32.721 CET;57,2
2023-01-02 09:26:43.492 CET;57,7
2023-01-02 09:27:57.500 CET;57,3
2023-01-02 09:28:07.430 CET;57,6
