time;ClutchBrakeTemperatureUnitOil
2023-01-02 06:11:50.897 CET;31,7
2023-01-02 07:15:42.078 CET;44
2023-01-02 07:16:40.227 CET;43,7
2023-01-02 07:57:01.377 CET;42
2023-01-02 07:57:11.486 CET;42,1
2023-01-02 07:57:22.457 CET;42,3
2023-01-02 08:00:09.243 CET;43,8
2023-01-02 08:01:46.092 CET;43,9
2023-01-02 08:05:51.888 CET;43,7
2023-01-02 08:06:16.405 CET;43,6
2023-01-02 08:06:53.286 CET;43,7
2023-01-02 08:07:16.696 CET;43,8
2023-01-02 08:08:14.414 CET;44,2
2023-01-02 08:08:37.335 CET;44,3
2023-01-02 08:09:01.424 CET;44,4
2023-01-02 08:10:44.401 CET;45,1
2023-01-02 08:13:21.921 CET;45,3
2023-01-02 08:15:20.819 CET;45
2023-01-02 08:17:24.276 CET;44,9
2023-01-02 08:18:36.946 CET;45
2023-01-02 08:18:55.184 CET;45,1
2023-01-02 08:19:12.312 CET;45,2
2023-01-02 08:26:13.936 CET;45,4
2023-01-02 08:28:21.473 CET;45,7
2023-01-02 08:28:32.552 CET;45,6
2023-01-02 08:29:06.404 CET;45,7
2023-01-02 08:29:52.631 CET;45,8
2023-01-02 08:31:51.948 CET;46,4
2023-01-02 08:33:47.467 CET;46,3
2023-01-02 08:33:59.117 CET;46,4
2023-01-02 08:34:10.638 CET;46,3
2023-01-02 08:37:15.125 CET;46,2
2023-01-02 08:37:26.654 CET;46,1
2023-01-02 08:39:07.392 CET;46,2
2023-01-02 08:39:18.562 CET;46,1
2023-01-02 08:44:54.915 CET;45,1
2023-01-02 08:47:23.562 CET;44,9
2023-01-02 08:47:46.743 CET;44,8
2023-01-02 08:47:57.842 CET;44,7
2023-01-02 08:48:53.693 CET;44,8
2023-01-02 08:49:04.252 CET;44,7
2023-01-02 08:49:15.770 CET;44,9
2023-01-02 08:50:05.081 CET;45,1
2023-01-02 08:51:40.198 CET;45,2
2023-01-02 08:52:02.348 CET;45,1
2023-01-02 08:54:20.895 CET;45
2023-01-02 08:54:54.015 CET;44,9
2023-01-02 08:55:04.805 CET;45
2023-01-02 08:55:15.296 CET;44,9
2023-01-02 08:55:26.815 CET;45
2023-01-02 08:55:59.375 CET;45,1
2023-01-02 08:56:30.424 CET;45,2
2023-01-02 08:56:41.375 CET;45,3
2023-01-02 08:56:51.934 CET;45,4
2023-01-02 08:57:02.723 CET;45,5
2023-01-02 08:57:13.365 CET;45,6
2023-01-02 09:26:46.102 CET;44,5
2023-01-02 09:29:40.279 CET;44,6
2023-01-02 09:30:02.279 CET;44,7
2023-01-02 09:31:05.828 CET;45,2
2023-01-02 09:31:27.796 CET;45,1
2023-01-02 09:31:38.437 CET;45,2
2023-01-02 09:31:49.865 CET;45,1
2023-01-02 09:32:23.315 CET;45,2
