time;PressForceValueFL
2023-01-02 06:11:50.897 CET;2,1
2023-01-02 07:15:42.078 CET;49
2023-01-02 07:16:40.227 CET;48
2023-01-02 07:57:01.377 CET;48,2
2023-01-02 07:57:11.486 CET;48,8
2023-01-02 08:00:09.243 CET;49,6
2023-01-02 08:01:46.092 CET;48,8
2023-01-02 08:01:59.973 CET;48,5
2023-01-02 08:05:51.888 CET;48,8
2023-01-02 08:06:16.405 CET;48,5
2023-01-02 08:06:53.286 CET;48,2
2023-01-02 08:07:04.456 CET;48
2023-01-02 08:08:25.494 CET;48,8
2023-01-02 08:08:37.335 CET;48,5
2023-01-02 08:09:01.424 CET;48,2
2023-01-02 08:10:44.401 CET;48,5
2023-01-02 08:13:21.921 CET;48,2
2023-01-02 08:15:20.819 CET;48
2023-01-02 08:17:24.276 CET;47,4
2023-01-02 08:17:47.825 CET;48
2023-01-02 08:18:24.714 CET;48,5
2023-01-02 08:18:36.946 CET;48,8
2023-01-02 08:18:55.184 CET;48,5
2023-01-02 08:26:13.936 CET;48,2
2023-01-02 08:26:35.746 CET;48
2023-01-02 08:28:21.473 CET;47,7
2023-01-02 08:28:32.552 CET;47,4
2023-01-02 08:28:44.003 CET;48
2023-01-02 08:29:06.404 CET;47,7
2023-01-02 08:29:29.923 CET;49
2023-01-02 08:29:41.522 CET;48,8
2023-01-02 08:30:03.592 CET;48,5
2023-01-02 08:31:51.948 CET;48,2
2023-01-02 08:33:47.467 CET;48
2023-01-02 08:34:10.638 CET;48,5
2023-01-02 08:34:21.276 CET;48,2
2023-01-02 08:34:43.355 CET;48
2023-01-02 08:36:41.395 CET;48,2
2023-01-02 08:36:52.654 CET;48,8
2023-01-02 08:37:03.615 CET;48,5
2023-01-02 08:37:26.654 CET;48,2
2023-01-02 08:39:07.392 CET;48
2023-01-02 08:44:54.915 CET;47,4
2023-01-02 08:47:46.743 CET;47,7
2023-01-02 08:48:09.372 CET;48,2
2023-01-02 08:48:20.253 CET;48
2023-01-02 08:48:53.693 CET;48,5
2023-01-02 08:49:15.770 CET;48,2
2023-01-02 08:51:40.198 CET;48
2023-01-02 08:54:20.895 CET;48,2
2023-01-02 08:54:54.015 CET;48
2023-01-02 08:55:04.805 CET;48,5
2023-01-02 08:55:15.296 CET;48,2
2023-01-02 08:55:59.375 CET;48,8
2023-01-02 08:56:30.424 CET;48,5
2023-01-02 08:56:51.934 CET;48,2
2023-01-02 08:57:02.723 CET;48,5
2023-01-02 08:57:13.365 CET;48,2
2023-01-02 09:26:46.102 CET;47,7
2023-01-02 09:28:09.750 CET;48
2023-01-02 09:28:21.710 CET;47,7
2023-01-02 09:28:43.790 CET;47,4
2023-01-02 09:28:55.240 CET;48
2023-01-02 09:29:29.720 CET;47,7
2023-01-02 09:29:40.279 CET;48
2023-01-02 09:31:27.796 CET;48,2
2023-01-02 09:32:01.226 CET;48
2023-01-02 09:32:23.315 CET;48,5
2023-01-02 09:32:33.875 CET;48,2
2023-01-02 09:33:20.375 CET;48
2023-01-02 09:37:08.332 CET;47,7
2023-01-02 09:37:37.812 CET;47,2
2023-01-02 09:37:51.651 CET;48
2023-01-02 09:38:02.601 CET;47,7
2023-01-02 09:41:03.588 CET;48
2023-01-02 09:45:35.102 CET;47,4
2023-01-02 09:45:51.421 CET;48
2023-01-02 09:49:23.898 CET;47,7
2023-01-02 09:49:45.878 CET;47,4
2023-01-02 09:49:56.467 CET;48,5
2023-01-02 09:50:19.098 CET;48,2
2023-01-02 09:50:41.167 CET;48
2023-01-02 09:51:35.016 CET;47,7
2023-01-02 09:52:32.335 CET;48,2
2023-01-02 09:52:43.813 CET;48,8
2023-01-02 09:52:55.345 CET;48,5
2023-01-02 09:53:17.404 CET;48,2
2023-01-02 09:55:01.122 CET;48,5
2023-01-02 09:55:14.552 CET;48,2
2023-01-02 09:55:36.611 CET;48,5
2023-01-02 09:55:58.382 CET;48,2
2023-01-02 09:56:31.812 CET;48
2023-01-02 09:56:42.700 CET;48,5
2023-01-02 09:57:10.611 CET;48,2
2023-01-02 09:57:43.569 CET;48
2023-01-02 09:58:05.259 CET;48,5
2023-01-02 09:58:26.460 CET;48,2
2023-01-02 09:58:47.188 CET;48,8
2023-01-02 09:58:58.219 CET;48,5
2023-01-02 10:01:10.377 CET;48,8
2023-01-02 10:01:21.436 CET;48,5
2023-01-02 10:03:09.924 CET;48
2023-01-02 10:03:21.664 CET;49
2023-01-02 10:03:55.184 CET;48,8
2023-01-02 10:04:17.983 CET;48,5
