time;PressForceValueRL
2023-01-02 06:11:50.897 CET;9,3
2023-01-02 07:15:42.078 CET;47,2
2023-01-02 07:16:40.227 CET;51,7
2023-01-02 07:57:01.377 CET;50,9
2023-01-02 07:57:11.486 CET;51,4
2023-01-02 07:57:22.457 CET;52,5
2023-01-02 08:00:09.243 CET;50,4
2023-01-02 08:01:46.092 CET;50,1
2023-01-02 08:01:59.973 CET;51,4
2023-01-02 08:05:51.888 CET;49
2023-01-02 08:06:16.405 CET;50,4
2023-01-02 08:07:04.456 CET;52,2
2023-01-02 08:07:16.696 CET;52
2023-01-02 08:08:14.414 CET;51,2
2023-01-02 08:08:37.335 CET;52,5
2023-01-02 08:09:01.424 CET;53,3
2023-01-02 08:10:44.401 CET;52
2023-01-02 08:13:21.921 CET;50,1
2023-01-02 08:13:32.780 CET;52
2023-01-02 08:15:20.819 CET;50,6
2023-01-02 08:17:24.276 CET;50,1
2023-01-02 08:17:36.786 CET;52
2023-01-02 08:18:01.105 CET;52,2
2023-01-02 08:18:12.144 CET;52,8
2023-01-02 08:18:36.946 CET;52,5
2023-01-02 08:18:55.184 CET;53
2023-01-02 08:19:12.312 CET;52,8
2023-01-02 08:26:13.936 CET;50,6
2023-01-02 08:26:24.885 CET;51,2
2023-01-02 08:26:35.746 CET;52,5
2023-01-02 08:28:21.473 CET;51,4
2023-01-02 08:28:44.003 CET;51,7
2023-01-02 08:29:06.404 CET;52,2
2023-01-02 08:29:18.482 CET;52,8
2023-01-02 08:29:41.522 CET;52,5
2023-01-02 08:31:51.948 CET;51,2
2023-01-02 08:32:03.130 CET;52,5
2023-01-02 08:33:47.467 CET;51,4
2023-01-02 08:33:59.117 CET;52,2
2023-01-02 08:34:21.276 CET;52
2023-01-02 08:34:32.398 CET;52,5
2023-01-02 08:34:43.355 CET;53
2023-01-02 08:36:41.395 CET;51,7
2023-01-02 08:36:52.654 CET;51,4
2023-01-02 08:37:03.615 CET;52,5
2023-01-02 08:37:15.125 CET;52,2
2023-01-02 08:37:37.214 CET;52,8
2023-01-02 08:39:07.392 CET;51,7
2023-01-02 08:39:18.562 CET;52,2
2023-01-02 08:44:54.915 CET;49,6
2023-01-02 08:47:23.562 CET;49,8
2023-01-02 08:47:46.743 CET;50,1
2023-01-02 08:47:57.842 CET;52
2023-01-02 08:48:20.253 CET;52,2
2023-01-02 08:49:04.252 CET;53,3
2023-01-02 08:50:05.081 CET;52,5
2023-01-02 08:51:40.198 CET;51,4
2023-01-02 08:51:51.298 CET;53
2023-01-02 08:52:02.348 CET;52,8
2023-01-02 08:54:20.895 CET;51,2
2023-01-02 08:54:54.015 CET;52,2
2023-01-02 08:55:04.805 CET;52
2023-01-02 08:55:15.296 CET;52,5
2023-01-02 08:55:38.025 CET;52,2
2023-01-02 08:55:48.486 CET;53
2023-01-02 08:55:59.375 CET;52,8
2023-01-02 08:56:09.855 CET;53
2023-01-02 08:56:41.375 CET;53,8
2023-01-02 08:57:02.723 CET;53,6
2023-01-02 08:57:13.365 CET;53,8
2023-01-02 09:26:46.102 CET;49,8
2023-01-02 09:26:57.312 CET;51,7
2023-01-02 09:28:09.750 CET;50,6
2023-01-02 09:28:21.710 CET;51,7
2023-01-02 09:28:32.829 CET;51,4
2023-01-02 09:28:43.790 CET;52,5
2023-01-02 09:28:55.240 CET;52,2
2023-01-02 09:29:18.200 CET;53
2023-01-02 09:29:29.720 CET;53,3
2023-01-02 09:29:51.799 CET;53
2023-01-02 09:30:02.279 CET;53,6
2023-01-02 09:31:05.828 CET;52,8
2023-01-02 09:31:16.826 CET;53,3
2023-01-02 09:31:38.437 CET;53
2023-01-02 09:31:49.865 CET;54,4
2023-01-02 09:32:12.427 CET;54,1
2023-01-02 09:32:33.875 CET;53,8
2023-01-02 09:32:45.395 CET;53,6
2023-01-02 09:33:20.375 CET;53,3
2023-01-02 09:37:08.332 CET;50,4
2023-01-02 09:37:37.812 CET;51,2
2023-01-02 09:37:51.651 CET;51,7
2023-01-02 09:38:02.601 CET;52,2
2023-01-02 09:40:42.808 CET;50,4
2023-01-02 09:41:03.588 CET;51,2
2023-01-02 09:41:14.917 CET;52
2023-01-02 09:45:35.102 CET;50,4
2023-01-02 09:45:51.421 CET;50,1
2023-01-02 09:46:03.413 CET;52,5
2023-01-02 09:49:12.259 CET;50,1
2023-01-02 09:49:23.898 CET;52,5
2023-01-02 09:49:45.878 CET;53,6
2023-01-02 09:50:07.887 CET;53,8
2023-01-02 09:50:19.098 CET;53,6
2023-01-02 09:50:41.167 CET;53,3
2023-01-02 09:50:51.726 CET;53,8
2023-01-02 09:51:02.367 CET;53,6
2023-01-02 09:51:13.325 CET;53,8
2023-01-02 09:51:23.877 CET;53,6
2023-01-02 09:51:35.016 CET;54,6
2023-01-02 09:52:32.335 CET;53,8
2023-01-02 09:52:43.813 CET;53,6
2023-01-02 09:53:06.535 CET;53,3
2023-01-02 09:53:17.404 CET;53,6
2023-01-02 09:53:28.924 CET;53,8
2023-01-02 09:55:01.122 CET;52,8
2023-01-02 09:55:14.552 CET;52,5
2023-01-02 09:55:25.653 CET;53,3
2023-01-02 09:55:47.743 CET;54,4
2023-01-02 09:55:58.382 CET;54,1
2023-01-02 09:56:20.700 CET;53,8
2023-01-02 09:56:31.812 CET;54,4
2023-01-02 09:56:42.700 CET;54,1
2023-01-02 09:56:59.671 CET;53,8
2023-01-02 09:57:10.611 CET;54,9
2023-01-02 09:57:21.411 CET;54,6
2023-01-02 09:57:32.141 CET;55,2
2023-01-02 09:57:43.569 CET;54,9
2023-01-02 09:57:54.611 CET;55,4
2023-01-02 09:58:05.259 CET;55,2
2023-01-02 09:58:15.890 CET;55,7
2023-01-02 09:58:26.460 CET;55,4
2023-01-02 09:58:47.188 CET;55,2
