time;MaxOffCenteredLoadLR
2023-01-02 06:41:19.466 CET;14,8
2023-01-02 07:16:38.128 CET;5,8
2023-01-02 07:19:39.444 CET;5,6
2023-01-02 08:00:07.845 CET;5,4
2023-01-02 08:01:39.193 CET;6,5
2023-01-02 08:01:52.463 CET;6,2
2023-01-02 08:02:07.663 CET;7
2023-01-02 08:06:45.756 CET;6,5
2023-01-02 08:06:56.946 CET;4,7
2023-01-02 08:07:09.194 CET;5,6
2023-01-02 08:07:21.595 CET;4,8
2023-01-02 08:07:32.775 CET;5,2
2023-01-02 08:08:25.444 CET;8,3
2023-01-02 08:08:38.634 CET;6,1
2023-01-02 08:08:53.914 CET;5
2023-01-02 08:09:09.114 CET;4,7
2023-01-02 08:13:20.250 CET;6,6
2023-01-02 08:14:05.470 CET;6,5
2023-01-02 08:17:39.427 CET;6,2
2023-01-02 08:17:53.615 CET;6
2023-01-02 08:18:03.825 CET;5,2
2023-01-02 08:18:17.055 CET;5,4
2023-01-02 08:18:29.365 CET;5,3
2023-01-02 08:18:47.634 CET;5,1
2023-01-02 08:19:04.834 CET;6
2023-01-02 08:26:07.076 CET;6,2
2023-01-02 08:26:17.275 CET;5
2023-01-02 08:26:27.505 CET;4,3
2023-01-02 08:28:20.003 CET;7
2023-01-02 08:28:32.573 CET;7,6
2023-01-02 08:28:43.602 CET;7,4
2023-01-02 08:28:55.053 CET;6,3
2023-01-02 08:29:17.431 CET;6,9
2023-01-02 08:29:29.542 CET;6,2
2023-01-02 08:29:40.891 CET;6,1
2023-01-02 08:29:52.572 CET;7,4
2023-01-02 08:30:03.691 CET;7,2
2023-01-02 08:30:14.582 CET;5,9
2023-01-02 08:32:03.009 CET;9,2
2023-01-02 08:32:14.259 CET;10,3
2023-01-02 08:32:25.059 CET;5,9
2023-01-02 08:33:58.476 CET;6,5
2023-01-02 08:34:10.276 CET;6,6
2023-01-02 08:34:21.697 CET;10,8
2023-01-02 08:34:32.417 CET;9,6
2023-01-02 08:34:43.375 CET;7,9
2023-01-02 08:34:54.325 CET;4,5
2023-01-02 08:36:52.424 CET;8
2023-01-02 08:37:03.706 CET;7
2023-01-02 08:37:14.755 CET;6
2023-01-02 08:37:26.184 CET;9,8
2023-01-02 08:37:37.706 CET;11,5
2023-01-02 08:37:48.253 CET;5,1
2023-01-02 08:39:18.461 CET;8,1
2023-01-02 08:39:29.703 CET;5,4
2023-01-02 08:47:39.993 CET;5,7
2023-01-02 08:48:00.493 CET;5,2
2023-01-02 08:48:10.723 CET;5,3
2023-01-02 08:48:20.982 CET;6,5
2023-01-02 08:48:31.943 CET;5,9
2023-01-02 08:48:42.423 CET;10,3
2023-01-02 08:48:53.381 CET;6
2023-01-02 08:49:04.832 CET;8,1
2023-01-02 08:49:15.861 CET;7
2023-01-02 08:49:26.891 CET;4,5
2023-01-02 08:50:53.398 CET;4,2
2023-01-02 08:51:51.257 CET;8,1
2023-01-02 08:52:02.358 CET;8
2023-01-02 08:52:13.388 CET;4,5
2023-01-02 08:54:31.946 CET;6,5
2023-01-02 08:54:43.395 CET;10,2
2023-01-02 08:54:54.026 CET;7,3
2023-01-02 08:55:04.974 CET;9,7
2023-01-02 08:55:18.025 CET;5
2023-01-02 08:55:28.184 CET;5,4
2023-01-02 08:55:38.494 CET;9,9
2023-01-02 08:55:48.986 CET;11
2023-01-02 08:55:59.536 CET;7,9
2023-01-02 08:56:22.803 CET;4,8
2023-01-02 08:56:33.094 CET;5
2023-01-02 08:56:43.303 CET;4,3
2023-01-02 08:56:53.543 CET;4,7
2023-01-02 08:57:03.775 CET;5,9
2023-01-02 08:57:14.355 CET;7,5
2023-01-02 08:57:24.904 CET;8,4
2023-01-02 08:57:35.954 CET;4,5
2023-01-02 09:26:57.191 CET;9,7
2023-01-02 09:27:08.913 CET;5,6
2023-01-02 09:28:20.789 CET;6,7
2023-01-02 09:28:32.829 CET;7,1
2023-01-02 09:28:43.801 CET;8,1
2023-01-02 09:28:54.829 CET;8,9
2023-01-02 09:29:07.000 CET;9,8
2023-01-02 09:29:17.710 CET;10,9
2023-01-02 09:29:29.170 CET;7
2023-01-02 09:29:40.690 CET;11,7
2023-01-02 09:29:51.249 CET;6,8
2023-01-02 09:30:58.357 CET;5,3
2023-01-02 09:31:08.536 CET;4,1
2023-01-02 09:31:28.986 CET;5,8
2023-01-02 09:31:39.398 CET;6,7
2023-01-02 09:31:50.046 CET;9,7
2023-01-02 09:32:00.845 CET;7,9
2023-01-02 09:32:12.367 CET;8,4
2023-01-02 09:32:23.407 CET;6,7
2023-01-02 09:32:34.286 CET;11,8
2023-01-02 09:33:13.045 CET;5
2023-01-02 09:33:23.236 CET;4,8
2023-01-02 09:37:33.982 CET;5,5
2023-01-02 09:37:44.141 CET;5
2023-01-02 09:37:54.441 CET;5,7
2023-01-02 09:38:04.681 CET;4
2023-01-02 09:40:56.668 CET;5,2
2023-01-02 09:45:27.033 CET;5,3
2023-01-02 09:45:46.253 CET;4,5
2023-01-02 09:46:02.562 CET;4,7
2023-01-02 09:46:14.460 CET;4,8
2023-01-02 09:49:23.207 CET;6,4
2023-01-02 09:49:34.938 CET;6,7
2023-01-02 09:49:46.306 CET;11,1
2023-01-02 09:50:07.576 CET;6,9
2023-01-02 09:50:19.028 CET;8,3
2023-01-02 09:50:30.217 CET;10,5
2023-01-02 09:50:41.088 CET;8,5
2023-01-02 09:50:52.147 CET;11,5
2023-01-02 09:51:02.786 CET;12,6
2023-01-02 09:51:13.427 CET;8,6
2023-01-02 09:51:24.306 CET;11,6
2023-01-02 09:51:34.857 CET;8,4
2023-01-02 09:51:46.075 CET;5,3
2023-01-02 09:52:43.404 CET;7,9
2023-01-02 09:52:54.875 CET;11
2023-01-02 09:53:06.473 CET;7,9
2023-01-02 09:53:17.664 CET;10,4
2023-01-02 09:53:28.384 CET;7
2023-01-02 09:53:40.075 CET;4,3
2023-01-02 09:55:12.282 CET;5
2023-01-02 09:55:25.693 CET;7,3
2023-01-02 09:55:47.601 CET;8,7
2023-01-02 09:55:58.882 CET;11,8
2023-01-02 09:56:09.423 CET;9,7
2023-01-02 09:56:20.230 CET;11,2
2023-01-02 09:56:31.750 CET;8,4
2023-01-02 09:56:52.210 CET;7,7
2023-01-02 09:57:02.480 CET;5,8
2023-01-02 09:57:12.721 CET;4
2023-01-02 09:57:22.961 CET;5,5
2023-01-02 09:57:33.282 CET;6,5
2023-01-02 09:57:43.680 CET;10,1
2023-01-02 09:57:54.561 CET;8
2023-01-02 09:58:05.680 CET;11,7
2023-01-02 09:58:16.400 CET;11,3
2023-01-02 09:58:39.640 CET;5
2023-01-02 09:58:49.950 CET;4,5
2023-01-02 09:59:00.150 CET;5,5
2023-01-02 10:00:45.167 CET;4,9
2023-01-02 10:01:21.566 CET;8,6
2023-01-02 10:01:32.486 CET;11,6
2023-01-02 10:01:43.207 CET;11,2
2023-01-02 10:01:54.075 CET;6
2023-01-02 10:03:21.144 CET;8,4
2023-01-02 10:03:32.734 CET;8,7
2023-01-02 10:03:43.763 CET;10
2023-01-02 10:03:54.644 CET;7
2023-01-02 10:04:06.253 CET;6,9
2023-01-02 10:04:17.684 CET;8
2023-01-02 10:04:29.134 CET;8,1
2023-01-02 10:04:40.414 CET;12,7
2023-01-02 10:04:51.042 CET;9,8
2023-01-02 10:05:02.253 CET;11,7
2023-01-02 10:05:12.792 CET;11,1
2023-01-02 10:05:23.683 CET;8,9
2023-01-02 10:05:34.903 CET;7,7
2023-01-02 10:05:45.921 CET;7,4
2023-01-02 10:05:56.881 CET;7,7
2023-01-02 10:06:07.921 CET;10,4
2023-01-02 10:06:18.960 CET;6,1
2023-01-02 10:06:29.520 CET;4,9
2023-01-02 10:08:25.838 CET;5,5
2023-01-02 10:08:36.078 CET;5,1
2023-01-02 10:08:46.318 CET;4,1
2023-01-02 10:08:56.558 CET;6
2023-01-02 10:09:06.959 CET;10,4
2023-01-02 10:09:18.088 CET;6,6
2023-01-02 10:09:28.967 CET;7,4
2023-01-02 10:09:39.598 CET;9,5
2023-01-02 10:09:50.806 CET;5,9
2023-01-02 10:10:01.766 CET;11,6
2023-01-02 10:10:12.476 CET;13,2
2023-01-02 10:10:23.117 CET;8,6
2023-01-02 10:10:34.576 CET;8,8
2023-01-02 10:10:45.605 CET;7,6
2023-01-02 10:10:56.246 CET;11,1
2023-01-02 10:11:07.296 CET;8,1
2023-01-02 10:11:18.255 CET;4,8
2023-01-02 10:12:21.755 CET;9,8
2023-01-02 10:12:32.634 CET;9,1
2023-01-02 10:12:43.684 CET;4,7
2023-01-02 10:15:53.874 CET;10,2
2023-01-02 10:16:04.664 CET;10,3
2023-01-02 10:16:15.694 CET;4,8
2023-01-02 10:16:42.703 CET;6
2023-01-02 10:16:54.654 CET;11,1
2023-01-02 10:17:06.265 CET;8,5
2023-01-02 10:17:17.224 CET;8,1
2023-01-02 10:17:28.174 CET;10,8
2023-01-02 10:17:38.884 CET;11,6
2023-01-02 10:17:49.444 CET;9,2
2023-01-02 10:18:00.575 CET;11,5
2023-01-02 10:18:21.016 CET;6,4
2023-01-02 10:18:31.214 CET;5,2
2023-01-02 10:18:51.625 CET;7,6
2023-01-02 10:23:51.492 CET;6
2023-01-02 10:24:01.773 CET;6,1
2023-01-02 10:24:12.012 CET;5,6
2023-01-02 10:24:22.252 CET;5
2023-01-02 10:24:32.572 CET;5,7
2023-01-02 10:24:42.822 CET;8,2
2023-01-02 10:24:53.951 CET;5,1
2023-01-02 10:42:40.114 CET;5
2023-01-02 10:50:46.953 CET;5,7
2023-01-02 10:51:37.963 CET;5
2023-01-02 10:54:16.670 CET;5,8
2023-01-02 10:57:10.546 CET;4,5
2023-01-02 10:57:20.848 CET;5
2023-01-02 10:57:31.058 CET;4
2023-01-02 10:57:41.378 CET;3,5
2023-01-02 10:57:51.536 CET;6
2023-01-02 10:58:01.857 CET;10,2
2023-01-02 10:58:12.917 CET;7,6
2023-01-02 10:58:24.046 CET;7,9
2023-01-02 10:58:34.996 CET;9,9
2023-01-02 10:58:45.957 CET;11,1
2023-01-02 10:58:56.667 CET;12,9
2023-01-02 10:59:07.236 CET;12,3
2023-01-02 10:59:17.795 CET;12,4
2023-01-02 10:59:28.595 CET;13,1
2023-01-02 10:59:39.075 CET;7,7
2023-01-02 10:59:50.686 CET;4,8
2023-01-02 11:00:48.575 CET;8
2023-01-02 11:00:59.644 CET;10,4
2023-01-02 11:01:10.775 CET;7,4
2023-01-02 11:01:21.403 CET;6,7
2023-01-02 11:01:31.963 CET;8,7
2023-01-02 11:01:43.084 CET;7,8
2023-01-02 11:23:31.420 CET;4,6
2023-01-02 11:23:41.640 CET;4,2
2023-01-02 11:23:51.969 CET;5
2023-01-02 11:24:02.279 CET;5,9
2023-01-02 11:24:25.628 CET;8,6
2023-01-02 11:25:17.838 CET;5,1
2023-01-02 11:25:28.038 CET;4,5
2023-01-02 11:25:38.358 CET;5
2023-01-02 11:25:48.596 CET;4,5
2023-01-02 11:34:34.727 CET;10,7
2023-01-02 11:37:48.713 CET;1,6
2023-01-02 20:20:03.881 CET;3,6
2023-01-02 20:23:59.469 CET;1,2
2023-01-02 21:14:06.167 CET;20,7
2023-01-02 21:15:53.073 CET;19,9
2023-01-02 21:32:49.115 CET;20
2023-01-02 21:32:58.815 CET;19,7
2023-01-02 21:33:08.655 CET;19,6
2023-01-02 21:33:17.924 CET;20,2
2023-01-02 21:33:27.125 CET;19,7
2023-01-02 21:33:36.234 CET;19,5
2023-01-02 21:33:45.436 CET;20,7
2023-01-02 21:33:54.565 CET;20,4
2023-01-02 21:34:03.765 CET;19,7
2023-01-02 21:34:13.046 CET;20
2023-01-02 21:34:22.244 CET;20,6
2023-01-02 21:34:31.434 CET;19,2
2023-01-02 21:34:40.644 CET;19,6
2023-01-02 21:34:49.765 CET;18,9
2023-01-02 21:34:58.964 CET;19,5
2023-01-02 21:35:08.164 CET;18,9
2023-01-02 21:35:17.845 CET;19,1
2023-01-02 21:35:28.033 CET;18
2023-01-02 21:35:38.674 CET;18,3
2023-01-02 21:35:47.763 CET;18,9
2023-01-02 21:37:49.782 CET;19,3
2023-01-02 21:38:00.022 CET;18,2
2023-01-02 21:38:09.601 CET;18,6
2023-01-02 21:38:18.811 CET;20
2023-01-02 21:38:28.009 CET;19,1
2023-01-02 21:38:37.119 CET;19,3
2023-01-02 21:38:46.240 CET;19,8
2023-01-02 21:38:55.529 CET;19,9
2023-01-02 21:39:04.730 CET;19,3
2023-01-02 21:39:13.769 CET;19
2023-01-02 21:39:23.529 CET;19,7
2023-01-02 21:40:51.249 CET;18
2023-01-02 21:41:00.908 CET;19
2023-01-02 21:41:10.078 CET;18,7
2023-01-02 21:41:19.217 CET;18,6
2023-01-02 21:41:28.407 CET;18,8
2023-01-02 21:41:37.707 CET;19,3
2023-01-02 21:41:46.885 CET;18,8
2023-01-02 21:41:56.176 CET;19,3
2023-01-02 21:44:23.765 CET;19
2023-01-02 21:44:34.124 CET;18,2
2023-01-02 21:44:43.862 CET;19,2
2023-01-02 21:45:33.502 CET;20,5
2023-01-02 21:45:42.651 CET;20,2
2023-01-02 21:45:51.851 CET;20,1
2023-01-02 21:46:01.042 CET;19,4
2023-01-02 21:46:10.173 CET;19,7
2023-01-02 21:46:40.203 CET;18,9
2023-01-02 21:50:09.220 CET;19,3
2023-01-02 21:50:18.259 CET;18,2
2023-01-02 21:51:38.816 CET;18,5
2023-01-02 21:51:49.246 CET;18,8
2023-01-02 21:55:48.413 CET;18,5
2023-01-02 21:55:58.191 CET;19,4
2023-01-02 21:56:08.273 CET;18,7
2023-01-02 21:56:17.542 CET;19,7
2023-01-02 21:56:26.663 CET;19,1
2023-01-02 21:56:35.861 CET;18,7
2023-01-02 22:01:38.345 CET;19,7
2023-01-02 22:01:47.464 CET;19,1
2023-01-02 22:01:56.665 CET;19,7
2023-01-02 22:02:05.786 CET;19
2023-01-02 22:03:24.584 CET;20,3
2023-01-02 22:03:33.904 CET;20
2023-01-02 22:03:43.063 CET;19,4
2023-01-02 22:03:52.283 CET;20,3
2023-01-02 22:04:01.384 CET;19,7
2023-01-02 22:04:10.584 CET;18,9
2023-01-02 22:04:19.701 CET;19
2023-01-02 22:04:28.901 CET;18,9
2023-01-02 22:04:38.102 CET;19,4
2023-01-02 22:04:56.351 CET;18,4
2023-01-02 22:05:05.621 CET;19,4
2023-01-02 22:05:14.742 CET;18,7
2023-01-02 22:05:33.141 CET;18,9
2023-01-02 22:05:42.263 CET;18,4
2023-01-02 22:05:51.461 CET;18,8
2023-01-02 22:06:00.663 CET;18,5
2023-01-02 22:06:09.871 CET;19,3
2023-01-02 22:06:19.082 CET;18,9
2023-01-02 22:06:28.273 CET;19,9
2023-01-02 22:06:37.392 CET;18,2
2023-01-02 22:06:46.592 CET;18,9
2023-01-02 22:06:55.694 CET;19,7
2023-01-02 22:07:04.834 CET;17,8
2023-01-02 22:07:14.045 CET;19,3
2023-01-02 22:07:23.233 CET;20
2023-01-02 22:07:32.434 CET;18,1
2023-01-02 22:07:41.805 CET;19
2023-01-02 22:07:50.993 CET;19,2
2023-01-02 22:08:00.194 CET;18,5
2023-01-02 22:08:09.404 CET;19,3
2023-01-02 22:08:18.595 CET;19,1
2023-01-02 22:08:27.795 CET;18,5
2023-01-02 22:08:36.905 CET;18,2
2023-01-02 22:08:46.194 CET;19,9
2023-01-02 22:08:55.305 CET;18,7
2023-01-02 22:09:04.595 CET;19,7
2023-01-02 22:09:13.805 CET;19,3
2023-01-02 22:09:22.996 CET;20,1
2023-01-02 22:09:32.286 CET;19,5
2023-01-02 22:09:41.476 CET;18,5
2023-01-02 22:09:50.687 CET;18,9
2023-01-02 22:09:59.796 CET;18,5
2023-01-02 22:10:09.076 CET;19,7
2023-01-02 22:10:18.286 CET;18,7
2023-01-02 22:10:27.566 CET;18,2
2023-01-02 22:10:36.766 CET;18,5
2023-01-02 22:10:46.046 CET;18,7
2023-01-02 22:10:55.256 CET;19,2
2023-01-02 22:11:13.726 CET;18,9
2023-01-02 22:11:22.927 CET;18,7
2023-01-02 22:11:32.197 CET;19,2
2023-01-02 22:11:41.417 CET;18,9
2023-01-02 22:11:50.687 CET;19,2
2023-01-02 22:11:59.966 CET;18,7
2023-01-02 22:12:09.167 CET;19,2
2023-01-02 22:12:18.456 CET;19,3
2023-01-02 22:12:27.655 CET;19,1
2023-01-02 22:12:36.936 CET;19,8
2023-01-02 22:12:46.125 CET;18,8
2023-01-02 22:14:35.734 CET;18,3
2023-01-02 22:14:45.424 CET;18,6
2023-01-02 22:14:55.263 CET;17,7
2023-01-02 22:15:05.023 CET;18,5
2023-01-02 22:15:14.132 CET;18,8
2023-01-02 22:15:23.403 CET;19,7
2023-01-02 22:15:32.622 CET;18,5
2023-01-02 22:15:41.733 CET;18,9
2023-01-02 22:15:50.854 CET;18,8
2023-01-02 22:15:59.973 CET;18,5
2023-01-02 22:16:09.164 CET;19,2
2023-01-02 22:16:18.453 CET;18,9
2023-01-02 22:16:36.862 CET;19,4
2023-01-02 22:17:15.571 CET;18,5
2023-01-02 22:17:25.092 CET;18,7
2023-01-02 22:17:34.770 CET;19
2023-01-02 22:17:44.200 CET;20
2023-01-02 22:17:53.331 CET;17,6
2023-01-02 22:18:02.530 CET;18,1
2023-01-02 22:18:11.641 CET;18,7
2023-01-02 22:18:20.930 CET;17,9
2023-01-02 22:18:30.140 CET;18,7
2023-01-02 22:18:48.780 CET;18
2023-01-02 22:18:57.990 CET;19
2023-01-02 22:19:07.170 CET;18
2023-01-02 22:19:16.368 CET;18,7
2023-01-02 22:19:25.569 CET;18,6
2023-01-02 22:19:34.858 CET;19,4
2023-01-02 22:19:44.049 CET;19,2
2023-01-02 22:19:53.178 CET;18
2023-01-02 22:20:02.378 CET;19,9
2023-01-02 22:20:11.569 CET;18,9
2023-01-02 22:20:20.697 CET;18,6
2023-01-02 22:20:29.798 CET;17,8
2023-01-02 22:20:39.088 CET;18,6
2023-01-02 22:20:48.296 CET;18,4
2023-01-02 22:20:57.578 CET;18,6
2023-01-02 22:21:06.778 CET;18
2023-01-02 22:21:15.977 CET;17,7
2023-01-02 22:21:25.257 CET;18,6
2023-01-02 22:21:34.538 CET;18,5
2023-01-02 22:21:43.736 CET;18,2
2023-01-02 22:21:53.016 CET;18,4
2023-01-02 22:22:02.226 CET;18,1
2023-01-02 22:22:11.426 CET;17,7
2023-01-02 22:22:20.607 CET;18,5
2023-01-02 22:22:29.806 CET;19,1
2023-01-02 22:22:39.026 CET;18,2
2023-01-02 22:22:48.145 CET;18,6
2023-01-02 22:22:57.415 CET;19,7
2023-01-02 22:23:06.615 CET;18,7
2023-01-02 22:23:15.895 CET;19
2023-01-02 22:23:25.016 CET;18,9
2023-01-02 22:23:34.204 CET;18,4
2023-01-02 22:23:43.404 CET;18,5
2023-01-02 22:23:52.543 CET;18,7
2023-01-02 22:24:01.815 CET;18,6
2023-01-02 22:24:11.013 CET;18,7
2023-01-02 22:24:20.312 CET;18
2023-01-02 22:24:29.493 CET;17,8
2023-01-02 22:24:38.783 CET;19
2023-01-02 22:24:47.993 CET;17,9
2023-01-02 22:24:57.273 CET;19,2
2023-01-02 22:25:06.463 CET;17,7
2023-01-02 22:25:15.671 CET;18,6
2023-01-02 22:25:24.953 CET;17,8
2023-01-02 22:25:34.141 CET;19,1
2023-01-02 22:25:43.423 CET;18,3
2023-01-02 22:25:52.542 CET;19,1
2023-01-02 22:26:01.742 CET;18,9
2023-01-02 22:26:10.931 CET;18,3
2023-01-02 22:26:20.131 CET;18,5
2023-01-02 22:26:38.631 CET;17,5
2023-01-02 22:26:47.831 CET;19,1
2023-01-02 22:26:57.111 CET;18,1
2023-01-02 22:27:15.520 CET;18,5
2023-01-02 22:27:33.901 CET;17,3
2023-01-02 22:27:43.099 CET;18,1
2023-01-02 22:27:52.309 CET;18,5
2023-01-02 22:28:01.430 CET;17,7
2023-01-02 22:28:10.710 CET;18,9
2023-01-02 22:28:19.908 CET;18,6
2023-01-02 22:28:29.190 CET;18,9
2023-01-02 22:28:38.390 CET;18,8
2023-01-02 22:28:47.588 CET;19,4
2023-01-02 22:28:56.858 CET;18,7
2023-01-02 22:29:06.058 CET;17,8
2023-01-02 22:29:15.257 CET;18,6
2023-01-02 22:29:24.457 CET;18,9
2023-01-02 22:29:33.737 CET;18,7
