Fielded,POS,MP,Goals,Assists,CS,GC,OG,PS,PM,YC,RC,Saves,Bonus,Manager,Name,Team,gameweek
Starters,GKP,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Ali,Martínez,AVL,5
Starters,DEF,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ali,Saliba,ARS,5
Starters,DEF,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Emerson Royal,TOT,5
Starters,DEF,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ali,Martínez,MUN,5
Starters,DEF,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ali,Sánchez,TOT,5
Starters,DEF,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Koulibaly,CHE,5
Starters,MID,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Bernardo,MCI,5
Starters,MID,86.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Rashford,MUN,5
Starters,MID,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Kulusevski,TOT,5
Starters,FWD,68.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Ali,Haaland,MCI,5
Starters,FWD,63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ali,Isak,NEW,5
Substitutes,GKP,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Ali,Henderson,NFO,5
Substitutes,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Scamacca,WHU,5
Substitutes,MID,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Elanga,MUN,5
Substitutes,MID,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ali,Gray,EVE,5
Starters,GKP,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ruslan,Ramsdale,ARS,5
Starters,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,James,CHE,5
Starters,DEF,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Robertson,LIV,5
Starters,DEF,63.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Veltman,BHA,5
Starters,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Schär,NEW,5
Starters,DEF,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ruslan,Struijk,LEE,5
Starters,MID,90.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ruslan,Salah,LIV,5
Starters,MID,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Groß,BHA,5
Starters,MID,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Højbjerg,TOT,5
Starters,FWD,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Antonio,WHU,5
Starters,FWD,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ruslan,Toney,BRE,5
Substitutes,GKP,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Ruslan,Fabianski,WHU,5
Substitutes,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Darwin,LIV,5
Substitutes,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Grealish,MCI,5
Substitutes,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruslan,Kanté,CHE,5
Starters,GKP,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Sami,Sá,WOL,5
Starters,DEF,67.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sami,Cancelo,MCI,5
Starters,DEF,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sami,Trippier,NEW,5
Starters,DEF,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sami,Dier,TOT,5
Starters,DEF,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Sami,Dalot,MUN,5
Starters,MID,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sami,Ødegaard,ARS,5
Starters,MID,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sami,Ward-Prowse,SOU,5
Starters,MID,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sami,Eze,CRY,5
Starters,MID,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sami,Harrison,LEE,5
Starters,FWD,87.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sami,Jesus,ARS,5
