players_id_in,players_id_out,manager_id,gameweek,type,result,transfer_id,player_name_in,photo_in,team_in,player_name_out,photo_out,team_out
189,64,Ali,5,f,a,8830907,Gray,172632,EVE,Lerma,152551,BOU
346,465,Yahya,5,f,a,8833951,Andreas,156689,FUL,Bowen,178186,WHU
134,259,Ruslan,5,f,a,8834214,Kanté,116594,CHE,Tielemans,166989,LEI
358,43,Yahya,5,f,a,8838057,Burn,78916,NEW,Cash,199796,AVL
342,504,Sami,5,f,a,8857423,Dalot,216051,MUN,Malacia,222690,MUN
235,8,Ruslan,5,f,a,8881578,Struijk,222694,LEE,Tierney,192895,ARS
344,469,Ali,5,f,a,8918574,Elanga,449434,MUN,Fornals,217593,WHU
603,142,Yahya,6,w,di,8969639,Paquetá,224024,WHU,Mount,184341,CHE
526,139,Yahya,6,w,a,8969640,Mee,51927,BRE,Chilwell,172850,CHE
319,227,Youssef,6,w,a,9210908,Álvarez,461358,MCI,Bamford,106617,LEE
465,480,Santi,6,w,a,9347356,Bowen,178186,WHU,Neves,171317,WOL
319,40,Sami,6,w,di,9771563,Álvarez,461358,MCI,Watkins,178301,AVL
603,407,Sami,6,w,a,9771564,Paquetá,224024,WHU,Ward-Prowse,101178,SOU
319,529,Ali,6,w,di,9794160,Álvarez,461358,MCI,Scamacca,195899,WHU
603,189,Ali,6,w,di,9794161,Paquetá,224024,WHU,Gray,172632,EVE
195,344,Ali,6,w,a,9794162,Gordon,232826,NEW,Elanga,449434,MUN
484,366,Ruslan,6,w,a,9970570,Kilman,214048,WOL,Schär,119471,NEW
111,134,Ruslan,6,w,a,9970571,Trossard,116216,ARS,Kanté,116594,CHE
516,366,Ruslan,6,w,do,9970572,Collins,432830,WOL,Schär,119471,NEW
46,305,Ruslan,6,w,a,9970573,Douglas Luiz,230046,AVL,Grealish,114283,MCI
195,305,Ruslan,6,w,di,9970574,Gordon,232826,NEW,Grealish,114283,MCI
195,134,Ruslan,6,w,di,9970575,Gordon,232826,NEW,Kanté,116594,CHE
586,366,Ruslan,6,w,do,9970576,Estupiñán,204214,BHA,Schär,119471,NEW
294,189,Ali,6,f,a,9998750,Elliott,444884,LIV,Gray,172632,EVE
408,529,Ali,6,f,a,10001711,A.Armstrong,155511,SOU,Scamacca,195899,WHU
586,520,Ali,6,f,a,10015927,Estupiñán,204214,BHA,Koulibaly,86129,CHE
73,129,Shrey,6,f,a,10026481,Kelly,235530,BOU,Alonso,82263,CHE
296,46,Ruslan,6,f,a,10028412,Carvalho,244858,LIV,Douglas Luiz,230046,AVL
436,430,Sami,6,f,a,10067048,R.Sessegnon,184349,TOT,Dier,93264,TOT
617,356,Shrey,7,w,a,10342647,Aubameyang,54694,CHE,Wilson,75115,NEW
609,3,Santi,7,w,a,10687304,Antony,467169,MUN,Xhaka,84450,ARS
617,279,Santi,7,w,di,10687305,Aubameyang,54694,CHE,Firmino,92217,LIV
516,108,Santi,7,w,a,10687306,Collins,432830,WOL,Webster,110735,BHA
609,233,Sami,7,w,di,11118900,Antony,467169,MUN,Harrison,221399,LEE
617,166,Sami,7,w,di,11118901,Aubameyang,54694,CHE,Edouard,199670,CRY
305,233,Sami,7,w,a,11118902,Grealish,114283,MCI,Harrison,221399,LEE
407,233,Sami,7,w,do,11118903,Ward-Prowse,101178,SOU,Harrison,221399,LEE
407,169,Sami,7,w,a,11118904,Ward-Prowse,101178,SOU,Eze,232413,CRY
366,436,Sami,7,w,di,11118905,Schär,119471,NEW,R.Sessegnon,184349,TOT
430,436,Sami,7,w,di,11118906,Dier,93264,TOT,R.Sessegnon,184349,TOT
394,166,Sami,7,w,di,11118907,Johnson,242898,NFO,Edouard,199670,CRY
609,296,Ruslan,7,w,di,11918306,Antony,467169,MUN,Carvalho,244858,LIV
617,458,Ruslan,7,w,di,11918307,Aubameyang,54694,CHE,Antonio,57531,WHU
430,235,Ruslan,7,w,a,11918308,Dier,93264,TOT,Struijk,222694,LEE
139,586,Ali,7,w,a,12405693,Chilwell,172850,CHE,Estupiñán,204214,BHA
519,294,Ali,7,w,a,12405694,Eriksen,80607,MUN,Elliott,444884,LIV
504,435,Ali,7,w,a,12405695,Malacia,222690,MUN,Sánchez,173904,TOT
617,30,Youssef,7,w,di,12477688,Aubameyang,54694,CHE,Ings,84939,WHU
609,130,Youssef,7,w,di,12477689,Antony,467169,MUN,Jorginho,85955,ARS
394,30,Youssef,7,w,a,12477690,Johnson,242898,NFO,Ings,84939,WHU
516,112,Youssef,7,w,di,12477691,Collins,432830,WOL,Cucurella,179268,CHE
366,432,Youssef,7,w,a,12477692,Schär,119471,NEW,Davies,115556,TOT
483,130,Youssef,7,w,a,12477693,Podence,200600,WOL,Jorginho,85955,ARS
66,30,Youssef,7,w,do,12477694,Solanke,154566,BOU,Ings,84939,WHU
110,408,Ali,7,f,a,12809204,Maupay,115382,EVE,A.Armstrong,155511,SOU
477,436,Sami,7,f,a,12809481,Jonny,114128,WOL,R.Sessegnon,184349,TOT
3,296,Ruslan,9,w,a,14145071,Xhaka,84450,ARS,Carvalho,244858,LIV
