manager,team,fielded,points,bench,ratio,ppg
Ruslan,ARS,196,824.0,237,0.83,4.2
Ali,MCI,97,498.0,121,0.8,5.13
Dani,BRE,90,297.0,104,0.87,3.3
Sami,LIV,69,370.0,83,0.83,5.36
Youssef,MCI,66,225.0,87,0.76,3.41
Ali,MUN,65,337.0,83,0.78,5.18
Shrey,MCI,63,255.0,88,0.72,4.05
Yahya,CHE,57,177.0,76,0.75,3.11
Shrey,MUN,54,229.0,60,0.9,4.24
Sami,NEW,52,238.0,59,0.88,4.58
Shrey,LEI,52,153.0,59,0.88,2.94
Youssef,NEW,51,226.0,59,0.86,4.43
Shrey,TOT,46,162.0,92,0.5,3.52
Yahya,MCI,46,133.0,66,0.7,2.89
Dani,BHA,45,147.0,77,0.58,3.27
Santi,MUN,45,112.0,67,0.67,2.49
Santi,LIV,43,149.0,54,0.8,3.47
Shrey,LIV,42,161.0,52,0.81,3.83
Dani,TOT,39,104.0,49,0.8,2.67
Santi,AVL,37,177.0,41,0.9,4.78
Yahya,BRE,37,129.0,44,0.84,3.49
Youssef,ARS,37,178.0,45,0.82,4.81
Dani,LEI,36,108.0,44,0.82,3.0
Sami,BHA,36,197.0,40,0.9,5.47
Sami,MUN,36,133.0,49,0.73,3.69
Santi,CHE,36,95.0,58,0.62,2.64
Yahya,EVE,35,93.0,66,0.53,2.66
Youssef,MUN,34,148.0,39,0.87,4.35
Yahya,ARS,33,180.0,39,0.85,5.45
Yahya,TOT,33,221.0,33,1.0,6.7
Youssef,LIV,33,117.0,47,0.7,3.55
Santi,NEW,31,160.0,45,0.69,5.16
Dani,NEW,30,115.0,33,0.91,3.83
Ruslan,BRE,30,152.0,33,0.91,5.07
Yahya,FUL,30,108.0,33,0.91,3.6
Youssef,BHA,30,169.0,39,0.77,5.63
Ali,AVL,29,96.0,42,0.69,3.31
Youssef,CHE,29,68.0,44,0.66,2.34
Youssef,NFO,28,84.0,44,0.64,3.0
Ali,NEW,27,119.0,38,0.71,4.41
Yahya,NEW,27,90.0,27,1.0,3.33
Sami,WOL,24,71.0,44,0.55,2.96
Santi,MCI,24,94.0,33,0.73,3.92
Santi,TOT,24,66.0,27,0.89,2.75
Ali,ARS,23,84.0,29,0.79,3.65
Ali,BHA,23,120.0,25,0.92,5.22
Ruslan,BHA,23,86.0,33,0.7,3.74
Shrey,WHU,23,55.0,29,0.79,2.39
Sami,MCI,22,83.0,27,0.81,3.77
Santi,BHA,22,42.0,32,0.69,1.91
Yahya,CRY,21,99.0,53,0.4,4.71
Shrey,NEW,20,62.0,34,0.59,3.1
