manager,player_name,team,photo,player_id
Yahya,Coady,EVE,94147,34
Yahya,Calvert-Lewin,EVE,177815,34
Yahya,Kane,TOT,78830,34
Youssef,Dias,MCI,171314,34
Youssef,De Gea,MUN,51940,34
Youssef,De Bruyne,MCI,61366,34
Ruslan,Ramsdale,ARS,225321,34
Yahya,Ederson,MCI,121160,34
Shrey,Lloris,TOT,37915,34
Ali,Haaland,MCI,223094,34
Yahya,Diogo Jota,LIV,194634,34
Dani,Sánchez,BHA,215059,34
Shrey,Fernandes,MUN,141746,34
Youssef,Martinelli,ARS,444145,34
Yahya,Guaita,CRY,40836,34
Dani,Raya,BRE,154561,34
Dani,Mitrović,FUL,128389,34
Dani,Mbeumo,BRE,446008,34
Yahya,Andreas,FUL,156689,34
Shrey,Stones,MCI,97299,34
Santi,Pope,NEW,98747,34
Dani,Aké,MCI,126184,34
Yahya,Thiago Silva,CHE,51090,34
Yahya,Saka,ARS,223340,34
Shrey,Alisson,LIV,116535,34
Youssef,Van Dijk,LIV,97032,34
Sami,Sá,WOL,149065,34
Sami,Trippier,NEW,77794,34
Dani,Botman,NEW,220237,34
Ali,Rashford,MUN,176297,34
Yahya,Mee,BRE,51927,33
Ruslan,Toney,BRE,144485,33
Ruslan,Trossard,ARS,116216,33
Ruslan,Jesus,ARS,205651,32
Sami,Darwin,LIV,447203,32
Youssef,Schär,NEW,119471,32
Sami,Salah,LIV,118748,32
Ali,Martínez,AVL,98980,31
Ruslan,Gabriel,ARS,226597,30
Shrey,Maddison,LEI,172780,30
Ruslan,Xhaka,ARS,84450,30
Ruslan,Ødegaard,ARS,184029,30
Youssef,Almirón,NEW,179018,29
Shrey,Mahrez,MCI,103025,29
Ali,Akanji,MCI,211975,29
Ruslan,Fabianski,WHU,37096,29
Shrey,Foden,MCI,209244,27
Youssef,Johnson,NFO,242898,27
Yahya,Burn,NEW,78916,27
Shrey,Son,TOT,85971,27
Ali,Saliba,ARS,462424,27
Dani,Groß,BHA,60307,27
Dani,Perišić,TOT,45034,27
Dani,Robertson,LIV,122798,26
Ali,Shaw,MUN,106760,26
Ruslan,Veltman,BHA,111478,25
Santi,Arrizabalaga,CHE,109745,25
Sami,Dalot,MUN,216051,24
Dani,Dier,TOT,93264,23
Dani,Barnes,LEI,201666,23
Ruslan,White,ARS,198869,23
Dani,Tielemans,LEI,166989,23
Sami,Alexander-Arnold,LIV,169187,22
Youssef,Havertz,CHE,219847,22
Shrey,Vardy,LEI,101668,22
Yahya,Mount,CHE,184341,21
Ruslan,Zinchenko,ARS,206325,21
Yahya,Laporte,MCI,146941,21
Yahya,Eze,CRY,232413,21
Yahya,Sterling,CHE,103955,21
Ali,Isak,NEW,219168,20
Dani,Adams,SOU,200439,19
Santi,Gakpo,LIV,243298,19
Ali,Grealish,MCI,114283,19
Ali,Mitoma,BHA,451340,19
Dani,Billing,BOU,168991,19
Sami,Estupiñán,BHA,204214,18
Dani,Nørgaard,BRE,128295,18
Santi,Watkins,AVL,178301,18
Shrey,Cresswell,WHU,55459,17
Santi,Varane,MUN,90152,17
Sami,Cancelo,MCI,121145,17
Shrey,Richarlison,TOT,212319,17
Shrey,Matip,LIV,60914,17
Youssef,March,BHA,109345,17
Sami,Wilson,NEW,75115,16
Santi,Firmino,LIV,92217,16
Santi,Antony,MUN,467169,16
Dani,Mac Allister,BHA,243016,16
Ali,Bernardo,MCI,165809,15
Dani,Zaha,CRY,82403,15
Sami,Leno,FUL,80201,15
Shrey,Targett,NEW,169359,15
Dani,Weghorst,MUN,120202,15
Youssef,Luis Díaz,LIV,244731,14
Shrey,Aubameyang,CHE,54694,14
Shrey,Solanke,BOU,154566,14
Sami,Kulusevski,TOT,445044,14
Youssef,Henderson,NFO,172649,14
Ali,Álvarez,MCI,461358,14
Yahya,Henry,BRE,194010,13
Yahya,Ward-Prowse,SOU,101178,13
Yahya,Bernardo,MCI,165809,13
Shrey,Kilman,WOL,214048,12
Youssef,Solanke,BOU,154566,12
Youssef,Cucurella,CHE,179268,12
Youssef,Dunk,BHA,83299,12
Santi,Rodrigo,LEE,80954,12
Youssef,Bazunu,SOU,456350,12
Santi,Ronaldo,MUN,14937,12
Youssef,Mac Allister,BHA,243016,12
Sami,Watkins,AVL,178301,11
Dani,Jensen,BRE,207283,11
Santi,Casemiro,MUN,61256,11
Shrey,Ream,FUL,82514,11
Dani,White,ARS,198869,11
Ruslan,Højbjerg,TOT,132015,11
Santi,Bowen,WHU,178186,11
Santi,Alexander-Arnold,LIV,169187,11
Santi,Højbjerg,TOT,132015,10
Youssef,Adams,SOU,200439,10
Sami,Nketiah,ARS,205533,10
Youssef,Nketiah,ARS,205533,10
Ruslan,James,CHE,225796,10
Shrey,Perraud,SOU,244560,10
Ali,Forster,TOT,40383,10
Ali,Summerville,LEE,450070,10
Ruslan,Casemiro,MUN,61256,10
Santi,Álvarez,MCI,461358,10
Shrey,Davies,TOT,115556,10
Shrey,Martínez,MUN,221820,10
Dani,Dasilva,BRE,183656,10
Santi,Mings,AVL,149484,10
Santi,Welbeck,BHA,50175,10
Ruslan,Antonio,WHU,57531,10
Santi,Rodri,MCI,220566,10
Yahya,Sancho,MUN,209243,10
Sami,Zinchenko,ARS,206325,10
Santi,Chalobah,CHE,180736,9
Santi,Pinnock,BRE,231065,9
Santi,Wilson,NEW,75115,9
Sami,James,CHE,225796,9
Sami,Meslier,LEE,437495,9
Santi,Castagne,LEI,166477,9
Youssef,Robinson,FUL,169528,9
Santi,João Félix,CHE,428399,9
Ruslan,Dier,TOT,93264,9
Santi,Ferguson,BHA,487117,8
Ali,Tarkowski,EVE,17761,8
Ruslan,Kilman,WOL,214048,8
Sami,Ward-Prowse,SOU,101178,8
Santi,Thiago,LIV,61558,8
Santi,Álex Moreno,AVL,106468,8
Sami,Paquetá,WHU,224024,8
Youssef,Gündogan,MCI,59859,8
Youssef,Mendy,CHE,228286,8
Sami,Ferguson,BHA,487117,8
Santi,A.Doucouré,EVE,121599,8
Youssef,Walker,MCI,58621,8
Ruslan,Edouard,CRY,199670,8
Youssef,Henry,BRE,194010,8
Shrey,Iheanacho,LEI,173515,8
Santi,Gündogan,MCI,59859,8
Sami,Enciso,BHA,474120,7
Ruslan,Willock,NEW,200089,7
Shrey,Partey,ARS,167199,7
Yahya,Saliba,ARS,462424,7
Shrey,Perišić,TOT,45034,7
Sami,Antony,MUN,467169,7
Sami,Sancho,MUN,209243,7
Shrey,Joelinton,NEW,180974,7
Ali,Edouard,CRY,199670,7
Shrey,Ings,WHU,84939,7
Dani,Varane,MUN,90152,7
