manager,player_name,team,photo,player_id,points,ppg
Yahya,Kane,TOT,78830,34,237.0,6.97
Yahya,Saka,ARS,223340,33,186.0,5.64
Shrey,Alisson,LIV,116535,33,152.0,4.61
Yahya,Ederson,MCI,121160,33,106.0,3.21
Shrey,Fernandes,MUN,141746,33,164.0,4.97
Sami,Trippier,NEW,77794,32,175.0,5.47
Youssef,Martinelli,ARS,444145,32,174.0,5.44
Yahya,Andreas,FUL,156689,31,108.0,3.48
Dani,Botman,NEW,220237,31,118.0,3.81
Dani,Mbeumo,BRE,446008,31,122.0,3.94
Ali,Haaland,MCI,223094,30,231.0,7.7
Youssef,De Bruyne,MCI,61366,30,137.0,4.57
Ali,Rashford,MUN,176297,30,189.0,6.3
Sami,Salah,LIV,118748,30,201.0,6.7
Ruslan,Ramsdale,ARS,225321,29,115.0,3.97
Ruslan,Toney,BRE,144485,29,146.0,5.03
Ruslan,Trossard,ARS,116216,29,121.0,4.17
Youssef,De Gea,MUN,51940,29,132.0,4.55
Ruslan,Ødegaard,ARS,184029,29,173.0,5.97
Youssef,Van Dijk,LIV,97032,29,105.0,3.62
Youssef,Schär,NEW,119471,28,110.0,3.93
Yahya,Burn,NEW,78916,27,90.0,3.33
Shrey,Son,TOT,85971,27,118.0,4.37
Dani,Raya,BRE,154561,26,119.0,4.58
Sami,Darwin,LIV,447203,26,91.0,3.5
Yahya,Mee,BRE,51927,26,100.0,3.85
Dani,Groß,BHA,60307,25,91.0,3.64
Youssef,Almirón,NEW,179018,25,120.0,4.8
Shrey,Maddison,LEI,172780,25,91.0,3.64
Ruslan,Gabriel,ARS,226597,25,102.0,4.08
Ali,Akanji,MCI,211975,25,72.0,2.88
Ruslan,Xhaka,ARS,84450,24,96.0,4.0
Youssef,Johnson,NFO,242898,24,75.0,3.12
Youssef,Dias,MCI,171314,24,66.0,2.75
Ruslan,White,ARS,198869,23,98.0,4.26
Shrey,Mahrez,MCI,103025,23,100.0,4.35
Shrey,Stones,MCI,97299,22,80.0,3.64
Ali,Saliba,ARS,462424,22,83.0,3.77
Yahya,Coady,EVE,94147,22,64.0,2.91
Dani,Barnes,LEI,201666,21,89.0,4.24
Dani,Perišić,TOT,45034,21,57.0,2.71
Yahya,Thiago Silva,CHE,51090,21,66.0,3.14
Yahya,Diogo Jota,LIV,194634,21,74.0,3.52
Yahya,Eze,CRY,232413,21,98.0,4.67
Ruslan,Jesus,ARS,205651,20,91.0,4.55
Shrey,Vardy,LEI,101668,20,40.0,2.0
Yahya,Mount,CHE,184341,20,71.0,3.55
Santi,Pope,NEW,98747,20,88.0,4.4
Ali,Mitoma,BHA,451340,19,106.0,5.58
Dani,Robertson,LIV,122798,19,68.0,3.58
Ali,Shaw,MUN,106760,19,103.0,5.42
Shrey,Foden,MCI,209244,19,77.0,4.05
Ali,Martínez,AVL,98980,18,72.0,4.0
Dani,Dier,TOT,93264,18,47.0,2.61
Santi,Watkins,AVL,178301,18,107.0,5.94
Ruslan,Zinchenko,ARS,206325,18,70.0,3.89
Youssef,Havertz,CHE,219847,18,50.0,2.78
Santi,Gakpo,LIV,243298,17,88.0,5.18
Sami,Estupiñán,BHA,204214,17,86.0,5.06
Dani,Tielemans,LEI,166989,17,32.0,1.88
Ruslan,Veltman,BHA,111478,17,57.0,3.35
Sami,Sá,WOL,149065,17,57.0,3.35
Ali,Grealish,MCI,114283,16,79.0,4.94
Sami,Dalot,MUN,216051,16,55.0,3.44
Dani,Billing,BOU,168991,16,60.0,3.75
Dani,Adams,SOU,200439,16,44.0,2.75
Yahya,Sterling,CHE,103955,16,41.0,2.56
Ali,Isak,NEW,219168,16,86.0,5.38
Sami,Cancelo,MCI,121145,15,54.0,3.6
Dani,Zaha,CRY,82403,15,50.0,3.33
Sami,Alexander-Arnold,LIV,169187,15,87.0,5.8
Dani,Weghorst,MUN,120202,15,13.0,0.87
Dani,Mitrović,FUL,128389,15,56.0,3.73
Yahya,Calvert-Lewin,EVE,177815,14,35.0,2.5
Shrey,Cresswell,WHU,55459,14,33.0,2.36
Dani,Nørgaard,BRE,128295,14,32.0,2.29
Santi,Arrizabalaga,CHE,109745,13,44.0,3.38
Yahya,Ward-Prowse,SOU,101178,13,52.0,4.0
Ali,Bernardo,MCI,165809,13,42.0,3.23
Yahya,Henry,BRE,194010,13,42.0,3.23
Youssef,March,BHA,109345,13,84.0,6.46
Santi,Varane,MUN,90152,13,35.0,2.69
Sami,Wilson,NEW,75115,13,45.0,3.46
Santi,Firmino,LIV,92217,12,44.0,3.67
Santi,Antony,MUN,467169,12,34.0,2.83
Shrey,Solanke,BOU,154566,12,48.0,4.0
Dani,Mac Allister,BHA,243016,11,38.0,3.45
Youssef,Dunk,BHA,83299,11,44.0,4.0
Dani,Jensen,BRE,207283,11,24.0,2.18
Yahya,Bernardo,MCI,165809,11,21.0,1.91
Santi,Rodrigo,LEE,80954,11,47.0,4.27
Shrey,Ream,FUL,82514,11,33.0,3.0
Santi,Mings,AVL,149484,10,46.0,4.6
Santi,Højbjerg,TOT,132015,10,38.0,3.8
Santi,Bowen,WHU,178186,10,37.0,3.7
Dani,White,ARS,198869,10,44.0,4.4
Dani,Dasilva,BRE,183656,10,11.0,1.1
Shrey,Richarlison,TOT,212319,9,16.0,1.78
Shrey,Kilman,WOL,214048,9,24.0,2.67
Santi,Alexander-Arnold,LIV,169187,9,16.0,1.78
Youssef,Robinson,FUL,169528,9,23.0,2.56
Shrey,Perraud,SOU,244560,9,13.0,1.44
Dani,Aké,MCI,126184,9,47.0,5.22
Santi,Rodri,MCI,220566,9,17.0,1.89
Shrey,Aubameyang,CHE,54694,9,11.0,1.22
Sami,Nketiah,ARS,205533,9,45.0,5.0
Santi,Wilson,NEW,75115,9,64.0,7.11
Yahya,Sancho,MUN,209243,9,24.0,2.67
Shrey,Matip,LIV,60914,8,8.0,1.0
Shrey,Iheanacho,LEI,173515,8,23.0,2.88
Sami,Paquetá,WHU,224024,8,21.0,2.62
Shrey,Martínez,MUN,221820,8,32.0,4.0
Sami,Leno,FUL,80201,8,34.0,4.25
Santi,Álvarez,MCI,461358,8,36.0,4.5
Sami,Kulusevski,TOT,445044,8,19.0,2.38
Ruslan,Højbjerg,TOT,132015,8,34.0,4.25
Youssef,Mac Allister,BHA,243016,8,43.0,5.38
Dani,Sánchez,BHA,215059,8,18.0,2.25
Santi,Castagne,LEI,166477,8,39.0,4.88
Sami,Ward-Prowse,SOU,101178,8,13.0,1.62
Ruslan,Kilman,WOL,214048,7,10.0,1.43
Santi,Welbeck,BHA,50175,7,15.0,2.14
Sami,Watkins,AVL,178301,7,11.0,1.57
Shrey,Davies,TOT,115556,7,30.0,4.29
Santi,Harrison,LEE,221399,7,35.0,5.0
Santi,João Félix,CHE,428399,7,28.0,4.0
Ruslan,James,CHE,225796,7,5.0,0.71
Shrey,Partey,ARS,167199,7,16.0,2.29
Santi,Martial,MUN,148225,7,14.0,2.0
Ali,Foden,MCI,209244,7,33.0,4.71
Youssef,Henry,BRE,194010,7,14.0,2.0
Santi,Casemiro,MUN,61256,7,18.0,2.57
Shrey,Targett,NEW,169359,7,8.0,1.14
Youssef,Gündogan,MCI,59859,7,10.0,1.43
Ruslan,Dier,TOT,93264,7,17.0,2.43
Youssef,Neves,WOL,171317,7,25.0,3.57
Youssef,Cucurella,CHE,179268,7,11.0,1.57
Sami,Enciso,BHA,474120,6,30.0,5.0
Ali,Gnonto,LEE,492859,6,19.0,3.17
Ruslan,Antonio,WHU,57531,6,11.0,1.83
Sami,James,CHE,225796,6,16.0,2.67
Sami,Sancho,MUN,209243,6,28.0,4.67
Sami,Ferguson,BHA,487117,6,28.0,4.67
Santi,Pinnock,BRE,231065,6,23.0,3.83
Ali,Summerville,LEE,450070,6,13.0,2.17
Sami,Steele,BHA,49262,6,37.0,6.17
Ruslan,Willock,NEW,200089,6,23.0,3.83
Santi,Chalobah,CHE,180736,6,9.0,1.5
Youssef,Solanke,BOU,154566,6,23.0,3.83
Ruslan,Casemiro,MUN,61256,6,19.0,3.17
Ruslan,Konsa,AVL,199798,6,25.0,4.17
Ruslan,Edouard,CRY,199670,6,9.0,1.5
Santi,Ferguson,BHA,487117,6,19.0,3.17
Santi,Dunk,BHA,83299,6,3.0,0.5
Ali,Iwobi,EVE,153133,6,22.0,3.67
Shrey,Ings,WHU,84939,6,11.0,1.83
Santi,Azpilicueta,CHE,41328,5,7.0,1.4
Ali,Daka,LEI,245419,5,10.0,2.0
Santi,A.Doucouré,EVE,121599,5,15.0,3.0
Shrey,Joelinton,NEW,180974,5,28.0,5.6
Shrey,Dalot,MUN,216051,5,14.0,2.8
Ali,Forster,TOT,40383,5,14.0,2.8
Ruslan,Paquetá,WHU,224024,5,15.0,3.0
Santi,Solomon,FUL,235674,5,13.0,2.6
Santi,Thiago,LIV,61558,5,7.0,1.4
Ruslan,Bowen,WHU,178186,5,23.0,4.6
Santi,Gibbs-White,NFO,222531,5,27.0,5.4
Sami,Jensen,BRE,207283,5,26.0,5.2
Ali,Tarkowski,EVE,17761,5,7.0,1.4
Sami,Antony,MUN,467169,5,17.0,3.4
Sami,Ramsey,AVL,232653,5,22.0,4.4
Santi,Álex Moreno,AVL,106468,5,18.0,3.6
Ali,Álvarez,MCI,461358,5,24.0,4.8
Santi,Gündogan,MCI,59859,5,39.0,7.8
Youssef,Luis Díaz,LIV,244731,5,12.0,2.4
Ruslan,Guéhi,CRY,209036,5,11.0,2.2
Santi,Kulusevski,TOT,445044,4,7.0,1.75
Santi,Davies,TOT,115556,4,9.0,2.25
Sami,Jonny,WOL,114128,4,8.0,2.0
Sami,Martínez,MUN,221820,4,6.0,1.5
Sami,Saint-Maximin,NEW,170137,4,7.0,1.75
Sami,Young,AVL,18892,4,14.0,3.5
Santi,Emerson Royal,TOT,241157,4,10.0,2.5
Youssef,Álvarez,MCI,461358,4,3.0,0.75
Sami,Groß,BHA,60307,4,24.0,6.0
Ruslan,Chilwell,CHE,172850,4,18.0,4.5
Dani,Gabriel,ARS,226597,4,9.0,2.25
Shrey,Sancho,MUN,209243,4,23.0,5.75
Ali,Ward,LEI,95463,4,26.0,6.5
Ali,Wan-Bissaka,MUN,214590,4,15.0,3.75
Ali,Walker,MCI,58621,4,18.0,4.5
Ali,Varane,MUN,90152,4,14.0,3.5
Shrey,Wan-Bissaka,MUN,214590,4,9.0,2.25
Ali,Martínez,MUN,221820,4,7.0,1.75
Youssef,Adams,SOU,200439,4,4.0,1.0
Ali,Enzo,CHE,448047,4,13.0,3.25
Youssef,Nketiah,ARS,205533,4,3.0,0.75
Ali,Bruno Guimarães,NEW,208706,4,18.0,4.5
Ali,Billing,BOU,168991,4,12.0,3.0
Ali,Badiashile,CHE,242880,4,15.0,3.75
Youssef,Wan-Bissaka,MUN,214590,4,13.0,3.25
Shrey,Saint-Maximin,NEW,170137,4,7.0,1.75
Dani,Mitchell,CRY,244723,4,13.0,3.25
Santi,Young,AVL,18892,4,8.0,2.0
Shrey,Burn,NEW,78916,4,18.0,4.5
Santi,Ronaldo,MUN,14937,4,5.0,1.25
Sami,Benrahma,WHU,172841,4,18.0,4.5
Santi,Willian,FUL,47431,4,17.0,4.25
Shrey,Antonio,WHU,57531,4,13.0,3.25
Ruslan,Rodrigo,LEE,80954,4,12.0,3.0
Sami,Zinchenko,ARS,206325,4,3.0,0.75
Ruslan,Jorginho,ARS,85955,4,12.0,3.0
Sami,Ødegaard,ARS,184029,4,8.0,2.0
Shrey,Edouard,CRY,199670,3,4.0,1.33
Shrey,Koulibaly,CHE,86129,3,11.0,3.67
Santi,Henry,BRE,194010,3,15.0,5.0
Youssef,Walker,MCI,58621,3,9.0,3.0
Santi,W.Fofana,CHE,444463,3,4.0,1.33
Santi,Walker,MCI,58621,3,4.0,1.33
Santi,Mykolenko,EVE,224967,3,7.0,2.33
Youssef,Dawson,WOL,60232,3,11.0,3.67
Santi,Eze,CRY,232413,3,11.0,3.67
Youssef,Daka,LEI,245419,3,6.0,2.0
Santi,Willock,NEW,200089,3,9.0,3.0
Yahya,Rice,WHU,204480,3,6.0,2.0
Shrey,Perišić,TOT,45034,3,1.0,0.33
Santi,Boly,NFO,90585,3,9.0,3.0
Yahya,Laporte,MCI,146941,3,9.0,3.0
Santi,Diop,FUL,219924,3,9.0,3.0
Sami,Olise,CRY,443661,3,14.0,4.67
Ruslan,Firmino,LIV,92217,3,11.0,3.67
Ruslan,Steele,BHA,49262,3,22.0,7.33
Ali,Emerson Royal,TOT,241157,3,5.0,1.67
Sami,Havertz,CHE,219847,3,21.0,7.0
Sami,Gündogan,MCI,59859,3,10.0,3.33
Sami,Grealish,MCI,114283,3,13.0,4.33
Ali,Gomez,LIV,171287,3,8.0,2.67
Sami,Bruno Guimarães,NEW,208706,3,5.0,1.67
Sami,Bentancur,TOT,202993,3,11.0,3.67
Ruslan,Robertson,LIV,122798,3,3.0,1.0
Sami,Lindelöf,MUN,184667,3,17.0,5.67
