player_name,team,photo,0
Chilwell,CHE,172850,5
Sancho,MUN,209243,5
Edouard,CRY,199670,4
Eriksen,MUN,80607,4
Gündogan,MCI,59859,4
Jensen,BRE,207283,4
Martial,MUN,148225,4
Martínez,MUN,221820,4
Walker,MCI,58621,4
Antonio,WHU,57531,3
Antony,MUN,467169,3
Billing,BOU,168991,3
Bowen,WHU,178186,3
Burn,NEW,78916,3
Davies,TOT,115556,3
Dier,TOT,93264,3
Dunk,BHA,83299,3
Eze,CRY,232413,3
Firmino,LIV,92217,3
Gibbs-White,NFO,222531,3
Grealish,MCI,114283,3
Groß,BHA,60307,3
Henry,BRE,194010,3
Isak,NEW,219168,3
Iwobi,EVE,153133,3
Koulibaly,CHE,86129,3
Kulusevski,TOT,445044,3
Mac Allister,BHA,243016,3
Olise,CRY,443661,3
Ouattara,BOU,533463,3
Paquetá,WHU,224024,3
Pedro Porro,TOT,441164,3
Pickford,EVE,111234,3
Pinnock,BRE,231065,3
Robertson,LIV,122798,3
Rodrigo,LEE,80954,3
Saint-Maximin,NEW,170137,3
Sterling,CHE,103955,3
Tielemans,LEI,166989,3
Varane,MUN,90152,3
Wan-Bissaka,MUN,214590,3
Ward-Prowse,SOU,101178,3
Watkins,AVL,178301,3
Wilson,NEW,75115,3
Álvarez,MCI,461358,3
Adams,SOU,200439,2
Alexander-Arnold,LIV,169187,2
Arrizabalaga,CHE,109745,2
Aurier,NFO,80226,2
Azpilicueta,CHE,41328,2
Bamford,LEE,106617,2
Barnes,LEI,201666,2
Bentancur,TOT,202993,2
Bernardo,MCI,165809,2
Bruno Guimarães,NEW,208706,2
Casemiro,MUN,61256,2
Cash,AVL,199796,2
Castagne,LEI,166477,2
Cucurella,CHE,179268,2
Daka,LEI,245419,2
Dalot,MUN,216051,2
Darwin,LIV,447203,2
Dawson,WOL,60232,2
Emerson Royal,TOT,241157,2
Enzo,CHE,448047,2
Estupiñán,BHA,204214,2
Ferguson,BHA,487117,2
Foden,MCI,209244,2
Gabriel,ARS,226597,2
Gomez,LIV,171287,2
Guéhi,CRY,209036,2
Harrison,LEE,221399,2
Havertz,CHE,219847,2
Henderson,NFO,172649,2
Højbjerg,TOT,132015,2
Iheanacho,LEI,173515,2
Ings,WHU,84939,2
J.Ayew,CRY,80146,2
James,CHE,225796,2
Jesus,ARS,205651,2
Joelinton,NEW,180974,2
Johnson,NFO,242898,2
Jorginho,ARS,85955,2
Kelly,BOU,235530,2
Kilman,WOL,214048,2
Lewis,MCI,477064,2
Luis Díaz,LIV,244731,2
Maddison,LEI,172780,2
Mahrez,MCI,103025,2
Malacia,MUN,222690,2
March,BHA,109345,2
Martínez,AVL,98980,2
Meslier,LEE,437495,2
Mings,AVL,149484,2
Mitchell,CRY,244723,2
Mitoma,BHA,451340,2
Mount,CHE,184341,2
Mudryk,CHE,465920,2
Murphy,NEW,114243,2
Mykolenko,EVE,224967,2
Neves,WOL,171317,2
Nketiah,ARS,205533,2
Nørgaard,BRE,128295,2
Perišić,TOT,45034,2
Podence,WOL,200600,2
Ramsey,AVL,232653,2
Rice,WHU,204480,2
Richarlison,TOT,212319,2
Rodri,MCI,220566,2
Salah,LIV,118748,2
Saliba,ARS,462424,2
Schär,NEW,119471,2
Semedo,WOL,200402,2
Solanke,BOU,154566,2
Son,TOT,85971,2
Steele,BHA,49262,2
Struijk,LEE,222694,2
Tete,FUL,167074,2
Toney,BRE,144485,2
Veltman,BHA,111478,2
Weghorst,MUN,120202,2
Welbeck,BHA,50175,2
White,ARS,198869,2
Willian,FUL,47431,2
Willock,NEW,200089,2
Xhaka,ARS,84450,2
Young,AVL,18892,2
Zaha,CRY,82403,2
Zinchenko,ARS,206325,2
Álex Moreno,AVL,106468,2
Ødegaard,ARS,184029,2
A.Armstrong,SOU,155511,1
A.Doucouré,EVE,121599,1
Aguerd,WHU,210494,1
Akanji,MCI,211975,1
Aké,MCI,126184,1
Alisson,LIV,116535,1
Almirón,NEW,179018,1
Alonso,CHE,82263,1
Amartey,LEI,155569,1
Andreas,FUL,156689,1
Aubameyang,CHE,54694,1
Awoniyi,NFO,210156,1
Badiashile,CHE,242880,1
Bailey,AVL,215711,1
Bazunu,SOU,456350,1
Benrahma,WHU,172841,1
Boly,NFO,90585,1
Botman,NEW,220237,1
Buendía,AVL,195546,1
Bueno,WOL,490721,1
Calvert-Lewin,EVE,177815,1
Cancelo,MCI,121145,1
Carvalho,LIV,244858,1
Chalobah,CHE,180736,1
Coady,EVE,94147,1
Coleman,EVE,59949,1
Collins,WOL,432830,1
Cresswell,WHU,55459,1
D.D.Fofana,CHE,520295,1
Danilo,NFO,513046,1
Dasilva,BRE,183656,1
De Bruyne,MCI,61366,1
De Cordova-Reid,FUL,96994,1
De Gea,MUN,51940,1
Dewsbury-Hall,LEI,215413,1
Dias,MCI,171314,1
Diego Costa,WOL,18507,1
Digne,AVL,101188,1
Diogo Jota,LIV,194634,1
Diop,FUL,219924,1
Doherty,TOT,87835,1
Douglas Luiz,AVL,230046,1
Ederson,MCI,121160,1
Elanga,MUN,449434,1
Elliott,LIV,444884,1
Enciso,BHA,474120,1
Fabianski,WHU,37096,1
Faes,LEI,218218,1
Fernandes,MUN,141746,1
Forster,TOT,40383,1
Gakpo,LIV,243298,1
Garnacho,MUN,493105,1
Gnonto,LEE,492859,1
Gordon,NEW,232826,1
Gray,EVE,172632,1
Guaita,CRY,40836,1
Haaland,MCI,223094,1
Holding,ARS,156074,1
Johnstone,CRY,101982,1
Jonny,WOL,114128,1
João Félix,CHE,428399,1
Justin,LEI,220627,1
Kane,TOT,78830,1
Kanté,CHE,116594,1
Kehrer,WHU,201057,1
Kiwior,ARS,440854,1
Konaté,LIV,204716,1
Konsa,AVL,199798,1
Laporte,MCI,146941,1
Leno,FUL,80201,1
Lindelöf,MUN,184667,1
Lloris,TOT,37915,1
Madueke,CHE,248857,1
Martinelli,ARS,444145,1
Matip,LIV,60914,1
Maupay,EVE,115382,1
Mbeumo,BRE,446008,1
McNeil,EVE,433154,1
Mee,BRE,51927,1
Mendy,CHE,228286,1
Mitrović,FUL,128389,1
