manager,gameweek,points
Shrey,12.0,15.0
Sami,34.0,15.0
Shrey,11.0,14.0
Ali,29.0,14.0
Sami,19.0,14.0
Sami,11.0,14.0
Ruslan,25.0,13.0
Shrey,25.0,12.0
Shrey,34.0,12.0
Santi,6.0,12.0
Ali,16.0,11.0
Ruslan,27.0,11.0
Ruslan,20.0,11.0
Youssef,23.0,10.0
Ruslan,11.0,10.0
Dani,21.0,10.0
Youssef,37.0,10.0
Ali,21.0,10.0
Dani,11.0,10.0
Santi,36.0,10.0
Ruslan,29.0,10.0
Ruslan,35.0,10.0
Sami,20.0,10.0
Sami,33.0,10.0
Dani,12.0,10.0
Shrey,21.0,9.0
Dani,27.0,9.0
Shrey,36.0,9.0
Dani,17.0,9.0
Yahya,14.0,9.0
Dani,33.0,9.0
Ali,30.0,9.0
Ali,27.0,9.0
Youssef,34.0,9.0
Santi,29.0,8.0
Ali,13.0,8.0
Dani,29.0,8.0
Youssef,29.0,8.0
Yahya,36.0,8.0
Ali,18.0,8.0
Youssef,27.0,8.0
Yahya,19.0,8.0
Shrey,6.0,8.0
Youssef,18.0,7.0
Sami,36.0,7.0
Shrey,26.0,7.0
Dani,22.0,7.0
Ali,26.0,7.0
Dani,36.0,7.0
Shrey,29.0,7.0
Shrey,24.0,7.0
Youssef,17.0,7.0
Youssef,24.0,7.0
Yahya,26.0,7.0
Youssef,19.0,7.0
Ruslan,19.0,6.0
Ruslan,16.0,6.0
Youssef,30.0,6.0
Santi,37.0,6.0
Ruslan,14.0,6.0
Youssef,36.0,6.0
Ali,15.0,6.0
Santi,31.0,6.0
Santi,11.0,6.0
Youssef,31.0,6.0
Santi,26.0,6.0
Santi,21.0,6.0
Sami,5.0,6.0
Santi,12.0,6.0
Santi,17.0,6.0
Ruslan,15.0,6.0
Youssef,11.0,6.0
Sami,22.0,6.0
Ali,31.0,6.0
Ali,8.0,6.0
Yahya,27.0,6.0
Ali,9.0,6.0
Youssef,12.0,6.0
Yahya,21.0,6.0
Yahya,10.0,6.0
Yahya,8.0,6.0
Yahya,5.0,6.0
Dani,23.0,6.0
Shrey,23.0,6.0
Sami,23.0,6.0
Santi,14.0,6.0
Ruslan,8.0,6.0
Shrey,35.0,5.0
Dani,31.0,5.0
Youssef,20.0,5.0
Santi,20.0,5.0
Sami,37.0,5.0
Yahya,13.0,5.0
Ali,33.0,5.0
Sami,25.0,5.0
Dani,20.0,5.0
Santi,16.0,5.0
Youssef,16.0,4.0
Shrey,13.0,4.0
Ruslan,12.0,4.0
Dani,37.0,4.0
Youssef,35.0,3.0
Santi,13.0,3.0
Shrey,15.0,3.0
Santi,15.0,3.0
Santi,18.0,3.0
Santi,19.0,3.0
Santi,27.0,3.0
Santi,30.0,3.0
Santi,33.0,3.0
Santi,35.0,3.0
Youssef,22.0,3.0
Shrey,16.0,3.0
Shrey,17.0,3.0
Sami,30.0,3.0
Yahya,12.0,3.0
Yahya,23.0,3.0
Yahya,31.0,3.0
Sami,31.0,3.0
Ali,5.0,3.0
Ruslan,23.0,3.0
Sami,27.0,3.0
Dani,14.0,3.0
Dani,35.0,3.0
Ruslan,17.0,3.0
Dani,19.0,3.0
Dani,24.0,3.0
Ruslan,22.0,3.0
Ruslan,28.0,3.0
Sami,15.0,3.0
Dani,28.0,2.0
Yahya,11.0,2.0
Yahya,9.0,2.0
Yahya,6.0,2.0
Shrey,37.0,2.0
Dani,26.0,2.0
Sami,29.0,2.0
Shrey,33.0,2.0
Yahya,15.0,2.0
Shrey,32.0,2.0
Shrey,31.0,2.0
Shrey,30.0,2.0
Dani,32.0,2.0
Shrey,27.0,2.0
Dani,34.0,2.0
Ruslan,5.0,2.0
Ruslan,6.0,2.0
Dani,15.0,2.0
Yahya,17.0,2.0
Yahya,16.0,2.0
Youssef,5.0,2.0
Ali,10.0,2.0
Ali,12.0,2.0
Youssef,33.0,2.0
Ali,25.0,2.0
Ali,28.0,2.0
Ali,35.0,2.0
Youssef,13.0,2.0
Ali,36.0,2.0
Youssef,10.0,2.0
Youssef,6.0,2.0
Yahya,35.0,2.0
Ruslan,9.0,2.0
Yahya,33.0,2.0
Yahya,30.0,2.0
Yahya,29.0,2.0
Dani,8.0,2.0
Dani,9.0,2.0
Yahya,25.0,2.0
Yahya,24.0,2.0
Dani,13.0,2.0
Yahya,20.0,2.0
Yahya,18.0,2.0
Shrey,22.0,2.0
Santi,5.0,2.0
Shrey,20.0,2.0
Shrey,19.0,2.0
Ruslan,37.0,2.0
Santi,22.0,2.0
Santi,23.0,2.0
Santi,24.0,2.0
Sami,8.0,2.0
Ruslan,36.0,2.0
Ruslan,34.0,2.0
Sami,21.0,2.0
Sami,24.0,2.0
Sami,9.0,2.0
Sami,10.0,2.0
Ruslan,32.0,2.0
Sami,18.0,2.0
Santi,32.0,2.0
Santi,8.0,2.0
Shrey,10.0,2.0
Santi,10.0,2.0
Shrey,18.0,2.0
Ruslan,24.0,2.0
Santi,9.0,2.0
Shrey,5.0,2.0
Shrey,8.0,2.0
Shrey,9.0,2.0
Santi,34.0,2.0
Sami,26.0,2.0
Sami,14.0,2.0
Ruslan,18.0,2.0
Shrey,14.0,2.0
Ruslan,13.0,2.0
Youssef,15.0,1.0
Ali,37.0,1.0
Youssef,14.0,1.0
Youssef,21.0,1.0
Ali,6.0,1.0
Ali,32.0,1.0
Dani,5.0,1.0
Ali,23.0,1.0
Ali,20.0,1.0
Youssef,28.0,1.0
Ali,19.0,1.0
Ali,17.0,1.0
Youssef,32.0,1.0
Ali,11.0,1.0
Sami,32.0,1.0
Sami,17.0,1.0
Sami,12.0,1.0
Dani,18.0,1.0
Sami,6.0,1.0
Ruslan,33.0,1.0
Ruslan,30.0,1.0
Sami,16.0,1.0
Dani,16.0,1.0
Santi,28.0,1.0
Santi,25.0,1.0
Yahya,22.0,1.0
Ruslan,26.0,1.0
Dani,6.0,1.0
Ruslan,21.0,1.0
Ruslan,10.0,1.0
Yahya,34.0,1.0
Ruslan,31.0,1.0
Youssef,25.0,0.0
Ali,14.0,0.0
Dani,25.0,0.0
Sami,28.0,0.0
Shrey,28.0,0.0
Yahya,37.0,0.0
Ali,22.0,0.0
Ali,34.0,0.0
Dani,10.0,0.0
Yahya,28.0,0.0
Sami,13.0,0.0
Yahya,32.0,0.0
Youssef,9.0,0.0
Youssef,8.0,0.0
Dani,30.0,0.0
Youssef,26.0,-1.0
Sami,35.0,-2.0
Ali,24.0,-3.0
