,gameweek,manager,net_points,player_name,photo,team_in,player_name_out,team_out,in_points,out_points,gw_until_out
134,19,Youssef,32.0,March,109345,BHA,Luis Díaz,LIV,32.0,0.0,17.0
241,27,Ruslan,17.0,Chilwell,172850,CHE,Walker,MCI,18.0,1.0,5.0
204,23,Santi,17.0,Emerson Royal,241157,TOT,Walker,MCI,23.0,6.0,6.0
78,13,Ali,16.0,Ward,95463,LEI,Neto,BOU,17.0,1.0,5.0
151,20,Ruslan,16.0,Ward-Prowse,101178,SOU,Smith Rowe,ARS,17.0,1.0,2.0
251,28,Santi,16.0,Harrison,221399,LEE,Wissa,BRE,21.0,5.0,7.0
81,13,Sami,15.0,Justin,220627,LEI,Jonny,WOL,15.0,0.0,3.0
239,27,Sami,15.0,Jensen,207283,BRE,Mudryk,CHE,22.0,7.0,6.0
285,31,Ruslan,14.0,Bowen,178186,WHU,Mount,CHE,15.0,1.0,5.0
126,18,Sami,14.0,Leno,80201,FUL,Pickford,EVE,19.0,5.0,15.0
55,11,Santi,14.0,Castagne,166477,LEI,Dunk,BHA,24.0,10.0,9.0
173,22,Shrey,14.0,Davies,115556,TOT,Matip,LIV,20.0,6.0,10.0
62,12,Ali,13.0,Edouard,199670,CRY,Isak,NEW,13.0,0.0,7.0
242,27,Ruslan,13.0,Steele,49262,BHA,Fabianski,WHU,21.0,8.0,5.0
72,13,Sami,13.0,Wilson,75115,NEW,Watkins,AVL,25.0,12.0,16.0
95,15,Santi,13.0,Rodrigo,80954,LEE,Bailey,AVL,22.0,9.0,7.0
48,11,Youssef,13.0,Solanke,154566,BOU,Álvarez,MCI,15.0,2.0,12.0
276,30,Ruslan,12.0,Konsa,199798,AVL,Veltman,BHA,13.0,1.0,6.0
176,22,Santi,12.0,Henry,194010,BRE,Bueno,WOL,15.0,3.0,3.0
36,9,Ali,11.0,Akanji,211975,MCI,Emerson Royal,TOT,9.0,-2.0,3.0
230,26,Ali,11.0,Forster,40383,TOT,Navas,NFO,14.0,3.0,5.0
246,27,Ruslan,11.0,Gündogan,59859,MCI,Jorginho,ARS,13.0,2.0,3.0
121,17,Sami,11.0,Mahrez,103025,MCI,Gündogan,MCI,14.0,3.0,2.0
291,31,Sami,11.0,Young,18892,AVL,Malacia,MUN,12.0,1.0,5.0
142,20,Shrey,11.0,Ream,82514,FUL,Targett,NEW,11.0,0.0,11.0
64,12,Ali,10.0,Bruno Guimarães,208706,NEW,Saint-Maximin,NEW,11.0,1.0,4.0
255,28,Ali,10.0,Pedro Porro,441164,TOT,Badiashile,CHE,11.0,1.0,4.0
212,24,Ruslan,10.0,Firmino,92217,LIV,D.D.Fofana,CHE,11.0,1.0,4.0
299,32,Sami,10.0,Iheanacho,173515,LEI,Ferguson,BHA,10.0,0.0,2.0
185,22,Santi,10.0,Jensen,207283,BRE,Rodrigo,LEE,10.0,0.0,2.0
79,13,Shrey,10.0,Perraud,244560,SOU,Kelly,BOU,10.0,0.0,10.0
190,22,Shrey,10.0,Martínez,221820,MUN,Cresswell,WHU,10.0,0.0,10.0
70,13,Youssef,10.0,Neves,171317,WOL,Gündogan,MCI,18.0,8.0,7.0
222,25,Youssef,10.0,Dawson,60232,WOL,Aurier,NFO,12.0,2.0,4.0
24,7,Sami,9.0,Grealish,114283,MCI,Harrison,LEE,12.0,3.0,5.0
282,30,Sami,9.0,Malacia,222690,MUN,Dalot,MUN,9.0,0.0,1.0
119,17,Santi,9.0,Varane,90152,MUN,Mykolenko,EVE,12.0,3.0,8.0
211,24,Santi,9.0,Diop,219924,FUL,Boly,NFO,9.0,0.0,3.0
243,27,Santi,9.0,W.Fofana,444463,CHE,Diop,FUL,10.0,1.0,5.0
195,23,Shrey,9.0,Iheanacho,173515,LEI,Weghorst,MUN,16.0,7.0,8.0
33,7,Ali,8.0,Maupay,115382,EVE,A.Armstrong,SOU,11.0,3.0,3.0
65,12,Ali,8.0,Dunk,83299,BHA,Akanji,MCI,8.0,0.0,1.0
153,20,Ali,8.0,Aurier,80226,NFO,Malacia,MUN,10.0,2.0,2.0
90,14,Ruslan,8.0,Faes,218218,LEI,Romero,TOT,8.0,0.0,2.0
160,21,Santi,8.0,João Félix,428399,CHE,Firmino,LIV,9.0,1.0,9.0
217,25,Santi,8.0,Bowen,178186,WHU,Sabitzer,MUN,9.0,1.0,3.0
69,13,Youssef,8.0,Henderson,172649,NFO,Mendy,CHE,12.0,4.0,14.0
133,19,Youssef,8.0,Wan-Bissaka,214590,MUN,Amartey,LEI,11.0,3.0,4.0
112,16,Ali,7.0,Summerville,450070,LEE,Nelson,ARS,8.0,1.0,4.0
137,19,Ali,7.0,Gnonto,492859,LEE,Edouard,CRY,13.0,6.0,7.0
181,22,Ali,7.0,Enzo,448047,CHE,Bailey,AVL,11.0,4.0,4.0
182,22,Ali,7.0,Badiashile,242880,CHE,Lewis,MCI,9.0,2.0,6.0
205,23,Ali,7.0,Tarkowski,17761,EVE,Pedro Porro,TOT,9.0,2.0,3.0
290,31,Ali,7.0,Pickford,111234,EVE,Forster,TOT,8.0,1.0,2.0
88,14,Sami,7.0,Pickford,111234,EVE,Meslier,LEE,16.0,9.0,4.0
54,11,Santi,7.0,Young,18892,AVL,Collins,WOL,8.0,1.0,4.0
74,13,Santi,7.0,Eze,232413,CRY,Thiago,LIV,11.0,4.0,4.0
82,14,Santi,7.0,Mykolenko,224967,EVE,Varane,MUN,7.0,0.0,3.0
96,15,Santi,7.0,Martial,148225,MUN,Welbeck,BHA,9.0,2.0,7.0
97,15,Santi,7.0,Davies,115556,TOT,Young,AVL,9.0,2.0,5.0
247,27,Santi,7.0,Wissa,216646,BRE,Willian,FUL,7.0,0.0,1.0
85,14,Ruslan,6.0,Martínez,221820,MUN,Kilman,WOL,10.0,4.0,7.0
270,29,Ruslan,6.0,Bowen,178186,WHU,Mudryk,CHE,8.0,2.0,1.0
71,13,Sami,6.0,Bentancur,202993,TOT,Paquetá,WHU,11.0,5.0,3.0
80,13,Sami,6.0,Dewsbury-Hall,215413,LEI,Kulusevski,TOT,10.0,4.0,5.0
100,15,Sami,6.0,Benrahma,172841,WHU,De Cordova-Reid,FUL,16.0,10.0,6.0
261,28,Sami,6.0,Álex Moreno,106468,AVL,Dalot,MUN,6.0,0.0,1.0
193,23,Santi,6.0,Sabitzer,101338,MUN,Antony,MUN,6.0,0.0,2.0
103,15,Yahya,6.0,Rice,204480,WHU,Sancho,MUN,6.0,0.0,3.0
11,6,Ali,5.0,Gordon,232826,NEW,Elanga,MUN,5.0,0.0,3.0
49,11,Ali,5.0,Daka,245419,LEI,Martial,MUN,5.0,0.0,3.0
52,11,Ali,5.0,Billing,168991,BOU,Eriksen,MUN,9.0,4.0,4.0
130,18,Ali,5.0,Struijk,222694,LEE,Tarkowski,EVE,6.0,1.0,2.0
184,22,Ali,5.0,Navas,28411,NFO,Meslier,LEE,14.0,9.0,4.0
180,22,Sami,5.0,Sancho,209243,MUN,Gibbs-White,NFO,15.0,10.0,6.0
294,31,Sami,5.0,J.Ayew,80146,CRY,Sterling,CHE,8.0,3.0,3.0
149,20,Santi,5.0,Bueno,490721,WOL,Castagne,LEI,7.0,2.0,2.0
279,30,Santi,5.0,Álex Moreno,106468,AVL,Cash,AVL,5.0,0.0,1.0
143,20,Youssef,5.0,Eriksen,80607,MUN,Neves,WOL,10.0,5.0,2.0
84,14,Ali,4.0,Álvarez,461358,MCI,Daka,LEI,12.0,8.0,14.0
152,20,Ali,4.0,Podence,200600,WOL,Summerville,LEE,10.0,6.0,3.0
221,25,Sami,4.0,Iwobi,153133,EVE,Saint-Maximin,NEW,4.0,0.0,1.0
311,33,Sami,4.0,Murphy,114243,NEW,Jensen,BRE,6.0,2.0,1.0
216,25,Santi,4.0,Coleman,59949,EVE,Varane,MUN,3.0,-1.0,2.0
224,26,Santi,4.0,Solomon,235674,FUL,Højbjerg,TOT,9.0,5.0,7.0
252,28,Santi,4.0,Senesi,221466,BOU,Tete,FUL,4.0,0.0,2.0
18,6,Shrey,4.0,Kelly,235530,BOU,Alonso,CHE,4.0,0.0,7.0
53,11,Ali,3.0,Iwobi,153133,EVE,Tielemans,LEI,16.0,13.0,7.0
131,18,Ali,3.0,Meslier,437495,LEE,Ward,LEI,10.0,7.0,4.0
197,23,Ali,3.0,Summerville,450070,LEE,Podence,WOL,6.0,3.0,5.0
277,30,Ali,3.0,Buendía,195546,AVL,Summerville,LEE,3.0,0.0,1.0
140,19,Ruslan,3.0,Cucurella,179268,CHE,James,CHE,3.0,0.0,2.0
4,5,Sami,3.0,Dalot,216051,MUN,Malacia,MUN,10.0,7.0,23.0
20,6,Sami,3.0,R.Sessegnon,184349,TOT,Dier,TOT,5.0,2.0,1.0
57,12,Sami,3.0,March,109345,BHA,Grealish,MCI,3.0,0.0,1.0
91,14,Sami,3.0,Watkins,178301,AVL,Martial,MUN,6.0,3.0,3.0
215,24,Sami,3.0,Semedo,200402,WOL,James,CHE,4.0,1.0,2.0
192,23,Santi,3.0,Pinnock,231065,BRE,Chalobah,CHE,4.0,1.0,9.0
21,7,Shrey,3.0,Aubameyang,54694,CHE,Wilson,NEW,9.0,6.0,14.0
101,15,Shrey,3.0,Saint-Maximin,170137,NEW,Son,TOT,5.0,2.0,5.0
68,13,Youssef,3.0,Henry,194010,BRE,Walker,MCI,3.0,0.0,8.0
16,6,Ali,2.0,A.Armstrong,155511,SOU,Scamacca,WHU,2.0,0.0,1.0
38,9,Ali,2.0,Billing,168991,BOU,Gordon,NEW,3.0,1.0,1.0
40,9,Ali,2.0,Mings,149484,AVL,Martínez,MUN,9.0,7.0,3.0
43,9,Ali,2.0,Tete,167074,FUL,Malacia,MUN,0.0,-2.0,2.0
45,10,Ali,2.0,Martial,148225,MUN,Maupay,EVE,4.0,2.0,1.0
50,11,Ali,2.0,Struijk,222694,LEE,Tete,FUL,2.0,0.0,1.0
94,15,Ali,2.0,Tarkowski,17761,EVE,Azpilicueta,CHE,5.0,3.0,3.0
135,19,Ali,2.0,Douglas Luiz,230046,AVL,Bentancur,TOT,4.0,2.0,2.0
240,27,Ali,2.0,Antony,467169,MUN,Garnacho,MUN,3.0,1.0,2.0
295,31,Ali,2.0,Welbeck,50175,BHA,Daka,LEI,6.0,4.0,5.0
308,32,Ali,2.0,Holding,156074,ARS,Pedro Porro,TOT,1.0,-1.0,1.0
5,5,Ruslan,2.0,Struijk,222694,LEE,Tierney,ARS,4.0,2.0,2.0
213,24,Ruslan,2.0,Walker,58621,MCI,Mykolenko,EVE,9.0,7.0,3.0
122,17,Sami,2.0,Nketiah,205533,ARS,Watkins,AVL,15.0,13.0,20.0
179,22,Sami,2.0,Ouattara,533463,BOU,Mac Allister,BHA,2.0,0.0,1.0
265,29,Sami,2.0,Sancho,209243,MUN,Saint-Maximin,NEW,13.0,11.0,3.0
120,17,Santi,2.0,Johnson,242898,NFO,Ronaldo,MUN,2.0,0.0,1.0
