,,POS,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,
Starters,"Martínez
AVLGKP",GKP,90,0,0,0,2,0,0,0,0,0,6,0,18,34.4,0,0,3.4,Ali
Starters,"Saliba
ARSDEF",DEF,90,0,0,0,1,0,0,0,1,0,0,0,9,12.8,10.8,0,2.4,Ali
Starters,"Emerson Royal
TOTDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,0,13,15,1.8,13,3,Ali
Starters,"Martínez
MUNDEF",DEF,90,0,0,1,0,0,0,0,1,0,0,0,23,11.8,0.7,0,1.3,Ali
Starters,"Sánchez
TOTDEF",DEF,90,0,0,0,1,0,0,0,1,0,0,0,9,20.2,1.2,7,2.8,Ali
Starters,"Koulibaly
CHEDEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,14,19.2,1.9,0,2.1,Ali
Starters,"Bernardo
MCIMID",MID,90,0,1,1,0,0,0,0,0,0,0,0,23,25.4,18,13,5.6,Ali
Starters,"Rashford
MUNMID",MID,86,0,1,1,0,0,0,0,0,0,0,0,16,19,30.7,26,7.6,Ali
Starters,"Kulusevski
TOTMID",MID,75,0,0,0,1,0,0,0,0,0,0,0,7,7,26.2,40,7.3,Ali
Starters,"Haaland
MCIFWD",FWD,68,3,0,1,0,0,0,0,0,0,0,3,81,97.2,0.8,91,18.9,Ali
Starters,"Isak
NEWFWD",FWD,63,1,0,0,1,0,0,0,0,0,0,1,26,34.2,0.8,18,5.3,Ali
Substitutes,"Henderson
NFOGKP",GKP,90,0,0,0,6,0,0,0,0,0,3,0,15,19.8,0,0,2,Ali
Substitutes,"Scamacca
WHUFWD",FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ali
Substitutes,"Elanga
MUNMID",MID,58,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2,6,0.9,Ali
Substitutes,"Gray
EVEMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,4,6.8,1.5,10,1.8,Ali
,,,,,,,,,,,,,,,,,,,,
Starters,"Ramsdale
ARSGKP",GKP,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0,0,1.7,Ruslan
Starters,"James
CHEDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruslan
Starters,"Robertson
LIVDEF",DEF,70,0,0,0,1,0,0,0,0,0,0,0,18,13.8,41.8,20,7.6,Ruslan
Starters,"Veltman
BHADEF",DEF,63,0,0,0,2,0,0,0,0,0,0,0,8,5.2,1.8,0,0.7,Ruslan
